datetime,EAQI,NO2,O3,O3_8H,PM10,PM25
2026-08-29T23:00,2,21.7986,83.3533,,19.525,8.12
2026-08-30T00:00,2,18.1863,52.04,,21.9933,10.5583
2026-08-30T01:00,2,15.2912,43.65,,24.3467,11.96
2026-08-30T02:00,2,17.37,44.1833,55.8,24.6033,11.5283
2026-08-30T03:00,2,15.795,29.02,50.4,23.6833,10.895
2026-08-30T04:00,2,18.3138,19.4233,45.3,22.265,10.3717
2026-08-30T05:00,2,17.3605,22.38,42.0,22.8583,10.5433
2026-08-30T06:00,2,22.2514,19.3467,39.2,23.7183,10.705
2026-08-30T07:00,2,33.9621,5.9367,35.5,23.16,10.09
2026-08-30T08:00,2,26.9797,6.2033,26.9,22.2917,10.1217
2026-08-30T09:00,2,27.6843,22.3333,23.6,24.47,11.59
2026-08-30T10:00,2,18.1065,41.9367,23.4,21.01,10.265
2026-08-30T11:00,2,13.9043,60.49,25.2,18.915,8.94
2026-08-30T12:00,2,12.247,76.84,30.5,18.7683,8.015
2026-08-30T13:00,2,16.0998,92.6633,38.7,19.23,9.5067
2026-08-30T14:00,2,12.849,95.384,46.8,20.6717,11.27
2026-08-30T15:00,3,3.9121,112.524,57.1,18.6583,12.0067
2026-08-30T16:00,3,6.3129,111.784,68.9,17.708,12.01
2026-08-30T17:00,3,1.8939,113.5733,80.8,16.2483,13.2867
2026-08-30T18:00,3,2.6208,117.41,91.4,17.885,14.255
2026-08-30T19:00,3,3.1341,121.0967,100.2,19.9817,14.975
2026-08-30T20:00,3,13.2125,114.22,106.2,20.2433,15.4517
2026-08-30T21:00,2,34.3925,97.0733,108.4,18.7967,12.9517
2026-08-30T22:00,2,33.8155,95.4233,108.7,18.8,9.8417
2026-08-30T23:00,2,18.7602,82.1633,107.3,19.6267,9.5633
2026-08-31T00:00,2,10.3111,60.5033,101.5,21.3183,11.345
2026-08-31T01:00,2,11.902,57.9533,95.5,21.7733,9.9933
2026-08-31T02:00,2,20.0897,56.2833,89.1,21.9217,9.425
2026-08-31T03:00,2,25.5896,48.8567,81.5,22.24,9.2833
2026-08-31T04:00,2,31.8514,31.1867,71.5,22.53,10.0667
2026-08-31T05:00,2,26.6832,20.7633,61.1,21.5933,9.6733
2026-08-31T06:00,2,28.3538,23.91,53.0,20.85,9.93
2026-08-31T07:00,2,32.6326,19.3467,44.6,21.625,9.3183
2026-08-31T08:00,2,30.8216,16.4567,37.3,21.9867,9.745
2026-08-31T09:00,2,35.4511,27.5067,33.6,21.9433,9.805
2026-08-31T10:00,1,24.7606,48.2667,32.5,17.2967,7.0883
2026-08-31T11:00,2,22.6576,65.79,33.6,16.1117,5.4633
2026-08-31T12:00,2,13.5096,91.39,38.3,16.0867,4.7367
2026-08-31T13:00,3,15.4188,107.812,46.8,16.4767,6.935
2026-08-31T14:00,3,15.8588,110.44,56.8,17.01,9.4417
2026-08-31T15:00,3,6.4085,119.41,67.4,14.0633,9.635
2026-08-31T16:00,3,4.3648,124.76,79.1,14.1017,10.5233
2026-08-31T17:00,3,10.649,126.32,91.3,15.4317,11.3583
2026-08-31T18:00,4,4.3871,136.0,103.4,16.64,12.33
2026-08-31T19:00,4,4.9834,149.1,114.6,19.7367,14.095
2026-08-31T20:00,4,6.8804,152.1733,124.2,20.15,14.8083
2026-08-31T21:00,4,22.2227,132.1933,128.7,21.2283,15.325
2026-08-31T22:00,3,15.2944,104.55,128.3,16.9167,10.9
2026-08-31T23:00,2,4.3138,89.96,126.1,11.9383,7.7067
2026-09-01T00:00,2,4.1193,82.1533,121.9,8.38,6.2467
2026-09-01T01:00,2,15.8301,61.6967,114.9,10.8183,6.5
2026-09-01T02:00,1,20.0769,49.04,106.3,11.1567,7.255
2026-09-01T03:00,1,18.2245,44.6533,96.2,11.45,7.53
2026-09-01T04:00,1,15.3072,39.45,84.0,9.83,6.78
2026-09-01T05:00,1,17.9439,34.9867,71.0,9.3917,6.265
2026-09-01T06:00,1,23.176,26.3633,59.2,9.81,6.1533
2026-09-01T07:00,1,35.2725,14.6567,49.2,10.27,6.555
2026-09-01T08:00,1,34.3128,14.1633,40.8,11.665,6.9917
