datetime,EAQI,NO2,PM10,PM25
2026-08-29T23:00,2,23.6957,28.5083,12.2583
2026-08-30T00:00,2,18.1097,26.1217,11.125
2026-08-30T01:00,2,17.7526,23.7217,9.7883
2026-08-30T02:00,2,12.4473,25.4267,10.3867
2026-08-30T03:00,2,11.5705,26.36,9.6517
2026-08-30T04:00,2,9.6957,29.0833,11.5467
2026-08-30T05:00,2,10.8786,26.7317,10.0767
2026-08-30T06:00,2,11.2899,27.6117,10.7483
2026-08-30T07:00,2,13.78,28.9133,10.84
2026-08-30T08:00,2,15.6324,28.7633,11.1233
2026-08-30T09:00,2,18.9546,28.38,11.19
2026-08-30T10:00,2,18.8144,24.7233,11.095
2026-08-30T11:00,1,18.9801,19.5817,9.0117
2026-08-30T12:00,1,17.2648,17.655,8.4133
2026-08-30T13:00,1,12.4154,15.8683,7.7583
2026-08-30T14:00,1,8.5065,14.7467,6.9083
2026-08-30T15:00,1,8.0187,15.2683,6.8167
2026-08-30T16:00,1,8.9433,16.7417,7.42
2026-08-30T17:00,1,9.6288,15.1433,7.2267
2026-08-30T18:00,1,10.8021,15.0783,7.2217
2026-08-30T19:00,1,10.4794,16.995,7.665
2026-08-30T20:00,1,20.3888,19.75,8.5967
2026-08-30T21:00,2,20.552,20.8867,9.2167
2026-08-30T22:00,2,34.8772,22.895,10.8
2026-08-30T23:00,2,31.0129,25.695,12.61
2026-08-31T00:00,2,16.7738,23.9617,11.1017
2026-08-31T01:00,2,12.1029,21.535,10.1333
2026-08-31T02:00,2,11.3505,21.7333,9.3183
2026-08-31T03:00,2,10.6331,22.5333,8.38
2026-08-31T04:00,2,10.3238,23.3283,8.61
2026-08-31T05:00,2,8.9879,22.425,8.44
2026-08-31T06:00,2,17.2584,24.1717,9.2817
2026-08-31T07:00,2,26.5333,24.3333,9.8333
2026-08-31T08:00,2,40.224,28.315,10.7617
2026-08-31T09:00,2,39.733,32.5617,11.8733
2026-08-31T10:00,2,34.8357,25.665,10.81
2026-08-31T11:00,1,22.567,16.6717,7.4817
2026-08-31T12:00,1,20.3288,15.785,7.08
2026-08-31T13:00,1,19.8729,15.1133,7.0117
2026-08-31T14:00,1,13.1487,13.5017,6.16
2026-08-31T15:00,1,11.529,13.7217,5.4467
2026-08-31T16:00,1,15.0298,13.4467,5.495
2026-08-31T17:00,1,13.2348,13.2217,5.9517
2026-08-31T18:00,1,18.6288,14.2433,6.9583
2026-08-31T19:00,1,15.0477,17.565,8.3517
2026-08-31T20:00,1,14.966,19.2933,9.1333
2026-08-31T21:00,2,22.8667,21.5217,10.4667
2026-08-31T22:00,1,16.0437,16.68,8.475
2026-08-31T23:00,1,4.1735,13.3333,7.0383
2026-09-01T00:00,1,4.2724,10.8817,6.2067
2026-09-01T01:00,1,2.6017,8.77,5.1417
2026-09-01T02:00,1,3.7622,11.1767,7.13
2026-09-01T03:00,1,11.8064,13.76,7.655
2026-09-01T04:00,1,10.056,12.3583,6.78
2026-09-01T05:00,1,11.5418,12.4617,6.4233
2026-09-01T06:00,1,12.4409,12.235,6.43
2026-09-01T07:00,1,26.2974,14.6283,7.685
2026-09-01T08:00,1,20.4021,14.0233,6.9383
