datetime,EAQI,NO2,O3,O3_8H,PM10,PM25
2026-09-19T22:00,1,28.0892,29.8433,,18.0,9.9167
2026-09-19T23:00,2,42.0222,10.7167,,19.0,10.9667
2026-09-20T00:00,2,37.0803,5.8933,,27.6167,17.05
2026-09-20T01:00,1,24.7096,14.98,15.4,14.9833,9.1667
2026-09-20T02:00,1,19.3851,11.44,14.6,13.85,8.7167
2026-09-20T03:00,1,21.0749,8.62,13.6,13.9667,8.9
2026-09-20T04:00,1,21.7444,6.2033,12.5,12.9667,9.1
2026-09-20T05:00,1,19.7358,4.7133,11.6,12.0,8.65
2026-09-20T06:00,1,24.3908,4.74,10.8,11.7333,8.2167
2026-09-20T07:00,1,17.7271,5.46,8.1,11.2833,8.15
2026-09-20T08:00,1,18.8431,9.9033,8.0,11.0667,8.0167
2026-09-20T09:00,1,22.0314,17.8933,9.3,8.55,5.7667
2026-09-20T10:00,1,26.5907,23.3233,10.3,9.0667,5.1333
2026-09-20T11:00,1,11.4142,40.3767,13.5,9.35,4.3167
2026-09-20T12:00,1,26.6863,41.3967,17.1,9.7167,5.1
2026-09-20T13:00,2,23.4661,57.6467,22.8,9.8833,5.5333
2026-09-20T14:00,2,26.4951,61.19,29.1,11.1667,5.9833
2026-09-20T15:00,2,20.8198,65.3167,35.8,12.1,6.05
2026-09-20T16:00,2,25.4429,63.1267,42.2,13.25,6.4667
2026-09-20T17:00,1,32.4445,49.3533,46.6,14.3167,7.3
2026-09-20T18:00,1,38.6809,30.6733,48.0,15.1333,7.9667
2026-09-20T19:00,1,37.9731,22.78,48.0,16.2333,9.3
2026-09-20T20:00,2,41.544,17.56,45.4,21.55,13.0
2026-09-20T21:00,2,34.8485,17.3133,42.8,18.7667,10.4333
2026-09-20T22:00,2,30.2254,18.1567,38.4,18.3833,10.4667
2026-09-20T23:00,2,24.8052,19.21,33.7,17.85,10.3833
2026-09-21T00:00,2,25.1241,15.5433,28.2,29.1667,19.9833
2026-09-21T01:00,1,20.5329,14.3633,22.8,14.0833,9.75
2026-09-21T02:00,1,21.6169,12.36,18.7,12.1,9.05
2026-09-21T03:00,1,20.1184,12.4867,16.6,11.4667,8.3833
2026-09-21T04:00,1,25.4748,8.6533,15.1,11.15,8.4167
2026-09-21T05:00,1,19.1938,11.8433,14.4,10.6,8.25
2026-09-21T06:00,1,25.1241,13.6767,14.0,9.55,7.4833
2026-09-21T07:00,1,39.5672,5.4633,12.6,11.0333,8.4333
2026-09-21T08:00,2,43.4251,4.4367,11.0,12.5,8.9667
