datetime,EAQI,NO2,O3,O3_8H,PM10
2026-08-31T04:00,2,21.3618,50.0133,,20.8583
2026-08-31T05:00,1,20.0419,48.37,,19.6883
2026-08-31T06:00,2,29.3103,35.8967,,20.9033
2026-08-31T07:00,2,51.8774,16.4233,37.7,23.3883
2026-08-31T08:00,2,50.3342,20.81,34.3,25.75
2026-08-31T09:00,2,43.5303,23.3767,32.5,31.2917
2026-08-31T10:00,2,26.4504,49.0867,34.9,24.1783
2026-08-31T11:00,2,12.9287,79.2167,40.4,17.6067
2026-08-31T12:00,2,8.8731,96.92,46.7,17.7967
2026-08-31T13:00,3,10.716,112.05,53.6,17.345
2026-08-31T14:00,3,18.6677,112.4833,60.7,19.7967
2026-08-31T15:00,3,18.7378,110.3167,69.0,24.42
2026-08-31T16:00,3,16.3147,115.2833,79.9,20.4483
2026-08-31T17:00,3,13.6971,120.9733,91.1,21.2683
2026-08-31T18:00,3,17.5384,120.8633,101.9,21.6817
2026-08-31T19:00,4,12.6035,142.824,112.3,22.2167
2026-08-31T20:00,3,39.7458,115.504,116.4,24.45
2026-08-31T21:00,2,43.1987,98.1733,116.5,22.4917
2026-08-31T22:00,2,14.1243,87.9733,113.8,17.52
2026-08-31T23:00,2,8.2929,79.77,110.2,16.0617
2026-09-01T00:00,2,6.4468,72.16,105.9,14.2483
2026-09-01T01:00,2,6.1599,66.2533,100.5,11.2033
2026-09-01T02:00,2,6.2109,59.7667,93.7,10.005
2026-09-01T03:00,2,5.9175,51.2467,86.0,10.5217
2026-09-01T04:00,1,6.4309,47.4933,75.4,9.9883
2026-09-01T05:00,1,6.332,44.0,67.4,8.5533
2026-09-01T06:00,1,9.5427,37.5667,60.7,8.305
2026-09-01T07:00,1,17.8483,30.2367,54.3,9.395
2026-09-01T08:00,1,20.7943,24.7867,48.2,11.305
