datetime,EAQI,NO2,O3,O3_8H,PM10
2026-09-06T12:00,2,1.5081,96.13,,4.2367
2026-09-06T13:00,2,1.6528,98.7533,,4.4167
2026-09-06T14:00,3,1.7255,101.7367,,5.4483
2026-09-06T15:00,3,1.6356,101.976,99.6,5.6017
2026-09-06T16:00,3,1.6516,103.58,100.4,5.8283
2026-09-06T17:00,3,1.6165,106.6533,101.5,5.9767
2026-09-06T18:00,3,2.337,111.9167,103.0,7.7767
2026-09-06T19:00,3,3.4562,126.0733,105.9,11.5783
2026-09-06T20:00,4,4.8654,132.2,108.8,13.725
2026-09-06T21:00,4,4.604,131.13,112.7,14.815
2026-09-06T22:00,4,4.3616,130.31,116.2,14.825
2026-09-06T23:00,3,3.8005,128.3733,119.1,14.5717
2026-09-07T00:00,3,3.6347,127.08,121.9,14.5583
2026-09-07T01:00,4,3.5582,130.6833,124.9,17.5967
2026-09-07T02:00,3,3.4402,126.7067,127.2,18.8967
2026-09-07T03:00,3,3.3254,126.54,128.8,19.7017
2026-09-07T04:00,3,3.166,125.1833,128.7,20.095
2026-09-07T05:00,3,3.1405,125.02,127.9,20.0533
2026-09-07T06:00,3,3.0353,124.3167,127.1,19.4933
2026-09-07T07:00,3,4.6486,115.6033,125.5,27.9933
2026-09-07T08:00,3,2.9843,110.5833,123.5,21.04
2026-09-07T09:00,3,3.6666,112.4333,121.9,16.96
2026-09-07T10:00,3,3.4625,111.0533,119.7,13.6283
2026-09-07T11:00,3,3.2521,115.7933,118.5,11.3783
2026-09-07T12:00,3,3.386,105.87,116.2,11.1483
2026-09-07T13:00,3,4.9317,118.15,115.4,13.0117
2026-09-07T14:00,3,5.4839,124.756,115.4,13.46
2026-09-07T15:00,3,4.5466,122.412,115.2,12.7917
2026-09-07T16:00,3,4.2309,121.8267,115.9,13.035
2026-09-07T17:00,3,3.1756,111.86,116.0,12.8983
2026-09-07T18:00,3,2.844,107.33,115.5,10.8083
2026-09-07T19:00,3,3.1788,100.39,114.3,13.1383
2026-09-07T20:00,3,2.8823,103.88,112.9,17.2217
2026-09-07T21:00,3,2.6878,109.4067,113.3,13.83
2026-09-07T22:00,3,2.8823,113.0067,112.8,13.515
2026-09-07T23:00,3,2.8695,107.5033,110.8,12.91
2026-09-08T00:00,3,2.7452,103.22,108.7,11.175
2026-09-08T01:00,3,2.8217,105.7967,106.9,10.9567
2026-09-08T02:00,3,2.8504,104.9233,106.2,11.5517
2026-09-08T03:00,3,2.8376,103.5933,105.7,11.4633
2026-09-08T04:00,3,2.6941,107.4833,106.5,11.8117
2026-09-08T05:00,3,2.6431,109.3967,107.1,12.2467
2026-09-08T06:00,3,2.6144,107.7467,107.0,13.2083
2026-09-08T07:00,3,2.2095,109.4633,106.6,12.69
2026-09-08T08:00,2,2.2446,99.4867,105.7,11.1283
2026-09-08T09:00,2,3.0289,90.7333,104.3,14.145
2026-09-08T10:00,2,2.6878,90.6267,102.6,12.0333
