datetime,CO,NO2,PM10,PM25
2026-08-08T03:00,0.1933,7.703,6.605,6.12
2026-08-08T04:00,0.1837,6.8485,6.3883,4.9533
2026-08-08T05:00,0.1837,6.3097,6.5433,4.7533
2026-08-08T06:00,0.1895,11.9212,7.4933,5.3267
2026-08-08T07:00,0.1856,13.0275,7.19,5.6583
2026-08-08T08:00,0.1972,12.7151,6.5817,5.5883
2026-08-08T09:00,0.2571,19.5891,14.96,10.805
2026-08-08T10:00,0.2707,19.5126,9.9883,9.0617
2026-08-08T11:00,0.2726,17.3477,10.715,7.925
2026-08-08T12:00,0.2475,14.7301,12.815,8.0317
2026-08-08T13:00,0.239,13.2571,15.7033,8.6233
2026-08-08T14:00,0.2297,10.7766,17.445,8.7733
2026-08-08T15:00,0.2397,13.8565,19.6467,9.3283
2026-08-08T16:00,0.2494,10.5502,24.6083,10.9733
2026-08-08T17:00,0.2436,14.1371,27.9233,13.6417
2026-08-08T18:00,0.2745,16.5698,37.0717,20.2183
2026-08-08T19:00,0.3209,22.3247,33.2633,21.8117
2026-08-08T20:00,0.2765,19.3245,20.72,15.0517
2026-08-08T21:00,0.2475,12.2049,14.2367,11.6817
2026-08-08T22:00,0.2707,20.5297,13.065,11.515
2026-08-08T23:00,0.2281,10.5279,11.8733,10.4183
2026-08-09T00:00,0.2204,6.7146,13.125,11.595
2026-08-09T01:00,0.2243,7.9071,14.3033,13.4883
2026-08-09T02:00,0.2339,10.0783,15.395,13.1033
2026-08-09T03:00,0.2378,9.667,14.92,13.25
2026-08-09T04:00,0.2378,10.0337,16.1467,14.49
2026-08-09T05:00,0.2397,11.3855,18.9633,15.2133
2026-08-09T06:00,0.2436,11.6342,23.5833,17.4817
2026-08-09T07:00,0.2397,12.9925,17.9217,14.3083
2026-08-09T08:00,0.2301,13.7035,13.4967,11.3617
2026-08-09T09:00,0.2765,18.4222,15.0333,12.405
2026-08-09T10:00,0.2784,16.353,16.9867,12.8633
2026-08-09T11:00,0.2861,15.8741,16.3533,11.3267
2026-08-09T12:00,0.2668,16.2949,15.5817,9.895
2026-08-09T13:00,0.2459,10.7638,15.8883,9.2783
2026-08-09T14:00,0.2455,9.6033,19.8983,11.0367
2026-08-09T15:00,0.2359,8.7902,19.38,10.4
2026-08-09T16:00,0.2243,8.3215,17.2567,9.4467
2026-08-09T17:00,0.2204,9.0325,17.0383,9.3383
2026-08-09T18:00,0.2552,15.0776,17.2017,10.1183
2026-08-09T19:00,0.2552,19.3946,15.6567,10.215
2026-08-09T20:00,0.2707,19.5796,13.93,10.0483
2026-08-09T21:00,0.2668,18.4413,12.8267,10.6583
2026-08-09T22:00,0.2571,16.9332,12.92,11.3433
2026-08-09T23:00,0.1933,6.8517,12.6767,10.165
2026-08-10T00:00,0.1895,7.1259,11.6017,10.175
2026-08-10T01:00,0.1875,5.8602,10.115,9.9633
2026-08-10T02:00,0.1895,6.2077,8.47,10.7017
2026-08-10T03:00,0.1779,5.0726,8.9817,10.775
2026-08-10T04:00,0.1875,5.9494,10.5167,10.165
2026-08-10T05:00,0.1817,6.6413,9.5533,9.5233
2026-08-10T06:00,0.1875,6.9187,8.92,8.9283
2026-08-10T07:00,0.1895,11.5864,7.6817,8.24
2026-08-10T08:00,0.2687,17.1214,10.3617,9.12
2026-08-10T09:00,0.2571,16.8854,10.1933,9.3417
2026-08-10T10:00,0.2842,21.9421,10.255,10.605
2026-08-10T11:00,0.2738,19.8072,11.26,9.1833
2026-08-10T12:00,0.2598,17.064,12.525,8.5433
2026-08-10T13:00,0.261,15.9799,15.4117,9.6233
2026-08-10T14:00,0.2378,14.1211,15.6967,9.255
2026-08-10T15:00,0.2146,12.6322,13.8817,7.7167
2026-08-10T16:00,0.2339,16.1489,16.9867,8.2033
2026-08-10T17:00,0.2436,17.6283,22.16,9.1133
2026-08-10T18:00,0.2745,25.4844,24.605,10.9967
2026-08-10T19:00,0.2707,20.5966,28.0783,15.425
2026-08-10T20:00,0.2436,17.5422,21.405,12.96
2026-08-10T21:00,0.1817,3.6953,15.025,10.1417
2026-08-10T22:00,0.1875,4.6326,17.9617,11.8283
2026-08-10T23:00,0.1817,5.3086,19.525,12.415
2026-08-11T00:00,0.1759,5.1141,16.3283,11.7817
2026-08-11T01:00,0.174,4.3234,13.3733,10.1683
2026-08-11T02:00,0.1759,5.1013,13.1117,10.5633
2026-08-11T03:00,0.1759,5.1555,11.0117,9.4783
2026-08-11T04:00,0.174,3.8738,8.7617,7.8667
2026-08-11T05:00,0.174,3.2138,8.6833,7.4433
2026-08-11T06:00,0.1759,6.1854,8.8883,7.4383
2026-08-11T07:00,0.1972,14.8672,9.72,8.1467
2026-08-11T08:00,0.2069,11.0922,9.8533,8.3067
2026-08-11T09:00,0.2533,12.4001,10.5233,8.6617
2026-08-11T10:00,0.2204,15.4494,11.4133,8.4467
2026-08-11T11:00,0.2645,16.5506,11.505,7.3667
2026-08-11T12:00,0.2494,16.286,13.8767,7.03
2026-08-11T13:00,0.2359,,17.3783,8.4783
2026-08-11T14:00,,,20.2217,8.9033
2026-08-11T15:00,0.2107,,20.115,8.97
2026-08-11T16:00,0.2359,13.0122,19.3317,8.7867
2026-08-11T17:00,0.2223,15.9704,19.2767,8.6533
2026-08-11T18:00,0.2359,16.6431,19.1817,8.4417
2026-08-11T19:00,0.2397,22.1972,15.6017,8.2517
2026-08-11T20:00,0.2397,18.639,14.25,8.1783
2026-08-11T21:00,0.2127,12.5046,12.6067,8.39
2026-08-11T22:00,0.1953,5.9207,13.54,9.555
2026-08-11T23:00,0.1856,3.1278,13.4383,9.9783
2026-08-12T00:00,0.1856,3.402,13.6667,11.4883
2026-08-12T01:00,0.1895,3.8164,10.4217,10.0517
2026-08-12T02:00,0.1779,2.5889,7.92,9.6667
2026-08-12T03:00,0.174,1.9002,7.565,9.4033
2026-08-12T04:00,0.1759,2.0852,7.89,8.825
2026-08-12T05:00,0.1817,3.8324,8.9383,9.2433
2026-08-12T06:00,0.1837,5.2958,8.4433,8.8467
2026-08-12T07:00,0.2049,10.0177,8.9467,9.2167
2026-08-12T08:00,0.2765,20.7828,10.0633,9.9183
2026-08-12T09:00,0.4292,23.0784,12.2467,11.6167
2026-08-12T10:00,0.2598,22.1302,11.7067,10.9283
2026-08-12T11:00,0.2939,22.6276,13.18,10.0267
2026-08-12T12:00,0.2533,15.3359,15.8717,10.3933
2026-08-12T13:00,0.2417,15.355,19.6983,11.0117
2026-08-12T14:00,0.2049,13.3942,22.8617,11.9667
2026-08-12T15:00,0.2011,12.629,23.7783,11.33
2026-08-12T16:00,0.2301,15.9512,29.095,12.8467
2026-08-12T17:00,0.2397,19.3819,32.3367,15.1667
2026-08-12T18:00,0.3132,24.4354,35.06,16.4817
2026-08-12T19:00,0.2803,22.5383,30.8633,16.8483
2026-08-12T20:00,0.2881,16.3944,25.9217,16.0533
2026-08-12T21:00,0.2861,19.9271,23.9917,16.655
2026-08-12T22:00,0.2455,13.2858,24.1217,18.0217
2026-08-12T23:00,0.2185,6.9601,21.3983,16.0267
2026-08-13T00:00,0.2475,10.9966,20.785,16.2333
2026-08-13T01:00,0.2359,11.8192,21.4817,16.705
2026-08-13T02:00,0.2359,11.4429,21.0467,17.675
2026-08-13T03:00,0.232,10.2601,21.18,18.5833
2026-08-13T04:00,0.232,9.8711,21.66,18.8083
2026-08-13T05:00,0.2301,10.3589,21.8267,18.6783
2026-08-13T06:00,0.2339,13.9075,22.61,18.3583
2026-08-13T07:00,0.2397,16.161,22.7817,18.6433
2026-08-13T08:00,0.2761,23.4687,21.7467,18.1833
2026-08-13T09:00,0.3387,30.7419,22.8667,19.6117
2026-08-13T10:00,0.3287,30.0915,21.64,18.0817
2026-08-13T11:00,0.3209,23.3067,22.8583,16.55
2026-08-13T12:00,0.2958,21.3491,24.69,15.9683
2026-08-13T13:00,0.2823,17.606,26.2433,16.045
2026-08-13T14:00,0.2881,16.1999,27.4617,16.0083
2026-08-13T15:00,0.2687,15.3646,28.8233,15.5233
2026-08-13T16:00,0.2745,18.6613,28.4767,15.4583
2026-08-13T17:00,0.2745,18.9323,26.9583,14.795
2026-08-13T18:00,0.2803,21.1004,23.1883,12.8683
2026-08-13T19:00,0.3132,28.6472,23.6833,13.835
2026-08-13T20:00,0.2745,17.8547,22.3067,13.1733
2026-08-13T21:00,0.2629,15.4762,18.635,11.8167
2026-08-13T22:00,0.2552,15.0649,18.7517,13.0017
2026-08-13T23:00,0.2513,12.6258,19.8367,14.6633
2026-08-14T00:00,0.2533,11.5864,20.1367,13.9133
2026-08-14T01:00,0.2378,7.9071,19.595,13.39
2026-08-14T02:00,0.2339,7.9326,19.6117,13.9633
2026-08-14T03:00,0.2339,8.0888,20.1183,15.2733
2026-08-14T04:00,0.232,9.3833,20.51,16.3033
2026-08-14T05:00,0.232,12.0168,19.9017,16.2733
2026-08-14T06:00,0.2262,12.5187,19.2767,16.315
2026-08-14T07:00,0.2529,20.01,19.6117,16.39
2026-08-14T08:00,0.29,22.9528,19.65,16.425
2026-08-14T09:00,0.3441,27.171,22.0317,18.8683
2026-08-14T10:00,0.3171,27.7194,18.82,15.915
2026-08-14T11:00,0.3035,22.4427,19.6233,15.1967
2026-08-14T12:00,0.2881,21.6615,21.9017,15.525
2026-08-14T13:00,0.2939,18.5178,24.0083,15.895
2026-08-14T14:00,0.2745,15.2976,25.22,15.0217
2026-08-14T15:00,0.2745,20.8262,27.3117,15.8617
2026-08-14T16:00,0.261,27.5982,25.3867,14.745
2026-08-14T17:00,0.2417,30.2987,19.2667,11.5733
2026-08-14T18:00,0.2687,27.3527,19.375,12.12
2026-08-14T19:00,0.2784,21.11,19.6117,12.71
2026-08-14T20:00,0.2533,16.3561,17.3417,12.0383
2026-08-14T21:00,0.2417,13.6875,15.3617,11.105
2026-08-14T22:00,0.2417,12.7278,15.4067,11.36
2026-08-14T23:00,0.2552,14.7205,16.1583,12.1117
2026-08-15T00:00,0.2339,10.8818,17.35,12.04
2026-08-15T01:00,0.2359,7.719,18.72,13.3683
2026-08-15T02:00,0.2262,6.1439,19.5,13.8083
2026-08-15T03:00,0.2301,9.9508,18.2117,13.365
2026-08-15T04:00,0.232,11.6725,17.5067,13.6667
2026-08-15T05:00,0.2243,11.7152,18.5333,14.7683
2026-08-15T06:00,0.225,15.7593,19.4533,15.2267
2026-08-15T07:00,0.2366,16.7164,19.4883,15.0183
2026-08-15T08:00,0.2417,17.2903,19.2233,14.93
2026-08-15T09:00,0.2745,21.3873,18.7217,16.4733
2026-08-15T10:00,0.2745,22.7806,17.275,14.6117
2026-08-15T11:00,0.2881,19.2448,17.4617,13.4917
2026-08-15T12:00,0.3151,18.3807,20.4217,14.7467
2026-08-15T13:00,0.2803,14.3921,22.3983,14.59
2026-08-15T14:00,0.2533,10.1676,22.8167,13.8567
2026-08-15T15:00,0.2417,8.4044,23.1633,13.5417
2026-08-15T16:00,0.2397,9.7499,22.8067,13.9883
2026-08-15T17:00,0.261,12.7215,21.65,13.6467
2026-08-15T18:00,0.261,20.4787,20.42,12.6317
2026-08-15T19:00,0.2513,16.0054,18.6567,12.285
2026-08-15T20:00,0.2591,22.7647,16.5667,11.4517
2026-08-15T21:00,0.261,18.9259,15.575,11.4567
2026-08-15T22:00,0.2223,8.0123,14.35,12.3083
2026-08-15T23:00,0.2111,6.4812,14.518,11.512
2026-08-16T01:00,0.2146,6.179,14.4033,10.4767
2026-08-16T02:00,0.2165,8.5926,14.055,11.5417
2026-08-16T03:00,0.2185,10.2888,11.9983,11.1817
2026-08-16T04:00,0.2107,10.0012,11.7283,11.355
2026-08-16T05:00,0.2111,10.6325,11.8767,11.895
2026-08-16T06:00,0.2181,8.7615,12.2667,12.035
2026-08-16T07:00,0.2185,10.649,13.005,11.9917
2026-08-16T08:00,0.2494,14.2614,12.76,12.0533
2026-08-16T09:00,0.261,16.2573,12.8317,13.2883
2026-08-16T10:00,0.2417,16.0086,11.1933,12.19
2026-08-16T11:00,0.2668,16.2764,12.415,11.085
2026-08-16T12:00,0.2417,11.4238,12.3467,9.7483
2026-08-16T13:00,0.2339,10.8053,13.6417,9.2317
2026-08-16T14:00,0.2378,11.8192,16.6983,10.4717
2026-08-16T15:00,0.2475,12.9191,22.735,12.9317
2026-08-16T16:00,0.2417,10.3716,24.2217,14.3167
2026-08-16T17:00,0.1991,4.757,15.4683,10.145
2026-08-16T18:00,0.2185,8.2865,10.805,9.0717
2026-08-16T19:00,0.2185,10.4227,11.8067,10.7633
2026-08-16T21:00,0.2784,13.6512,10.85,9.816
2026-08-16T22:00,0.2513,13.34,8.195,7.7033
2026-08-16T23:00,0.203,6.552,3.1,4.0917
2026-08-17T00:00,0.2011,4.9802,3.3217,5.0317
2026-08-17T01:00,0.1933,4.1831,3.175,5.0417
2026-08-17T02:00,0.1953,4.5721,3.3167,5.995
2026-08-17T03:00,0.1837,4.8055,5.7983,8.1383
2026-08-17T04:00,0.1879,6.1446,6.245,8.19
2026-08-17T05:00,0.1995,5.2894,5.295,6.875
2026-08-17T06:00,0.1933,6.8167,5.365,7.2717
2026-08-17T07:00,0.2011,8.7265,5.8983,7.265
2026-08-17T08:00,0.2185,11.7458,6.2417,7.6617
2026-08-17T09:00,0.2533,11.9754,7.205,7.6983
2026-08-17T10:00,0.2359,15.0394,9.35,9.0317
2026-08-17T11:00,0.2765,19.8697,6.9517,7.805
2026-08-17T12:00,0.2877,22.0531,9.326,7.446
2026-08-17T14:00,0.261,15.4411,14.6883,8.5217
2026-08-17T15:00,0.2455,15.2147,28.2783,12.5333
2026-08-17T16:00,0.2455,12.8012,21.8483,12.0967
2026-08-17T17:00,0.2784,22.9114,14.6217,10.3267
2026-08-17T18:00,0.2803,19.9717,11.78,10.0967
2026-08-17T19:00,0.2591,18.4126,9.5067,9.04
2026-08-17T20:00,0.2726,17.6793,8.2983,8.31
2026-08-17T21:00,0.2707,17.8451,10.3833,9.8417
2026-08-17T22:00,0.2629,19.8914,9.7833,9.175
2026-08-17T23:00,0.2459,17.064,7.275,6.6517
2026-08-18T00:00,0.2436,16.1712,5.5517,5.2183
2026-08-18T01:00,0.2127,9.5841,3.8083,3.94
2026-08-18T02:00,0.2088,7.6839,2.72,4.44
2026-08-18T03:00,0.2049,7.6361,2.275,5.365
2026-08-18T04:00,0.1721,7.0494,2.4867,5.9317
2026-08-18T05:00,0.1759,8.0187,2.995,7.2533
2026-08-18T06:00,0.1895,12.3867,3.67,7.7483
2026-08-18T07:00,0.2069,13.3974,4.1017,8.1017
2026-08-18T08:00,0.3055,27.9553,6.6667,8.8817
2026-08-18T09:00,0.3287,33.0056,9.2217,9.1683
2026-08-18T10:00,0.3171,26.5811,9.0333,8.3733
2026-08-18T11:00,0.29,25.9339,9.2167,8.3233
2026-08-18T12:00,0.3151,22.8061,,
2026-08-18T13:00,0.2939,23.7913,,
2026-08-18T14:00,0.2784,16.0724,16.9633,8.6617
2026-08-18T15:00,0.2668,12.1316,18.7917,8.355
2026-08-18T16:00,0.2738,13.7659,19.858,9.078
2026-08-18T17:00,0.2687,16.353,18.93,8.39
2026-08-18T18:00,0.2977,18.7825,19.5617,8.885
2026-08-18T19:00,0.348,23.7913,19.9033,9.7683
2026-08-18T20:00,0.3151,26.9637,19.1067,10.6717
2026-08-18T21:00,0.2707,22.4854,16.8283,10.955
2026-08-18T22:00,0.2297,13.7698,14.6283,9.25
2026-08-18T23:00,0.2181,10.1421,10.7583,7.39
2026-08-19T00:00,0.1991,8.0155,10.355,7.8217
2026-08-19T01:00,0.1914,6.8772,8.67,7.4467
2026-08-19T02:00,0.1856,5.8602,7.465,7.3767
2026-08-19T03:00,0.1837,5.1396,7.595,7.615
2026-08-19T04:00,0.1759,4.9068,6.64,6.7983
2026-08-19T05:00,0.174,5.7167,5.67,6.3867
2026-08-19T06:00,0.1759,5.7326,5.0683,5.6233
2026-08-19T07:00,0.1817,9.4279,5.145,5.2367
2026-08-19T08:00,0.1972,10.7829,4.965,5.1483
2026-08-19T09:00,0.2146,14.8449,5.4767,5.6667
2026-08-19T10:00,0.2591,18.0874,5.7933,6.6633
2026-08-19T11:00,0.2629,20.8804,7.7117,7.1167
2026-08-19T12:00,0.2513,16.4199,9.8483,6.86
2026-08-19T13:00,0.2861,21.8337,13.8883,10.095
2026-08-19T14:00,0.2765,14.5802,17.8633,12.6783
2026-08-19T15:00,0.2765,17.7781,19.9283,12.215
2026-08-19T16:00,0.3055,18.4605,23.3183,12.0417
2026-08-19T17:00,0.2919,19.5254,22.57,11.8833
2026-08-19T18:00,0.3093,23.0198,22.9933,12.6883
2026-08-19T19:00,0.2861,20.3416,22.235,13.0167
2026-08-19T20:00,0.2803,20.6374,21.2417,12.7117
2026-08-19T21:00,0.2622,14.8908,19.8267,12.37
2026-08-19T22:00,0.2645,12.7374,17.4417,12.2667
2026-08-19T23:00,0.2977,16.7834,16.81,12.6767
2026-08-20T00:00,0.2378,12.1252,14.145,11.0867
2026-08-20T01:00,0.2281,10.0401,12.8183,10.36
2026-08-20T02:00,0.2204,9.3609,13.73,11.6867
2026-08-20T03:00,0.1991,4.5115,11.0417,10.0417
2026-08-20T04:00,0.1875,3.4753,6.8533,5.8833
2026-08-20T05:00,0.1759,5.6752,5.3367,4.7867
2026-08-20T06:00,0.1875,11.8638,4.3483,4.2483
2026-08-20T07:00,0.1972,12.8681,4.0967,4.705
2026-08-20T08:00,0.2629,28.137,4.9117,5.7
2026-08-20T09:00,0.2649,30.4454,5.325,5.8867
2026-08-20T10:00,0.29,34.0036,8.1767,7.8233
2026-08-20T11:00,0.3093,36.3884,7.9317,7.4833
2026-08-20T12:00,0.3151,36.4331,8.4767,8.83
2026-08-20T13:00,0.3035,36.9081,10.3683,9.735
2026-08-20T14:00,0.2842,34.5201,10.8467,10.8283
2026-08-20T15:00,0.2881,35.196,7.855,9.045
2026-08-20T16:00,0.2339,22.0569,4.35,2.665
2026-08-20T17:00,0.232,21.1291,4.54,2.4783
2026-08-20T18:00,0.2513,22.7838,3.0117,1.85
2026-08-20T19:00,0.2552,24.628,3.9833,2.9867
2026-08-20T20:00,0.2645,23.2429,4.0067,3.4667
2026-08-20T21:00,0.2761,23.023,3.5317,3.3017
2026-08-20T22:00,0.2359,14.7301,2.1367,2.38
2026-08-20T23:00,0.2378,16.2541,2.98,3.1717
2026-08-21T00:00,0.232,15.6834,4.665,5.79
2026-08-21T01:00,0.2127,11.4971,3.8667,3.6867
2026-08-21T02:00,0.2088,8.4236,8.7517,6.8933
2026-08-21T03:00,0.2107,7.4798,10.5533,6.4833
2026-08-21T04:00,0.2049,7.7636,10.6167,6.825
2026-08-21T05:00,0.1972,6.7625,6.7067,4.7833
2026-08-21T06:00,0.1991,10.1038,4.4933,2.755
2026-08-21T07:00,0.3519,15.3678,6.885,3.065
2026-08-21T08:00,0.2513,15.9002,5.905,2.9917
2026-08-21T09:00,0.2861,22.9337,7.915,5.5267
2026-08-21T10:00,0.3209,28.5324,8.7417,5.9
2026-08-21T11:00,0.2881,29.3072,10.46,5.4967
2026-08-21T12:00,0.2707,27.764,10.6567,6.3583
2026-08-21T13:00,0.2533,19.0535,7.88,6.0
2026-08-21T14:00,0.2803,23.1186,5.2283,4.5117
2026-08-21T15:00,0.2533,22.583,7.235,5.6217
2026-08-21T16:00,0.2417,19.3564,5.5717,4.905
2026-08-21T17:00,0.3055,32.9259,9.0583,7.12
2026-08-21T18:00,0.2494,21.6781,5.2617,4.3183
2026-08-21T19:00,0.283,33.7606,4.2967,3.6267
2026-08-21T20:00,0.2482,22.803,1.4667,2.15
2026-08-21T21:00,0.2417,22.1908,2.2933,2.9317
2026-08-21T22:00,0.2765,26.6704,6.3633,4.6167
2026-08-21T23:00,0.2687,24.1899,16.29,9.2233
2026-08-22T00:00,0.2204,14.102,5.7167,1.3167
2026-08-22T01:00,0.2127,8.1079,0.855,0.1133
2026-08-22T02:00,0.1817,3.5327,0.16,0.0
