datetime,NO2,O3,PM10,PM25
2026-08-08T03:00,6.1216,18.3767,29.4833,13.695
2026-08-08T04:00,6.3926,24.6033,29.575,16.2133
2026-08-08T05:00,6.7051,19.9333,26.3867,12.9583
2026-08-08T06:00,7.4384,18.1267,24.7367,9.7533
2026-08-08T07:00,12.2113,12.0667,19.405,8.7567
2026-08-08T08:00,15.6356,15.18,15.495,9.415
2026-08-08T09:00,16.1489,33.1967,10.3,5.3917
2026-08-08T10:00,8.4395,54.69,8.3967,3.2433
2026-08-08T11:00,6.2938,66.2967,9.1467,2.7933
2026-08-08T12:00,6.3244,74.5167,9.62,3.1633
2026-08-08T13:00,4.7634,83.636,9.7533,3.3933
2026-08-08T14:00,7.2566,87.3,8.71,3.285
2026-08-08T15:00,5.8761,94.0333,8.01,3.8167
2026-08-08T16:00,4.9738,99.8633,7.59,4.3667
2026-08-08T17:00,5.9654,98.38,8.2183,4.5833
2026-08-08T18:00,7.3013,99.72,9.77,4.9183
2026-08-08T19:00,6.9314,104.4467,10.73,6.1867
2026-08-08T20:00,12.0455,102.7367,13.615,9.635
2026-08-08T21:00,5.4074,101.9933,20.6133,16.3167
2026-08-08T22:00,6.061,71.8,23.0267,21.8733
2026-08-08T23:00,9.8328,55.5433,21.6533,23.5433
2026-08-09T00:00,9.1378,51.5033,22.6633,20.8117
2026-08-09T01:00,7.3364,46.8433,22.0883,20.6133
2026-08-09T02:00,7.3874,30.95,21.32,18.735
2026-08-09T03:00,7.8178,30.3267,21.4833,20.515
2026-08-09T04:00,7.263,27.8733,22.0617,19.86
2026-08-09T05:00,7.228,20.6033,20.8783,20.175
2026-08-09T06:00,8.0888,16.8367,22.24,18.585
2026-08-09T07:00,10.1389,21.0433,18.3317,16.9717
2026-08-09T08:00,9.1983,22.52,16.6883,16.6767
2026-08-09T09:00,9.8424,29.1167,16.74,15.4167
2026-08-09T10:00,5.8538,52.1367,16.5667,13.25
2026-08-09T11:00,4.0976,78.6733,16.1583,11.045
2026-08-09T12:00,6.603,102.492,14.0983,8.5433
2026-08-09T13:00,5.9207,113.284,14.6383,9.0717
2026-08-09T14:00,7.6424,114.4,13.1717,8.77
2026-08-09T15:00,6.772,115.71,13.0983,8.9583
2026-08-09T16:00,5.6625,116.91,12.7367,8.9783
2026-08-09T17:00,6.5425,114.8267,11.705,8.2833
2026-08-09T18:00,6.7306,115.5233,11.2233,8.2317
