datetime,NO2,O3,PM10
2026-08-27T21:00,3.8706,118.3933,28.0633
2026-08-27T22:00,3.3988,111.14,26.4083
2026-08-27T23:00,3.4593,114.3167,25.6217
2026-08-28T00:00,3.0302,111.2467,24.54
2026-08-28T01:00,2.5328,105.6,26.1967
2026-08-28T02:00,2.6049,105.024,24.6183
2026-08-28T03:00,2.404,102.076,30.1817
2026-08-28T04:00,2.4805,103.2267,26.4167
2026-08-28T05:00,2.2637,101.8867,32.6467
2026-08-28T06:00,2.1521,100.99,33.74
2026-08-28T07:00,2.3179,103.9033,38.5267
2026-08-28T08:00,2.1968,107.13,40.9167
2026-08-28T09:00,2.2669,107.46,37.3517
2026-08-28T10:00,2.3339,105.13,39.31
2026-08-28T11:00,1.9704,95.0933,40.5383
2026-08-28T12:00,1.8588,88.91,32.82
2026-08-28T13:00,1.9066,90.4533,27.505
2026-08-28T14:00,2.1202,95.3933,31.3717
2026-08-28T15:00,2.184,99.74,36.4917
2026-08-28T16:00,2.3944,100.41,40.4767
2026-08-28T17:00,2.4582,95.5667,45.0667
2026-08-28T18:00,2.5985,92.9067,47.9467
2026-08-28T19:00,2.5443,94.73,44.6383
2026-08-28T20:00,3.0289,94.3867,47.535
2026-08-28T21:00,3.5709,93.3767,48.74
2026-08-28T22:00,2.3689,94.52,27.9683
2026-08-28T23:00,1.8594,100.0967,16.5683
2026-08-29T00:00,1.7217,103.41,17.5483
2026-08-29T01:00,1.626,98.268,23.0217
2026-08-29T02:00,1.8588,112.28,15.765
2026-08-29T03:00,1.8269,100.4567,18.25
2026-08-29T04:00,1.8046,88.47,18.7567
2026-08-29T05:00,1.7695,79.1133,16.0083
2026-08-29T06:00,1.8173,74.4667,12.47
2026-08-29T07:00,1.6388,75.6233,10.6067
2026-08-29T08:00,1.4921,74.8133,9.9517
2026-08-29T09:00,4.2564,81.2733,8.0267
2026-08-29T10:00,1.2435,87.6633,7.8
2026-08-29T11:00,1.3008,86.4333,7.1683
2026-08-29T12:00,1.5718,85.39,7.1433
2026-08-29T13:00,2.0756,92.1,9.7933
2026-08-29T14:00,1.964,97.9767,13.445
2026-08-29T15:00,1.4634,102.6367,18.1733
2026-08-29T16:00,1.5208,101.6833,17.9133
2026-08-29T17:00,1.5495,103.65,17.0783
2026-08-29T18:00,2.015,108.3033,17.5217
2026-08-29T19:00,2.7611,110.25,22.785
2026-08-29T20:00,3.7495,115.64,27.83
2026-08-29T21:00,3.6602,116.88,29.215
2026-08-29T22:00,3.6079,115.8767,26.6633
2026-08-29T23:00,3.1871,116.9433,21.01
2026-08-30T00:00,2.9141,117.068,16.4833
2026-08-30T01:00,2.7069,116.892,14.4
2026-08-30T02:00,2.5666,114.0567,13.7167
2026-08-30T03:00,2.5411,112.7467,12.7567
2026-08-30T04:00,2.5315,111.26,12.49
2026-08-30T05:00,2.5092,109.45,11.825
2026-08-30T06:00,2.4295,111.55,11.7883
2026-08-30T07:00,2.4072,112.39,11.76
2026-08-30T08:00,2.4008,110.1267,11.065
2026-08-30T09:00,2.9046,99.46,11.68
2026-08-30T10:00,2.4901,92.18,9.8817
2026-08-30T11:00,2.6718,88.2633,10.0117
2026-08-30T12:00,2.7739,89.2933,11.2183
2026-08-30T13:00,2.8727,97.59,13.705
2026-08-30T14:00,2.2701,111.79,13.94
2026-08-30T15:00,2.1744,113.8067,14.63
2026-08-30T16:00,2.2765,113.7533,16.495
2026-08-30T17:00,2.3434,118.35,15.4917
2026-08-30T18:00,2.6814,121.0667,16.3483
2026-08-30T19:00,3.4115,126.0967,18.7783
2026-08-30T20:00,4.5147,128.55,22.0033
2026-08-30T21:00,4.0403,132.0733,23.1933
2026-08-30T22:00,3.7265,133.4633,22.39
2026-08-30T23:00,3.5454,134.848,18.8233
2026-08-31T00:00,3.3446,134.58,16.1133
2026-08-31T01:00,3.268,135.9867,15.0417
2026-08-31T02:00,3.2043,133.3567,13.465
2026-08-31T03:00,3.166,131.0533,12.7217
2026-08-31T04:00,3.2138,134.04,13.15
2026-08-31T05:00,3.2489,132.96,12.77
2026-08-31T06:00,3.3318,135.43,12.68
2026-08-31T07:00,3.1915,131.4333,11.315
2026-08-31T08:00,3.9089,124.7867,13.385
2026-08-31T09:00,5.8665,119.7333,16.495
2026-08-31T10:00,3.0576,129.5967,11.2583
2026-08-31T11:00,3.8419,105.7133,11.6217
2026-08-31T12:00,4.0428,105.45,12.58
