datetime,C6H6,EAQI,NO2,PM10
2026-08-31T04:00,,1,27.0,
2026-08-31T05:00,0.9,1,24.0,
2026-08-31T06:00,1.0,1,38.0,
2026-08-31T07:00,1.1,1,34.0,
2026-08-31T08:00,1.3,1,34.0,
2026-08-31T09:00,1.5,1,31.0,
2026-08-31T10:00,1.4,1,35.0,
2026-08-31T11:00,1.6,1,27.0,
2026-08-31T12:00,1.0,1,22.0,
2026-08-31T13:00,0.7,1,14.0,
2026-08-31T14:00,0.6,1,13.0,
2026-08-31T15:00,0.5,,,
2026-08-31T16:00,0.6,1,19.0,
2026-08-31T17:00,0.7,1,25.0,
2026-08-31T18:00,0.9,1,27.0,
2026-08-31T19:00,0.9,1,32.0,
2026-08-31T20:00,1.1,2,45.0,
2026-08-31T21:00,1.4,1,34.0,
2026-08-31T22:00,1.3,2,49.0,
2026-08-31T23:00,1.9,1,39.0,
2026-09-01T00:00,1.4,2,30.0,23.0
