datetime,EAQI,NO2,O3,O3_8H,PM10,PM25
2026-09-06T12:00,3,3.0,120.0,,,
2026-09-06T13:00,3,3.0,128.0,,,
2026-09-06T14:00,4,3.0,135.0,,,
2026-09-06T15:00,4,2.0,143.0,131.5,,
2026-09-06T16:00,4,3.0,146.0,134.4,,
2026-09-06T17:00,4,3.0,140.0,135.3,,
2026-09-06T18:00,3,3.0,129.0,134.4,,
2026-09-06T19:00,3,5.0,117.0,132.2,,
2026-09-06T20:00,3,6.0,103.0,129.0,,
2026-09-06T21:00,2,7.0,90.0,125.7,,
2026-09-06T22:00,2,10.0,79.0,120.2,,
2026-09-06T23:00,2,11.0,68.0,112.8,,
2026-09-07T00:00,2,12.0,59.0,103.4,22.0,9.0
2026-09-07T01:00,1,17.0,50.0,92.8,,
2026-09-07T02:00,1,16.0,42.0,81.9,,
2026-09-07T03:00,1,14.0,35.0,71.4,,
2026-09-07T04:00,1,15.0,29.0,61.7,,
2026-09-07T05:00,1,19.0,16.0,52.0,,
2026-09-07T06:00,1,29.0,10.0,43.1,,
2026-09-07T07:00,1,30.0,12.0,35.7,,
2026-09-07T08:00,1,28.0,27.0,31.1,,
2026-09-07T09:00,1,29.0,49.0,30.0,,
2026-09-07T10:00,2,18.0,82.0,33.6,,
2026-09-07T11:00,3,9.0,106.0,40.7,,
2026-09-07T12:00,3,6.0,123.0,50.4,,
2026-09-07T13:00,3,4.0,129.0,61.6,,
2026-09-07T14:00,4,4.0,136.0,74.9,,
2026-09-07T15:00,4,4.0,143.0,89.7,,
2026-09-07T16:00,4,5.0,144.0,104.3,,
2026-09-07T17:00,4,6.0,141.0,117.0,,
2026-09-07T18:00,4,8.0,131.0,126.1,,
2026-09-07T19:00,3,11.0,116.0,129.9,,
2026-09-07T20:00,3,13.0,107.0,130.0,,
2026-09-07T21:00,2,13.0,90.0,126.3,,
2026-09-07T22:00,2,12.0,79.0,120.8,,
2026-09-07T23:00,2,10.0,69.0,113.3,,
2026-09-08T00:00,2,10.0,60.0,104.1,23.0,8.0
2026-09-09T01:00,2,19.0,53.0,,,
2026-09-09T02:00,2,18.0,52.0,,,
2026-09-09T03:00,1,15.0,48.0,,,
2026-09-09T04:00,1,17.0,36.0,47.2,,
2026-09-09T05:00,1,21.0,34.0,44.6,,
2026-09-09T06:00,1,25.0,27.0,41.7,,
2026-09-09T07:00,1,33.0,24.0,39.1,,
2026-09-09T08:00,2,58.0,14.0,36.0,,
2026-09-09T09:00,1,39.0,31.0,35.4,,
2026-09-09T10:00,1,23.0,45.0,34.6,,
2026-09-09T11:00,2,13.0,74.0,37.0,,
2026-09-09T12:00,2,13.0,72.0,39.7,,
2026-09-09T13:00,1,23.0,33.0,39.3,,
2026-09-09T14:00,1,28.0,32.0,39.1,,
2026-09-09T15:00,1,23.0,37.0,40.2,,
2026-09-09T16:00,2,12.0,56.0,43.8,,
2026-09-09T17:00,1,15.0,44.0,47.1,,
2026-09-09T18:00,1,27.0,29.0,46.9,,
2026-09-09T19:00,1,20.0,28.0,45.0,,
2026-09-09T20:00,1,19.0,27.0,39.8,,
2026-09-09T21:00,1,19.0,22.0,34.2,,
2026-09-09T22:00,1,13.0,31.0,34.0,,
2026-09-09T23:00,1,13.0,26.0,33.3,,
2026-09-10T00:00,2,13.0,18.0,31.2,27.0,12.0
2026-09-10T01:00,1,11.0,23.0,27.6,,
2026-09-10T02:00,1,10.0,21.0,25.0,,
2026-09-10T03:00,1,13.0,13.0,23.2,,
2026-09-10T04:00,1,14.0,12.0,21.4,,
2026-09-10T05:00,1,13.0,15.0,20.1,,
2026-09-10T06:00,1,12.0,20.0,19.9,,
2026-09-10T07:00,1,15.0,25.0,19.2,,
2026-09-10T08:00,1,19.0,27.0,19.3,,
2026-09-10T09:00,1,15.0,36.0,21.3,,
2026-09-10T10:00,2,8.0,53.0,24.7,,
2026-09-10T11:00,2,7.0,58.0,28.8,,
2026-09-10T12:00,2,10.0,55.0,33.4,,
2026-09-10T13:00,2,8.0,57.0,38.4,,
2026-09-10T14:00,1,10.0,48.0,42.1,,
2026-09-10T15:00,1,11.0,50.0,45.4,,
2026-09-10T16:00,1,10.0,43.0,47.4,,
2026-09-10T17:00,1,12.0,48.0,49.8,,
2026-09-10T18:00,1,15.0,47.0,51.0,,
2026-09-10T19:00,1,16.0,41.0,49.7,,
2026-09-10T20:00,1,13.0,37.0,47.3,,
2026-09-10T21:00,1,11.0,27.0,44.2,,
2026-09-10T22:00,1,13.0,19.0,40.0,,
2026-09-10T23:00,1,9.0,28.0,37.8,,
2026-09-11T00:00,1,8.0,26.0,35.1,16.0,8.0
