datetime,C6H6,CO,EAQI,NO2,PM10,PM25
2026-08-29T23:00,0.2,0.4,1,6.0,,
2026-08-30T00:00,0.2,0.3,2,5.0,22.0,7.0
2026-08-30T01:00,0.2,0.4,1,9.0,,
2026-08-30T02:00,0.2,0.4,1,6.0,,
2026-08-30T03:00,0.2,0.4,1,10.0,,
2026-08-30T04:00,,0.3,1,6.0,,
2026-08-30T05:00,0.1,0.3,1,7.0,,
2026-08-30T06:00,0.1,0.3,1,8.0,,
2026-08-30T07:00,0.1,0.3,1,8.0,,
2026-08-30T08:00,0.1,0.3,1,10.0,,
2026-08-30T09:00,0.3,0.4,1,14.0,,
2026-08-30T10:00,0.4,0.4,1,19.0,,
2026-08-30T11:00,0.3,0.4,1,16.0,,
2026-08-30T12:00,0.3,0.4,1,14.0,,
2026-08-30T13:00,0.2,0.3,1,11.0,,
2026-08-30T14:00,0.2,0.4,1,11.0,,
2026-08-30T15:00,0.2,0.4,1,9.0,,
2026-08-30T16:00,0.2,0.3,1,11.0,,
2026-08-30T17:00,0.2,0.4,1,11.0,,
2026-08-30T18:00,0.2,0.4,1,16.0,,
2026-08-30T19:00,0.4,0.4,1,19.0,,
2026-08-30T20:00,0.5,0.4,1,22.0,,
2026-08-30T21:00,0.4,0.4,1,10.0,,
2026-08-30T22:00,0.4,0.5,1,15.0,,
2026-08-30T23:00,0.5,0.4,1,16.0,,
2026-08-31T00:00,0.5,0.4,1,12.0,12.0,5.0
2026-08-31T01:00,0.2,0.3,1,8.0,,
2026-08-31T02:00,0.2,0.3,1,8.0,,
2026-08-31T03:00,,0.3,1,6.0,,
2026-08-31T04:00,0.2,0.3,1,6.0,,
2026-08-31T05:00,0.2,0.3,1,6.0,,
2026-08-31T06:00,0.2,0.3,1,12.0,,
2026-08-31T07:00,0.6,0.4,1,20.0,,
2026-08-31T08:00,0.6,0.4,1,27.0,,
2026-08-31T09:00,1.6,0.5,1,25.0,,
2026-08-31T10:00,0.7,0.5,1,33.0,,
2026-08-31T11:00,0.5,0.4,1,24.0,,
2026-08-31T12:00,0.3,0.4,1,17.0,,
2026-08-31T13:00,0.3,0.4,1,19.0,,
2026-08-31T14:00,0.3,0.4,1,20.0,,
2026-08-31T15:00,0.3,0.4,1,16.0,,
2026-08-31T16:00,0.3,0.4,1,19.0,,
2026-08-31T17:00,0.7,0.4,1,16.0,,
2026-08-31T18:00,0.7,0.4,1,15.0,,
2026-08-31T19:00,0.7,0.5,1,21.0,,
2026-08-31T20:00,0.6,0.4,1,15.0,,
2026-08-31T21:00,1.0,0.5,1,6.0,,
2026-08-31T22:00,0.2,0.3,1,6.0,,
2026-08-31T23:00,0.2,0.4,1,6.0,,
2026-09-01T00:00,0.2,0.3,1,5.0,14.0,6.0
