datetime,EAQI,NO2,O3,O3_8H,PM25
2026-09-12T23:00,1,17.0,32.0,,
2026-09-13T00:00,1,18.0,25.0,,7.0
2026-09-13T01:00,1,21.0,13.0,,
2026-09-13T02:00,1,17.0,9.0,19.8,
2026-09-13T03:00,1,15.0,20.0,19.8,
2026-09-13T04:00,1,15.0,23.0,20.3,
2026-09-13T05:00,1,16.0,24.0,20.9,
2026-09-13T06:00,1,18.0,16.0,20.2,
2026-09-13T07:00,1,17.0,17.0,19.9,
2026-09-13T08:00,1,16.0,31.0,19.8,
2026-09-13T09:00,1,12.0,48.0,22.3,
2026-09-13T10:00,2,8.0,69.0,28.6,
2026-09-13T11:00,2,4.0,83.0,36.8,
2026-09-13T12:00,2,4.0,92.0,44.8,
2026-09-13T13:00,2,3.0,98.0,53.1,
2026-09-13T14:00,2,4.0,93.0,60.8,
2026-09-13T15:00,2,4.0,93.0,69.3,
2026-09-13T16:00,2,4.0,98.0,78.3,
2026-09-13T17:00,2,4.0,95.0,85.4,
2026-09-13T18:00,2,4.0,90.0,90.1,
2026-09-13T19:00,2,6.0,69.0,90.1,
2026-09-13T20:00,2,9.0,62.0,87.8,
2026-09-13T21:00,1,12.0,49.0,83.0,
2026-09-13T22:00,1,14.0,45.0,77.1,
2026-09-13T23:00,1,13.0,48.0,72.1,
2026-09-14T00:00,1,13.0,46.0,66.9,6.0
2026-09-14T01:00,1,14.0,38.0,60.2,
2026-09-14T02:00,1,14.0,29.0,52.9,
2026-09-14T03:00,1,14.0,23.0,45.4,
2026-09-14T04:00,1,13.0,27.0,40.8,
2026-09-14T05:00,1,13.0,18.0,35.9,
2026-09-14T06:00,1,16.0,17.0,32.3,
2026-09-14T07:00,1,16.0,12.0,28.7,
2026-09-14T08:00,1,15.0,17.0,25.2,
2026-09-14T09:00,1,15.0,40.0,24.6,
2026-09-14T10:00,2,12.0,63.0,27.3,
2026-09-14T11:00,2,9.0,83.0,33.3,
2026-09-14T12:00,2,7.0,94.0,41.2,
2026-09-14T13:00,3,4.0,111.0,50.6,
2026-09-14T14:00,3,3.0,116.0,61.4,
2026-09-14T15:00,3,3.0,114.0,72.2,
2026-09-14T16:00,3,3.0,109.0,83.0,
2026-09-14T17:00,3,4.0,105.0,92.8,
2026-09-14T18:00,2,4.0,98.0,99.2,
2026-09-14T19:00,2,6.0,79.0,101.0,
2026-09-14T20:00,2,10.0,63.0,98.8,
2026-09-14T21:00,2,6.0,74.0,96.6,
2026-09-14T22:00,2,13.0,51.0,89.9,
2026-09-14T23:00,1,14.0,37.0,81.1,
2026-09-15T00:00,2,10.0,54.0,74.4,5.0
2026-09-15T01:00,2,8.0,56.0,68.6,
2026-09-15T02:00,2,6.0,58.0,63.3,
2026-09-15T03:00,1,11.0,36.0,56.4,
2026-09-15T04:00,1,13.0,16.0,49.4,
2026-09-15T05:00,1,11.0,12.0,43.8,
2026-09-15T06:00,1,13.0,12.0,36.9,
2026-09-15T07:00,1,15.0,24.0,33.9,
2026-09-15T08:00,1,12.0,28.0,32.9,
2026-09-15T09:00,1,10.0,41.0,31.4,
2026-09-15T10:00,2,5.0,66.0,32.6,
2026-09-15T11:00,2,4.0,73.0,34.2,
2026-09-15T12:00,2,3.0,80.0,39.1,
2026-09-15T13:00,2,2.0,85.0,46.8,
2026-09-15T14:00,2,3.0,80.0,54.3,
2026-09-15T15:00,2,3.0,86.0,62.6,
2026-09-15T16:00,2,3.0,87.0,69.6,
2026-09-15T17:00,2,3.0,87.0,76.1,
2026-09-15T18:00,2,4.0,85.0,81.0,
2026-09-15T19:00,2,9.0,66.0,81.0,
2026-09-15T20:00,1,9.0,49.0,78.3,
2026-09-15T21:00,1,14.0,42.0,74.1,
2026-09-15T22:00,1,15.0,39.0,69.0,
2026-09-15T23:00,1,14.0,44.0,65.0,
2026-09-16T00:00,1,11.0,49.0,60.9,3.0
2026-09-16T01:00,1,10.0,49.0,56.7,
2026-09-16T02:00,1,12.0,45.0,52.0,
2026-09-16T03:00,1,15.0,24.0,45.2,
2026-09-16T04:00,1,13.0,14.0,39.4,
2026-09-16T05:00,1,13.0,22.0,36.4,
2026-09-16T06:00,1,20.0,15.0,33.4,
2026-09-16T07:00,1,22.0,25.0,31.9,
2026-09-16T08:00,1,18.0,37.0,31.1,
2026-09-16T09:00,2,9.0,61.0,32.4,
2026-09-16T10:00,2,7.0,77.0,35.6,
2026-09-16T11:00,2,5.0,93.0,40.9,
2026-09-16T12:00,3,4.0,108.0,50.2,
2026-09-16T13:00,3,4.0,105.0,60.3,
2026-09-16T14:00,3,4.0,103.0,69.3,
2026-09-16T15:00,3,3.0,111.0,80.0,
2026-09-16T16:00,3,3.0,110.0,89.4,
2026-09-16T17:00,3,3.0,101.0,96.6,
2026-09-16T18:00,2,3.0,98.0,100.7,
2026-09-16T19:00,2,4.0,85.0,101.6,
2026-09-16T20:00,2,6.0,73.0,99.3,
2026-09-16T21:00,2,6.0,65.0,94.6,
2026-09-16T22:00,2,7.0,55.0,89.0,
2026-09-16T23:00,2,7.0,55.0,83.7,
2026-09-17T00:00,2,7.0,52.0,77.1,2.0
