datetime,EAQI,NO2
2026-09-09T02:00,1,8.6
2026-09-09T03:00,1,9.3
2026-09-09T04:00,1,8.8
2026-09-09T05:00,1,8.9
2026-09-09T06:00,1,10.2
2026-09-09T07:00,1,26.1
2026-09-09T08:00,1,34.1
2026-09-09T09:00,2,52.6
2026-09-09T10:00,2,62.7
2026-09-09T11:00,2,58.4
2026-09-09T12:00,2,51.9
2026-09-09T13:00,2,41.3
2026-09-09T14:00,1,33.9
2026-09-09T15:00,1,29.9
2026-09-09T16:00,1,32.6
2026-09-09T17:00,1,32.3
2026-09-09T18:00,2,40.2
2026-09-09T19:00,1,35.6
2026-09-09T20:00,1,33.4
2026-09-09T21:00,1,25.6
2026-09-09T22:00,1,17.3
2026-09-09T23:00,1,15.3
2026-09-10T00:00,1,16.3
2026-09-10T01:00,1,10.0
2026-09-10T02:00,1,5.8
2026-09-10T03:00,1,7.9
2026-09-10T04:00,1,9.0
2026-09-10T05:00,1,15.0
2026-09-10T06:00,1,16.7
2026-09-10T07:00,1,24.1
2026-09-10T08:00,2,42.0
2026-09-10T09:00,2,49.8
2026-09-10T10:00,2,52.0
2026-09-10T11:00,2,48.3
2026-09-10T12:00,2,47.1
2026-09-10T13:00,2,40.5
2026-09-10T14:00,1,27.6
2026-09-10T15:00,1,31.8
2026-09-10T16:00,1,28.7
2026-09-10T17:00,1,26.7
2026-09-10T18:00,1,28.6
2026-09-10T19:00,1,35.4
2026-09-10T20:00,1,36.0
2026-09-10T21:00,1,24.4
2026-09-10T22:00,1,14.6
2026-09-10T23:00,1,18.6
2026-09-11T00:00,1,13.4
2026-09-11T01:00,1,13.5
2026-09-11T02:00,1,11.8
2026-09-11T03:00,1,10.2
2026-09-11T04:00,1,7.0
2026-09-11T05:00,1,6.4
2026-09-11T06:00,1,14.9
2026-09-11T07:00,1,25.3
2026-09-11T08:00,1,39.5
2026-09-11T09:00,1,35.9
2026-09-11T10:00,1,26.3
2026-09-11T11:00,1,23.1
2026-09-11T12:00,1,25.0
2026-09-11T13:00,1,25.9
2026-09-11T14:00,1,22.8
2026-09-11T15:00,1,23.0
2026-09-11T16:00,1,22.8
2026-09-11T17:00,1,32.3
2026-09-11T18:00,1,34.5
2026-09-11T19:00,1,31.1
2026-09-11T20:00,2,47.5
2026-09-11T21:00,2,58.3
2026-09-11T22:00,2,60.4
2026-09-11T23:00,2,56.9
2026-09-12T00:00,2,65.7
2026-09-12T01:00,2,40.7
2026-09-12T02:00,1,30.3
2026-09-12T03:00,1,25.6
2026-09-12T04:00,1,17.8
2026-09-12T05:00,1,14.3
2026-09-12T06:00,1,18.5
2026-09-12T07:00,1,39.0
2026-09-12T08:00,2,49.0
2026-09-12T09:00,1,31.8
2026-09-12T10:00,1,27.4
2026-09-12T11:00,1,20.0
2026-09-12T12:00,1,16.8
2026-09-12T13:00,1,19.2
2026-09-12T14:00,1,17.1
2026-09-12T15:00,1,18.1
2026-09-15T16:00,1,25.2
2026-09-15T17:00,1,32.8
2026-09-15T18:00,2,41.0
2026-09-15T19:00,2,52.3
2026-09-15T20:00,2,60.7
2026-09-15T21:00,2,69.4
2026-09-15T22:00,2,78.9
2026-09-15T23:00,2,76.2
