datetime,CO,EAQI,NO2,O3,O3_8H,PM10,SO2
2026-09-19T22:00,0.4,1,12.7,18.9,,,1.2
2026-09-19T23:00,0.4,1,12.9,11.2,,,1.1
2026-09-20T00:00,0.5,1,17.0,7.8,,,1.1
2026-09-20T01:00,0.5,1,14.4,11.2,12.3,17.0,1.0
2026-09-20T02:00,0.5,1,11.1,17.2,13.3,,1.2
2026-09-20T03:00,0.5,1,9.7,15.0,13.5,,1.0
2026-09-20T04:00,0.4,1,8.7,14.2,13.6,,1.0
2026-09-20T05:00,0.4,1,7.9,15.4,13.9,,0.9
2026-09-20T06:00,0.4,1,7.3,15.4,14.0,,1.0
2026-09-20T07:00,0.4,1,7.6,11.1,13.2,,0.9
2026-09-20T08:00,0.4,1,9.9,8.0,12.8,,0.9
2026-09-20T09:00,0.4,1,6.7,23.2,14.5,,1.1
2026-09-20T10:00,0.4,1,6.0,39.4,17.7,,0.9
2026-09-20T11:00,0.4,2,5.0,57.7,22.2,,0.8
2026-09-20T12:00,0.4,2,4.9,71.9,28.5,,0.9
2026-09-20T13:00,0.4,2,4.8,91.9,37.1,,1.1
2026-09-20T14:00,0.4,3,4.3,100.8,46.6,,1.2
2026-09-20T15:00,0.4,3,4.3,106.7,56.7,,1.3
2026-09-20T16:00,0.4,3,4.3,111.6,67.9,,1.3
2026-09-20T17:00,0.4,3,4.6,107.4,79.0,,1.4
2026-09-20T18:00,0.4,3,4.2,104.1,87.9,,1.3
2026-09-20T19:00,0.4,2,8.6,64.2,90.7,,1.4
2026-09-20T20:00,0.4,1,10.9,32.4,87.9,,1.2
2026-09-20T21:00,0.4,1,14.6,16.3,81.7,,1.1
2026-09-20T22:00,0.4,1,13.9,15.4,73.2,,1.0
2026-09-20T23:00,0.4,1,13.6,8.5,63.0,,1.1
2026-09-21T00:00,0.5,1,16.4,4.6,51.6,,1.2
2026-09-21T01:00,0.5,1,14.2,5.5,39.8,16.0,1.2
2026-09-21T02:00,0.5,1,12.8,11.5,29.2,,1.1
2026-09-21T03:00,0.5,1,9.2,27.3,20.6,,1.2
2026-09-21T04:00,0.5,1,8.0,15.9,15.3,,1.0
2026-09-21T05:00,0.4,1,7.7,13.5,13.2,,1.0
2026-09-21T06:00,0.4,1,6.0,21.6,13.8,,1.0
2026-09-21T07:00,0.4,1,7.7,10.5,13.2,,1.3
2026-09-21T08:00,0.4,1,7.4,26.3,15.2,,1.3
2026-09-21T09:00,0.4,1,11.6,18.9,16.8,,1.7
2026-09-21T10:00,0.4,1,9.9,35.0,20.1,,1.3
2026-09-21T11:00,0.4,1,9.7,49.0,24.2,,1.2
2026-09-21T12:00,0.4,2,6.9,73.6,29.4,,1.3
2026-09-21T13:00,0.4,2,5.1,84.7,37.0,,1.3
2026-09-21T14:00,0.3,2,4.8,94.6,46.0,,1.8
2026-09-21T15:00,0.3,3,4.9,100.7,54.8,,1.7
2026-09-21T16:00,0.3,2,6.9,99.9,64.7,,1.4
2026-09-21T17:00,0.4,3,9.2,115.6,74.7,,1.9
2026-09-21T18:00,0.4,3,13.1,117.4,85.6,,1.9
2026-09-21T19:00,0.4,2,18.1,96.0,92.4,,2.4
2026-09-21T20:00,0.4,2,16.0,57.7,93.4,,2.1
2026-09-21T21:00,0.4,1,16.7,31.2,88.6,,1.4
2026-09-21T22:00,0.4,1,21.4,14.7,80.9,,1.2
2026-09-21T23:00,0.5,1,19.4,9.4,71.4,,1.3
2026-09-22T00:00,0.5,1,15.7,16.4,62.0,,1.2
2026-09-22T01:00,0.5,2,14.7,17.1,52.8,21.0,1.3
2026-09-22T02:00,0.5,1,13.9,16.6,41.8,,1.3
2026-09-22T03:00,0.5,1,11.8,36.6,32.9,,1.3
2026-09-22T04:00,0.5,1,10.4,46.8,27.4,,1.7
2026-09-22T05:00,0.4,1,8.8,44.1,25.9,,1.3
2026-09-22T06:00,0.4,1,9.6,37.2,26.5,,1.6
2026-09-22T07:00,0.4,1,8.7,35.6,28.9,,1.4
