datetime,C6H6,CO,EAQI,NO2,PM10,SO2
2026-09-12T23:00,1.0,0.4,1,16.2,,1.5
2026-09-13T00:00,0.4,0.4,1,22.1,,1.7
2026-09-13T01:00,0.4,0.4,1,16.1,9.0,1.2
2026-09-13T02:00,0.4,0.3,1,10.4,,1.2
2026-09-13T03:00,0.2,0.4,1,16.7,,0.9
2026-09-13T04:00,0.3,0.3,1,7.4,,1.0
2026-09-13T05:00,0.2,0.3,1,10.5,,0.8
2026-09-13T06:00,0.2,0.3,1,7.1,,0.9
2026-09-13T07:00,0.2,0.3,1,6.2,,1.1
2026-09-13T08:00,0.2,0.3,1,2.9,,0.9
2026-09-13T09:00,0.2,0.3,1,4.2,,0.8
2026-09-13T10:00,0.2,0.3,1,4.6,,1.7
2026-09-13T11:00,0.2,0.3,1,3.3,,2.0
2026-09-13T12:00,0.2,0.3,1,6.6,,1.9
2026-09-13T13:00,0.3,0.3,1,7.3,,1.8
2026-09-13T14:00,0.2,0.3,1,5.5,,2.0
2026-09-13T15:00,0.2,0.3,1,7.2,,1.9
2026-09-13T16:00,0.1,0.3,1,9.4,,1.9
2026-09-13T17:00,0.3,0.3,1,14.6,,1.6
2026-09-13T18:00,0.4,0.4,1,19.0,,1.8
2026-09-13T19:00,0.5,0.5,1,30.9,,1.9
2026-09-13T20:00,0.6,0.5,1,30.8,,1.9
2026-09-13T21:00,0.9,0.4,1,17.1,,1.7
2026-09-13T22:00,0.6,0.4,1,29.0,,1.2
2026-09-13T23:00,0.4,0.4,1,17.8,,0.8
2026-09-14T00:00,0.4,0.3,1,8.8,,0.9
2026-09-14T01:00,0.3,0.3,1,3.6,17.0,1.0
2026-09-14T02:00,0.3,0.3,1,8.0,,0.8
2026-09-14T03:00,0.2,0.3,1,1.8,,0.8
2026-09-14T04:00,0.2,0.2,1,1.1,,0.9
2026-09-14T05:00,0.2,0.2,1,2.0,,0.8
2026-09-14T06:00,0.2,0.2,1,11.5,,1.3
2026-09-14T07:00,0.2,0.3,1,33.5,,2.1
2026-09-14T08:00,0.2,0.4,1,37.2,,1.9
2026-09-14T09:00,0.9,0.6,1,37.5,,2.4
2026-09-14T10:00,0.9,0.3,1,12.3,,2.0
2026-09-14T11:00,0.3,0.3,1,8.1,,1.9
2026-09-14T12:00,0.4,0.3,1,13.7,,2.2
2026-09-14T13:00,0.4,0.4,1,21.2,,2.2
2026-09-14T14:00,0.8,0.4,1,17.6,,2.3
2026-09-14T15:00,0.3,0.3,1,17.7,,2.1
2026-09-14T16:00,0.3,0.3,1,17.6,,2.2
2026-09-14T17:00,0.3,0.4,1,26.0,,2.2
2026-09-14T18:00,0.6,0.5,1,34.3,,2.1
2026-09-14T19:00,0.8,0.6,1,36.1,,2.3
2026-09-14T20:00,0.9,0.5,1,24.6,,1.8
2026-09-14T21:00,0.6,0.5,1,25.9,,1.9
2026-09-14T22:00,0.7,0.4,1,26.1,,1.9
2026-09-14T23:00,0.3,0.4,1,24.1,,2.1
2026-09-15T00:00,0.4,0.4,1,22.6,,2.0
2026-09-15T01:00,0.4,0.4,2,17.0,36.0,2.0
2026-09-15T02:00,0.2,0.3,1,14.2,,2.0
2026-09-15T03:00,0.3,0.3,1,4.1,,2.1
2026-09-15T04:00,0.2,0.3,1,9.3,,1.9
2026-09-15T05:00,0.2,0.3,1,7.6,,1.9
2026-09-15T06:00,0.3,0.3,1,15.8,,1.8
2026-09-15T07:00,0.3,0.3,1,15.7,,2.1
2026-09-15T08:00,0.3,0.4,1,19.9,,2.1
2026-09-15T09:00,0.5,0.4,1,20.2,,1.9
2026-09-15T10:00,0.4,0.3,1,18.2,,2.3
2026-09-15T11:00,0.6,0.3,1,20.6,,2.1
2026-09-15T12:00,0.5,0.3,1,21.2,,2.0
2026-09-15T13:00,0.4,0.4,1,27.3,,2.0
2026-09-15T14:00,1.0,0.4,1,20.2,,2.1
2026-09-15T15:00,0.5,0.4,1,19.4,,1.9
2026-09-15T16:00,0.5,0.3,1,19.7,,1.8
2026-09-15T17:00,0.3,0.4,1,26.3,,2.1
2026-09-15T18:00,0.5,0.5,1,34.8,,2.0
2026-09-15T19:00,0.9,0.6,2,40.7,,2.4
2026-09-15T20:00,1.0,0.5,1,39.9,,2.1
2026-09-15T21:00,0.8,0.5,1,27.8,,1.9
2026-09-15T22:00,0.4,0.5,1,34.8,,2.0
2026-09-15T23:00,0.6,0.5,1,25.4,,2.0
2026-09-16T00:00,0.4,0.4,1,15.1,,2.3
2026-09-16T01:00,0.4,0.4,2,17.3,26.0,1.9
2026-09-16T02:00,0.2,0.3,1,13.0,,1.8
2026-09-16T03:00,0.4,0.3,1,9.5,,1.9
2026-09-16T04:00,0.4,0.4,1,10.4,,1.9
2026-09-16T05:00,0.3,0.4,1,13.6,,1.9
2026-09-16T06:00,0.2,0.4,1,21.6,,2.0
2026-09-16T07:00,0.3,0.4,1,37.4,,1.8
2026-09-16T08:00,0.4,0.6,2,51.5,,2.1
2026-09-16T09:00,1.6,0.9,2,60.3,,2.7
2026-09-16T10:00,1.4,0.6,2,48.3,,2.4
2026-09-16T11:00,0.5,0.7,2,53.3,,2.6
