datetime,EAQI,NO2,O3,O3_8H,PM10
2026-09-09T02:00,2,18.3,95.0,,
2026-09-09T03:00,2,17.2,87.3,,
2026-09-09T04:00,2,18.9,83.1,,
2026-09-09T05:00,2,19.8,91.6,89.2,
2026-09-09T06:00,2,21.6,78.0,87.0,
2026-09-09T07:00,2,18.5,82.6,86.3,
2026-09-09T08:00,2,20.0,62.1,82.8,
2026-09-09T09:00,1,24.4,44.5,78.0,
2026-09-09T10:00,1,19.2,48.2,74.7,
2026-09-09T11:00,1,21.0,46.1,69.3,
2026-09-09T12:00,1,22.4,49.2,65.0,
2026-09-09T13:00,2,21.8,55.9,62.0,
2026-09-09T14:00,2,17.9,62.1,58.7,
2026-09-09T15:00,2,18.6,57.5,56.5,
2026-09-09T16:00,2,13.9,74.6,55.6,
2026-09-09T17:00,2,15.1,78.6,57.4,
2026-09-09T18:00,2,16.4,75.9,60.9,
2026-09-09T19:00,2,18.0,61.1,62.3,
2026-09-09T20:00,2,15.8,64.2,64.3,
2026-09-09T21:00,1,21.5,48.1,64.2,
2026-09-09T22:00,1,20.1,39.5,62.4,
2026-09-09T23:00,1,17.6,46.4,60.7,
2026-09-10T00:00,1,14.6,46.5,59.4,
2026-09-10T01:00,2,15.8,50.3,56.7,5.0
2026-09-10T02:00,2,12.9,61.4,54.8,
2026-09-10T03:00,2,10.8,58.7,52.9,
2026-09-10T04:00,2,9.4,55.4,52.3,
2026-09-10T05:00,1,11.6,46.6,50.3,
2026-09-10T06:00,1,11.4,47.7,50.3,
2026-09-10T07:00,1,23.2,24.1,48.6,
2026-09-10T08:00,1,18.9,19.5,45.6,
2026-09-10T09:00,1,22.2,19.0,42.5,
2026-09-10T10:00,1,22.3,28.4,40.1,
2026-09-10T11:00,1,21.5,34.2,37.1,
2026-09-10T12:00,1,18.3,38.8,34.9,
2026-09-10T13:00,1,18.9,35.1,32.6,
2026-09-10T14:00,1,21.7,33.4,31.1,
2026-09-10T15:00,2,18.1,50.2,31.4,
2026-09-10T16:00,2,14.6,62.9,35.7,
2026-09-10T17:00,2,11.9,66.9,41.0,
2026-09-10T18:00,2,12.9,72.5,46.9,
2026-09-10T19:00,2,14.0,74.1,52.0,
2026-09-10T20:00,2,13.2,59.8,54.9,
2026-09-10T21:00,2,11.8,51.9,56.3,
2026-09-10T22:00,2,10.4,50.3,58.0,
2026-09-10T23:00,1,9.0,42.9,59.1,
2026-09-11T00:00,1,10.1,31.3,57.0,
2026-09-11T01:00,1,10.7,35.0,53.9,13.0
2026-09-11T02:00,1,9.8,34.4,50.2,
2026-09-11T03:00,1,7.7,36.9,46.3,
2026-09-11T04:00,1,7.6,35.9,42.0,
2026-09-11T05:00,1,8.5,44.2,40.3,
2026-09-11T06:00,1,8.0,45.4,39.6,
2026-09-11T07:00,1,8.7,45.9,39.1,
2026-09-11T08:00,1,12.7,38.0,38.6,
2026-09-11T09:00,1,14.4,43.6,39.9,
2026-09-11T10:00,1,16.8,44.2,40.9,
2026-09-11T11:00,2,16.4,51.4,42.8,
2026-09-11T12:00,2,15.3,52.4,44.6,
2026-09-11T13:00,2,13.8,61.3,47.4,
2026-09-11T14:00,2,13.4,67.1,49.9,
2026-09-11T15:00,2,12.9,75.9,53.3,
2026-09-11T16:00,2,12.7,86.9,57.9,
2026-09-11T17:00,2,12.5,95.7,64.3,
2026-09-11T18:00,3,11.8,101.5,70.7,
2026-09-11T19:00,3,12.7,100.9,77.0,
2026-09-11T20:00,2,12.4,89.8,81.3,
2026-09-11T21:00,2,21.4,58.8,82.0,
2026-09-11T22:00,1,26.1,34.5,79.0,
2026-09-11T23:00,1,22.5,25.4,74.4,
