datetime,C6H6,CO,EAQI,NO2,PM10,PM25,SO2
2026-09-06T12:00,0.5,0.2,1,10.0,,,1.6
2026-09-06T13:00,0.5,0.2,1,8.7,,,1.6
2026-09-06T14:00,0.5,0.2,1,5.4,,,1.4
2026-09-06T15:00,0.5,0.2,1,6.3,,,1.6
2026-09-06T16:00,0.4,0.2,1,7.5,,,1.7
2026-09-06T17:00,0.3,0.2,1,7.3,,,1.5
2026-09-06T18:00,0.4,0.2,1,8.7,,,1.5
2026-09-06T19:00,0.5,0.2,1,10.5,,,1.7
2026-09-06T20:00,0.4,0.2,1,20.8,,,1.5
2026-09-06T21:00,0.4,0.3,1,25.8,,,1.7
2026-09-06T22:00,0.7,0.3,1,25.2,,,1.5
2026-09-06T23:00,0.6,0.2,1,26.9,,,1.7
2026-09-07T00:00,0.5,0.2,1,14.9,,,1.4
2026-09-07T01:00,0.4,0.2,2,15.7,35.0,20.0,1.6
2026-09-07T02:00,0.3,0.2,1,11.8,,,1.7
2026-09-07T03:00,0.3,0.2,1,14.1,,,1.8
2026-09-07T04:00,0.4,0.2,1,13.4,,,1.9
2026-09-07T05:00,0.4,0.2,1,11.9,,,1.7
2026-09-07T06:00,0.3,0.2,1,16.9,,,1.8
2026-09-07T07:00,0.4,0.2,1,20.6,,,1.8
2026-09-07T08:00,0.5,0.2,1,27.0,,,1.8
2026-09-07T09:00,0.5,0.2,1,25.6,,,1.7
2026-09-07T10:00,0.6,0.2,1,21.5,,,2.7
2026-09-07T11:00,0.6,0.2,1,18.0,,,1.9
2026-09-07T12:00,0.7,0.2,1,16.1,,,2.1
2026-09-07T13:00,0.6,0.2,1,10.3,,,2.2
2026-09-07T14:00,0.5,0.2,1,7.1,,,1.8
2026-09-07T15:00,0.4,0.2,1,5.2,,,1.9
2026-09-07T16:00,0.4,0.2,1,10.6,,,2.2
2026-09-07T17:00,0.5,0.2,1,11.4,,,2.1
2026-09-07T18:00,0.5,0.2,1,11.7,,,2.1
2026-09-07T19:00,0.5,0.2,1,15.6,,,2.0
2026-09-07T20:00,0.4,0.3,1,25.6,,,1.9
2026-09-07T21:00,0.6,0.3,1,33.2,,,1.8
2026-09-07T22:00,0.6,0.3,1,33.1,,,2.0
2026-09-07T23:00,0.6,0.2,1,19.2,,,1.8
2026-09-08T00:00,0.5,0.2,1,17.5,,,1.8
2026-09-08T01:00,0.5,0.2,2,17.3,31.0,19.0,1.8
2026-09-08T02:00,0.5,0.2,1,18.7,,,1.7
2026-09-08T03:00,0.5,0.2,1,13.6,,,1.8
2026-09-08T04:00,0.4,0.2,1,11.1,,,1.6
2026-09-08T05:00,0.4,0.2,1,9.6,,,1.5
2026-09-08T06:00,0.4,0.2,1,10.7,,,1.4
2026-09-08T07:00,0.4,0.2,1,13.1,,,1.6
2026-09-08T08:00,0.3,0.2,1,16.2,,,1.3
2026-09-08T09:00,0.4,0.2,1,20.0,,,1.4
2026-09-08T11:00,0.5,0.2,1,21.5,,,1.8
2026-09-08T12:00,0.6,0.3,2,56.2,,,2.9
2026-09-08T13:00,0.6,0.3,1,14.8,,,1.3
2026-09-08T14:00,0.5,0.2,1,7.5,,,1.3
2026-09-08T15:00,0.5,0.2,1,11.4,,,1.4
2026-09-08T16:00,0.4,0.2,1,11.1,,,1.6
2026-09-08T17:00,0.4,0.2,1,10.6,,,1.7
2026-09-08T18:00,0.4,0.3,1,11.6,,,1.5
2026-09-08T19:00,0.4,0.3,1,16.2,,,1.5
2026-09-08T20:00,0.5,0.3,1,29.4,,,1.3
2026-09-08T21:00,0.7,0.3,1,31.5,,,1.4
2026-09-08T22:00,0.6,0.2,1,16.7,,,1.4
2026-09-08T23:00,0.4,0.2,1,11.0,,,1.3
2026-09-09T00:00,0.3,0.2,1,19.3,,,1.2
2026-09-09T01:00,0.5,0.2,2,18.6,20.0,14.0,1.3
2026-09-09T02:00,0.4,0.2,1,17.5,,,1.8
2026-09-09T03:00,0.4,0.2,1,13.8,,,1.5
2026-09-09T04:00,0.3,0.2,1,17.2,,,1.4
2026-09-09T05:00,0.4,0.2,1,16.1,,,1.4
2026-09-09T06:00,0.4,0.2,1,20.1,,,1.3
2026-09-09T07:00,0.5,0.2,1,17.6,,,1.3
2026-09-09T08:00,0.3,0.2,1,12.5,,,1.4
2026-09-09T09:00,0.4,0.2,1,19.2,,,1.2
2026-09-09T10:00,0.5,0.2,1,16.6,,,1.2
2026-09-09T11:00,0.4,0.2,1,16.5,,,1.1
2026-09-09T12:00,0.5,0.2,1,22.6,,,1.0
2026-09-09T13:00,0.5,0.2,1,26.2,,,1.1
2026-09-09T14:00,0.4,0.2,1,19.8,,,0.8
2026-09-09T15:00,0.4,0.2,1,17.7,,,1.0
2026-09-09T16:00,0.4,0.2,1,18.1,,,1.1
2026-09-09T17:00,0.5,0.2,1,19.9,,,1.1
2026-09-09T18:00,0.4,0.2,1,23.3,,,1.0
2026-09-09T19:00,0.6,0.2,1,22.3,,,1.0
2026-09-09T20:00,0.5,0.2,1,19.5,,,1.0
2026-09-09T21:00,0.5,0.2,1,17.0,,,1.0
2026-09-09T22:00,0.5,0.2,1,14.7,,,0.8
2026-09-09T23:00,0.4,0.2,1,11.8,,,0.8
2026-09-10T00:00,0.3,0.2,1,9.7,,,1.0
2026-09-10T01:00,0.3,0.2,1,12.4,10.0,6.0,0.9
2026-09-10T02:00,0.4,0.2,1,10.8,,,0.9
2026-09-10T03:00,0.3,0.2,1,11.0,,,1.1
2026-09-10T04:00,0.3,0.2,1,10.1,,,1.0
