datetime,C6H6,CO,EAQI,NO2
2026-08-29T23:00,0.9,0.4,1,31.3
2026-08-30T00:00,0.8,0.4,2,44.5
2026-08-30T01:00,0.8,0.4,2,43.1
2026-08-30T02:00,0.6,0.4,1,34.5
2026-08-30T03:00,0.6,0.4,1,26.7
2026-08-30T04:00,0.5,0.4,1,18.8
2026-08-30T05:00,0.4,0.3,1,15.2
2026-08-30T06:00,0.3,0.3,1,15.1
2026-08-30T07:00,0.4,0.2,1,18.5
2026-08-30T08:00,0.4,0.2,1,16.1
2026-08-30T09:00,0.5,0.2,1,25.4
2026-08-30T10:00,0.5,0.3,1,22.1
2026-08-30T11:00,0.5,0.3,1,21.4
2026-08-30T12:00,0.5,0.4,1,30.3
2026-08-30T13:00,0.7,0.4,1,27.2
2026-08-30T14:00,0.6,0.4,1,30.2
2026-08-30T15:00,0.5,0.4,1,36.2
2026-08-30T16:00,0.5,0.4,1,30.1
2026-08-30T17:00,0.7,0.4,1,39.5
2026-08-30T18:00,0.9,0.4,2,47.5
2026-08-30T19:00,0.9,0.5,2,59.8
2026-08-30T20:00,1.4,0.6,2,57.3
2026-08-30T21:00,1.3,0.6,2,85.3
2026-08-30T22:00,1.2,0.6,2,58.9
2026-08-30T23:00,0.8,0.5,2,42.7
2026-08-31T00:00,0.7,0.4,1,27.4
2026-08-31T01:00,0.5,0.3,1,26.2
2026-08-31T02:00,0.5,0.3,1,19.3
2026-08-31T03:00,0.4,0.2,1,16.3
2026-08-31T04:00,0.3,0.2,1,17.4
2026-08-31T05:00,0.3,0.2,1,19.6
2026-08-31T06:00,0.2,0.2,1,33.6
2026-08-31T07:00,0.5,0.2,2,42.7
2026-08-31T08:00,0.7,0.3,2,56.5
2026-08-31T09:00,1.3,0.4,2,51.9
2026-08-31T10:00,0.9,0.5,2,42.0
2026-08-31T11:00,1.4,0.5,2,53.4
2026-08-31T12:00,1.0,0.4,2,46.1
2026-08-31T13:00,0.9,0.5,2,48.4
2026-08-31T14:00,0.7,0.5,2,54.2
2026-08-31T15:00,0.7,0.5,2,59.3
2026-08-31T16:00,0.7,0.5,2,56.9
2026-08-31T17:00,0.9,0.5,2,57.4
2026-08-31T18:00,0.8,0.5,2,68.9
2026-08-31T19:00,0.9,0.5,2,82.7
2026-08-31T20:00,1.2,0.6,2,88.3
2026-08-31T21:00,1.4,0.7,3,96.4
2026-08-31T22:00,1.2,0.7,2,53.6
2026-08-31T23:00,1.0,0.6,1,36.6
2026-09-01T00:00,0.9,0.5,1,31.1
2026-09-01T01:00,0.8,0.5,1,28.7
2026-09-01T02:00,0.6,0.4,1,20.7
2026-09-01T03:00,0.5,0.4,1,20.5
2026-09-01T04:00,0.5,0.4,1,19.7
2026-09-01T05:00,0.4,0.3,1,20.4
2026-09-01T06:00,0.6,0.3,2,42.7
2026-09-01T07:00,0.6,0.4,2,62.9
2026-09-01T08:00,1.0,0.5,2,73.7
2026-09-01T09:00,1.2,0.6,2,74.7
2026-09-01T11:00,,0.5,,
2026-09-01T12:00,,0.3,1,37.2
2026-09-01T13:00,,0.3,1,29.5
2026-09-01T15:00,,0.4,2,52.1
2026-09-01T16:00,0.8,0.4,2,40.1
2026-09-01T17:00,1.9,0.4,1,34.0
2026-09-01T18:00,1.3,0.4,2,50.1
2026-09-01T19:00,1.2,0.5,1,36.5
2026-09-01T20:00,1.1,0.5,1,35.2
2026-09-01T21:00,0.9,0.5,1,31.9
2026-09-01T22:00,0.8,0.5,2,46.9
2026-09-01T23:00,2.0,0.5,2,52.7
2026-09-02T00:00,1.2,0.5,1,35.3
2026-09-02T01:00,0.8,0.5,1,25.0
2026-09-02T02:00,0.8,0.4,1,19.9
2026-09-02T03:00,0.5,0.4,1,17.6
2026-09-02T04:00,0.4,0.3,1,13.8
2026-09-02T05:00,0.3,0.3,1,19.7
2026-09-02T06:00,0.4,0.3,1,30.5
2026-09-02T07:00,0.6,0.3,1,35.6
2026-09-02T08:00,0.9,0.4,2,56.9
2026-09-02T09:00,1.1,0.5,2,53.9
2026-09-02T10:00,0.9,0.5,2,40.6
2026-09-02T11:00,0.9,0.5,1,38.3
2026-09-02T12:00,1.1,0.4,1,35.7
2026-09-02T13:00,0.8,0.4,1,34.8
2026-09-02T14:00,0.9,0.4,2,46.8
2026-09-02T15:00,0.7,0.4,2,44.7
2026-09-02T16:00,0.6,0.5,2,45.9
2026-09-02T17:00,0.9,0.5,2,63.7
2026-09-02T18:00,0.8,0.6,2,66.7
2026-09-02T19:00,1.3,0.6,2,80.0
2026-09-02T20:00,1.3,0.6,3,90.9
2026-09-02T21:00,1.5,0.7,2,88.8
2026-09-02T22:00,1.2,0.7,2,63.7
2026-09-02T23:00,1.0,0.6,2,41.6
2026-09-03T00:00,0.8,0.5,1,39.3
2026-09-03T01:00,0.7,0.5,1,29.0
2026-09-03T02:00,0.6,0.5,1,21.2
2026-09-03T03:00,0.5,0.4,1,23.1
2026-09-03T04:00,0.4,0.4,1,16.0
2026-09-03T05:00,0.4,0.3,1,19.7
2026-09-03T06:00,0.4,0.3,1,28.1
2026-09-03T07:00,0.5,0.3,2,40.2
2026-09-03T08:00,0.9,0.4,2,62.9
2026-09-03T09:00,1.2,0.6,2,56.6
2026-09-03T10:00,1.6,0.6,2,56.0
2026-09-03T12:00,,0.5,2,40.4
2026-09-03T13:00,,0.5,2,44.6
2026-09-03T14:00,0.9,0.5,2,52.9
2026-09-03T15:00,0.8,0.5,2,51.4
2026-09-03T16:00,0.8,0.5,2,52.4
2026-09-03T17:00,0.7,0.5,2,64.6
2026-09-03T18:00,1.3,0.6,2,73.3
2026-09-03T19:00,1.3,0.6,2,88.2
2026-09-03T20:00,1.3,0.7,3,103.7
2026-09-03T21:00,1.9,0.7,2,82.6
2026-09-03T22:00,1.7,0.7,2,73.2
2026-09-03T23:00,1.3,0.7,2,53.8
2026-09-04T00:00,1.2,0.6,2,48.0
2026-09-04T01:00,0.9,0.6,1,31.1
2026-09-04T02:00,0.7,0.5,1,24.2
2026-09-04T03:00,0.6,0.5,1,23.1
2026-09-04T04:00,0.5,0.4,1,21.4
2026-09-04T05:00,0.5,0.4,1,22.0
2026-09-04T06:00,0.5,0.3,1,29.5
2026-09-04T07:00,0.7,0.3,1,38.2
2026-09-04T08:00,1.0,0.4,2,67.7
2026-09-04T09:00,1.2,0.5,2,62.5
2026-09-04T10:00,1.1,0.6,2,43.1
2026-09-04T11:00,1.7,0.5,2,61.7
2026-09-04T12:00,1.2,0.5,2,49.9
2026-09-04T13:00,1.0,0.4,2,42.5
2026-09-04T14:00,0.8,0.5,2,48.2
2026-09-04T15:00,0.8,0.5,2,51.6
2026-09-04T16:00,0.7,,,
2026-09-04T17:00,0.8,,,
2026-09-04T18:00,1.0,,,
2026-09-04T19:00,1.2,,,
2026-09-04T20:00,1.1,,,
2026-09-04T21:00,1.7,,,
2026-09-04T22:00,1.5,,,
2026-09-04T23:00,1.2,,,
2026-09-05T00:00,1.0,,,
2026-09-05T01:00,1.0,,,
2026-09-05T02:00,1.0,,,
2026-09-05T03:00,0.7,,,
2026-09-05T04:00,0.6,,,
2026-09-05T05:00,0.5,,,
2026-09-05T06:00,0.5,,,
2026-09-05T07:00,0.7,,,
2026-09-05T08:00,0.8,,,
2026-09-05T09:00,0.9,,,
2026-09-05T10:00,0.8,,,
2026-09-05T11:00,1.0,,,
2026-09-05T12:00,1.3,,,
2026-09-05T13:00,1.0,,,
2026-09-05T14:00,0.8,,,
2026-09-05T15:00,0.9,,,
2026-09-05T16:00,0.9,,,
2026-09-05T17:00,0.8,,,
2026-09-05T18:00,1.2,,,
2026-09-05T19:00,1.0,,,
2026-09-05T20:00,1.5,,,
