datetime,EAQI,NO2,O3,O3_8H
2026-09-12T23:00,2,9.8,90.8,
2026-09-13T00:00,2,10.6,81.1,
2026-09-13T01:00,2,14.8,71.8,
2026-09-13T02:00,2,13.2,71.8,78.9
2026-09-13T03:00,2,9.1,80.2,79.1
2026-09-13T04:00,2,5.2,87.6,80.5
2026-09-13T05:00,2,5.2,81.9,80.7
2026-09-13T06:00,2,6.1,71.9,79.6
2026-09-13T07:00,2,5.1,80.6,79.7
2026-09-13T08:00,2,5.7,70.8,77.5
2026-09-13T09:00,2,6.4,58.1,75.0
2026-09-13T10:00,2,6.1,60.7,73.7
2026-09-13T11:00,2,5.8,76.5,74.3
2026-09-13T12:00,3,7.2,100.1,76.5
2026-09-13T13:00,3,6.0,109.2,78.9
2026-09-13T14:00,3,5.2,111.6,82.2
2026-09-13T15:00,3,4.7,115.0,87.0
2026-09-13T16:00,3,5.2,118.6,91.2
2026-09-13T17:00,3,5.3,122.0,96.9
2026-09-13T18:00,3,6.0,123.5,104.1
2026-09-13T19:00,3,8.7,119.1,110.6
2026-09-13T20:00,2,16.5,96.3,112.8
2026-09-13T21:00,2,17.5,86.5,111.3
2026-09-13T22:00,2,22.0,74.1,107.4
2026-09-13T23:00,2,17.6,81.3,104.0
2026-09-14T00:00,2,10.0,96.4,102.0
2026-09-14T01:00,2,7.4,99.7,99.9
2026-09-14T02:00,3,5.7,101.2,97.6
2026-09-14T03:00,2,5.5,94.7,94.4
2026-09-14T04:00,2,5.3,89.1,91.0
2026-09-14T05:00,2,5.5,82.5,89.5
2026-09-14T06:00,2,6.3,78.6,88.6
2026-09-14T07:00,2,6.3,79.5,89.2
2026-09-14T08:00,2,8.3,76.0,88.6
2026-09-14T09:00,2,11.4,69.6,85.7
2026-09-14T10:00,2,9.1,76.1,83.0
2026-09-14T11:00,2,7.7,89.9,81.8
2026-09-14T12:00,2,7.8,97.6,82.1
2026-09-14T13:00,3,8.3,109.3,84.3
2026-09-14T14:00,3,8.8,117.6,88.2
2026-09-14T15:00,3,8.9,127.9,93.7
2026-09-14T16:00,4,7.8,131.1,99.5
2026-09-14T17:00,3,7.8,129.9,105.4
2026-09-14T18:00,4,9.4,139.6,113.2
2026-09-14T19:00,4,12.0,145.3,120.9
2026-09-14T20:00,3,18.3,129.4,125.3
