datetime,EAQI,NO2,PM10
2026-08-29T23:00,1,31.4,
2026-08-30T00:00,1,18.2,
2026-08-30T01:00,2,19.1,21.0
2026-08-30T02:00,1,7.1,
2026-08-30T03:00,1,7.0,
2026-08-30T04:00,1,9.4,
2026-08-30T05:00,1,8.8,
2026-08-30T06:00,1,9.7,
2026-08-30T07:00,1,19.4,
2026-08-30T08:00,1,10.9,
2026-08-30T09:00,1,8.7,
2026-08-30T10:00,1,14.8,
2026-08-30T11:00,1,8.2,
2026-08-30T12:00,1,6.9,
2026-08-30T13:00,1,6.1,
2026-08-30T14:00,1,5.9,
2026-08-30T15:00,1,6.4,
2026-08-30T16:00,1,5.7,
2026-08-30T17:00,1,7.6,
2026-08-30T18:00,1,7.3,
2026-08-30T19:00,1,5.0,
2026-08-30T20:00,1,6.5,
2026-08-30T21:00,1,5.0,
2026-08-30T22:00,1,12.1,
2026-08-30T23:00,1,38.1,
2026-08-31T00:00,1,20.4,
2026-08-31T01:00,2,22.3,38.0
2026-08-31T02:00,1,19.3,
2026-08-31T03:00,1,12.4,
2026-08-31T04:00,1,13.9,
2026-08-31T05:00,1,13.6,
2026-08-31T06:00,1,25.9,
2026-08-31T07:00,1,28.6,
2026-08-31T08:00,2,58.6,
2026-08-31T09:00,2,46.7,
2026-08-31T10:00,1,28.8,
2026-08-31T11:00,1,22.7,
2026-08-31T12:00,1,17.2,
2026-08-31T13:00,1,11.0,
2026-08-31T14:00,1,6.6,
2026-08-31T15:00,1,4.5,
2026-08-31T16:00,1,5.4,
2026-08-31T17:00,1,5.7,
2026-08-31T18:00,1,6.1,
2026-08-31T19:00,1,6.0,
2026-08-31T20:00,1,5.1,
2026-08-31T21:00,1,6.3,
2026-08-31T22:00,1,7.4,
2026-08-31T23:00,1,6.6,
2026-09-01T00:00,1,12.2,
2026-09-01T01:00,2,13.0,31.0
2026-09-01T02:00,1,16.0,
2026-09-01T03:00,1,6.0,
2026-09-01T04:00,1,12.3,
2026-09-01T05:00,1,15.0,
2026-09-01T06:00,1,17.7,
2026-09-01T07:00,1,37.4,
2026-09-01T08:00,1,16.2,
2026-09-01T09:00,1,12.5,
2026-09-01T10:00,1,16.2,
2026-09-01T11:00,1,12.1,
2026-09-01T12:00,1,12.3,
2026-09-01T13:00,1,12.8,
2026-09-01T14:00,1,11.6,
2026-09-01T15:00,1,11.6,
2026-09-01T16:00,1,12.9,
2026-09-01T17:00,1,8.9,
2026-09-01T18:00,1,8.5,
2026-09-01T19:00,1,9.3,
2026-09-01T20:00,1,13.9,
2026-09-01T21:00,1,12.5,
2026-09-01T22:00,1,9.4,
2026-09-01T23:00,1,5.9,
2026-09-02T00:00,1,10.4,
2026-09-02T01:00,4,17.1,56.0
2026-09-02T02:00,1,14.2,
2026-09-02T03:00,1,12.2,
2026-09-02T04:00,1,13.3,
2026-09-02T05:00,1,17.4,
2026-09-02T06:00,2,43.4,
2026-09-02T07:00,1,29.7,
2026-09-02T08:00,2,41.9,
2026-09-02T09:00,1,39.0,
2026-09-02T10:00,1,26.2,
2026-09-02T11:00,1,12.0,
2026-09-02T12:00,1,8.6,
2026-09-02T13:00,1,7.3,
2026-09-02T14:00,1,6.3,
2026-09-02T15:00,1,7.7,
2026-09-02T16:00,1,5.7,
2026-09-02T17:00,1,5.9,
2026-09-02T18:00,1,5.0,
2026-09-02T19:00,1,5.5,
2026-09-02T20:00,1,8.2,
2026-09-02T21:00,1,6.4,
2026-09-02T22:00,1,5.9,
2026-09-02T23:00,1,5.8,
2026-09-03T00:00,1,24.1,
2026-09-03T01:00,2,17.1,39.0
2026-09-03T02:00,1,14.0,
2026-09-03T03:00,1,7.8,
2026-09-03T04:00,1,7.5,
2026-09-03T05:00,1,2.5,
2026-09-03T06:00,1,24.0,
2026-09-03T07:00,1,38.7,
2026-09-03T08:00,2,46.5,
2026-09-03T09:00,2,44.2,
2026-09-03T10:00,1,29.8,
2026-09-03T11:00,1,12.8,
2026-09-03T12:00,1,10.3,
2026-09-03T13:00,1,8.6,
2026-09-03T14:00,1,6.2,
2026-09-03T15:00,1,4.8,
2026-09-03T16:00,1,6.5,
2026-09-03T17:00,1,8.8,
2026-09-03T18:00,1,9.6,
2026-09-03T19:00,1,7.9,
2026-09-03T20:00,1,9.8,
2026-09-03T21:00,1,9.4,
2026-09-03T22:00,1,6.9,
2026-09-03T23:00,1,11.6,
2026-09-04T00:00,1,20.2,
2026-09-04T01:00,3,23.7,50.0
2026-09-04T02:00,1,18.1,
2026-09-04T03:00,1,16.6,
2026-09-04T04:00,1,15.8,
2026-09-04T05:00,1,15.1,
2026-09-04T06:00,1,15.4,
2026-09-04T07:00,1,33.3,
2026-09-04T08:00,2,49.7,
2026-09-04T09:00,2,54.1,
2026-09-04T10:00,1,35.7,
2026-09-04T11:00,1,15.6,
2026-09-04T12:00,1,10.7,
2026-09-04T13:00,1,8.9,
2026-09-04T14:00,1,8.8,
2026-09-04T15:00,1,6.5,
