datetime,C6H6,CO,EAQI,NO2,O3,O3_8H,PM10
2026-09-19T22:00,0.1,0.6,2,15.6,72.6,,
2026-09-19T23:00,0.2,0.7,2,14.9,70.4,,
2026-09-20T00:00,0.2,0.7,2,16.1,56.0,,
2026-09-20T01:00,0.1,0.6,2,8.0,67.1,66.5,17.0
2026-09-20T02:00,0.1,0.6,2,3.7,73.5,67.9,
2026-09-20T03:00,0.1,0.6,2,3.4,70.7,68.4,
2026-09-20T04:00,0.1,0.6,2,4.0,56.7,66.7,
2026-09-20T05:00,0.1,0.6,2,4.2,57.2,65.5,
2026-09-20T06:00,0.1,0.6,2,3.6,59.0,64.8,
2026-09-20T07:00,0.1,0.6,2,4.3,53.0,62.6,
2026-09-20T08:00,0.1,0.6,2,4.7,54.1,60.8,
2026-09-20T09:00,0.1,0.6,2,6.5,54.6,60.7,
2026-09-20T10:00,0.1,0.6,2,7.7,59.6,59.8,
2026-09-20T11:00,0.1,0.6,2,10.0,66.2,59.0,
2026-09-20T12:00,0.1,0.6,2,11.1,79.4,60.0,
2026-09-20T13:00,0.1,0.6,2,10.0,95.7,64.3,
2026-09-20T14:00,0.1,0.6,3,7.5,114.9,70.7,
2026-09-20T15:00,0.1,0.6,3,6.5,123.2,77.9,
2026-09-20T16:00,0.1,0.6,3,5.0,126.6,86.0,
2026-09-20T17:00,0.1,0.6,3,4.6,126.5,94.1,
2026-09-20T18:00,0.1,0.6,3,5.2,121.7,101.5,
2026-09-20T19:00,0.1,0.6,3,7.7,122.6,108.5,
2026-09-20T20:00,0.2,0.7,3,15.5,119.0,114.4,
2026-09-20T21:00,0.2,0.7,2,14.1,98.6,116.5,
2026-09-20T22:00,0.2,0.7,2,16.8,90.1,115.9,
2026-09-20T23:00,0.2,0.7,2,10.1,85.2,112.6,
2026-09-21T00:00,0.1,0.6,2,6.1,82.5,108.1,
2026-09-21T01:00,0.1,0.6,2,6.7,80.6,103.0,17.0
2026-09-21T02:00,0.1,0.6,2,6.7,65.3,96.2,
2026-09-21T03:00,0.1,0.6,1,8.8,41.5,87.3,
2026-09-21T04:00,0.1,0.6,2,7.7,61.5,80.5,
2026-09-21T05:00,0.1,0.6,2,7.4,63.7,74.3,
2026-09-21T06:00,0.1,0.6,2,4.8,62.1,70.3,
2026-09-21T07:00,0.1,0.6,2,8.7,61.3,67.1,
2026-09-21T08:00,0.1,0.6,2,14.0,53.2,63.5,
2026-09-21T09:00,0.2,0.7,1,19.4,43.3,59.2,
2026-09-21T10:00,0.1,0.6,2,12.8,59.4,56.8,
2026-09-21T11:00,0.1,0.6,2,12.8,76.6,58.1,
2026-09-21T12:00,4.7,0.6,2,16.9,81.4,62.5,
2026-09-21T13:00,,0.6,2,11.7,95.9,66.3,
2026-09-21T14:00,,0.6,3,9.4,102.5,70.6,
2026-09-21T15:00,0.1,0.6,3,8.0,103.5,75.2,
2026-09-21T16:00,0.1,0.6,3,5.1,102.9,79.9,
2026-09-21T17:00,0.1,0.6,3,5.8,103.0,85.4,
2026-09-21T18:00,0.1,0.6,3,5.7,109.3,92.7,
2026-09-21T19:00,0.1,0.6,3,8.2,105.9,97.9,
2026-09-21T20:00,0.2,0.6,2,16.3,89.3,99.3,
2026-09-21T21:00,0.3,0.7,1,39.5,49.7,95.8,
2026-09-21T22:00,0.4,0.7,2,23.0,58.4,91.6,
2026-09-21T23:00,0.3,0.6,2,9.4,75.9,88.7,
2026-09-22T00:00,0.2,0.6,2,12.1,53.6,83.1,
2026-09-22T01:00,0.2,0.6,2,19.9,36.3,75.7,21.0
2026-09-22T02:00,0.2,0.6,1,20.4,27.3,67.3,
2026-09-22T03:00,0.2,0.6,1,11.5,36.3,59.2,
2026-09-22T04:00,0.2,0.6,1,8.6,42.3,52.1,
2026-09-22T05:00,0.2,0.6,1,14.8,29.3,45.5,
2026-09-22T06:00,0.2,0.6,1,21.3,28.6,43.1,
2026-09-22T07:00,0.1,0.6,1,16.9,32.3,40.2,
2026-09-22T08:00,0.2,0.6,1,23.0,37.1,35.9,
2026-09-22T09:00,0.4,0.7,1,25.7,38.4,34.2,
2026-09-22T10:00,0.2,0.6,1,19.4,46.3,35.3,
2026-09-22T11:00,0.2,0.6,2,17.6,51.9,38.1,
2026-09-22T13:00,0.2,0.6,2,13.0,66.2,41.3,
2026-09-22T14:00,0.1,0.6,2,9.4,82.0,47.9,
2026-09-22T15:00,0.1,0.6,2,8.3,93.7,56.0,
2026-09-22T16:00,0.1,0.6,3,6.6,103.3,64.9,
2026-09-22T17:00,0.1,0.6,3,6.3,103.1,73.1,
2026-09-22T18:00,0.2,0.7,3,6.4,104.6,81.4,
2026-09-22T19:00,0.1,0.6,3,7.2,100.5,88.2,
2026-09-22T20:00,0.1,0.6,2,8.7,86.6,92.5,
2026-09-22T21:00,0.1,0.6,2,8.2,73.1,90.3,
2026-09-22T22:00,0.1,0.6,2,10.9,64.3,90.1,
2026-09-22T23:00,0.1,0.6,2,13.6,54.7,87.1,
2026-09-23T00:00,0.1,0.6,2,9.9,53.1,82.6,
2026-09-23T01:00,0.1,0.6,2,7.1,56.4,77.4,22.0
2026-09-23T02:00,0.1,0.6,1,8.7,47.2,71.2,
2026-09-23T03:00,0.1,0.6,1,9.0,43.9,64.4,
2026-09-23T04:00,0.1,0.6,1,8.5,45.0,58.3,
2026-09-23T05:00,0.1,0.6,1,9.3,45.0,53.6,
2026-09-23T06:00,0.1,0.6,1,18.1,30.2,48.9,
2026-09-23T07:00,0.1,0.6,1,15.0,29.1,45.0,
2026-09-23T08:00,0.2,0.6,1,18.3,25.2,41.7,
2026-09-23T09:00,0.3,0.6,1,16.9,30.1,39.1,
2026-09-23T10:00,0.2,0.6,1,13.5,40.1,37.3,
2026-09-23T11:00,0.2,0.6,1,11.6,46.5,37.2,
2026-09-23T12:00,0.2,0.6,2,11.7,55.8,38.6,
2026-09-23T13:00,0.2,0.6,2,10.1,62.8,40.5,
2026-09-23T14:00,0.2,0.6,2,9.7,73.2,43.7,
2026-09-23T15:00,0.1,0.6,2,8.2,85.7,49.8,
2026-09-23T16:00,0.1,0.6,2,7.3,95.2,57.2,
2026-09-23T17:00,0.1,0.6,3,7.1,101.3,65.6,
2026-09-23T18:00,0.2,0.6,3,7.3,103.9,73.8,
2026-09-23T19:00,0.1,0.6,2,7.9,98.4,80.3,
2026-09-23T20:00,0.1,0.6,2,15.0,80.3,84.1,
