datetime,EAQI,O3,O3_8H,PM10,SO2
2026-09-06T12:00,2,98.7,,,2.9
2026-09-06T13:00,3,117.4,,,
2026-09-06T14:00,3,124.4,,,12.4
2026-09-06T15:00,4,135.8,119.1,,13.1
2026-09-06T16:00,4,142.5,123.8,,13.5
2026-09-06T17:00,4,144.1,127.1,,13.7
2026-09-06T18:00,4,146.9,130.0,,13.7
2026-09-06T19:00,4,135.5,130.7,,13.8
2026-09-06T20:00,2,93.6,126.5,,16.5
2026-09-06T21:00,2,94.4,126.1,,15.0
2026-09-06T22:00,2,91.0,123.1,,13.9
2026-09-06T23:00,2,88.8,119.2,,5.0
2026-09-07T00:00,2,84.2,113.4,,4.8
2026-09-07T01:00,2,78.8,106.4,39.0,4.7
2026-09-07T02:00,2,59.8,97.0,,4.4
2026-09-07T03:00,2,53.7,86.6,,4.3
2026-09-07T04:00,1,42.7,76.3,,4.1
2026-09-07T05:00,1,35.4,69.9,,4.0
2026-09-07T06:00,1,17.0,61.3,,3.5
2026-09-07T07:00,1,14.7,52.8,,2.6
2026-09-07T08:00,1,15.8,44.7,,2.4
2026-09-07T09:00,1,25.6,38.2,,2.8
2026-09-07T10:00,1,40.8,33.9,,11.5
2026-09-07T11:00,2,70.8,35.2,,13.5
2026-09-07T12:00,3,105.1,40.9,,15.7
2026-09-07T13:00,3,127.2,50.3,,15.4
2026-09-07T14:00,4,141.6,62.1,,15.4
2026-09-07T15:00,4,148.0,76.6,,15.1
2026-09-07T16:00,4,159.0,92.7,,17.1
2026-09-07T17:00,4,156.7,108.3,,23.5
2026-09-07T18:00,4,153.5,122.5,,27.7
2026-09-07T19:00,4,137.5,133.3,,26.1
2026-09-07T20:00,3,122.1,139.0,,17.1
2026-09-07T21:00,2,94.1,137.7,,15.8
2026-09-07T22:00,2,60.6,130.3,,15.1
2026-09-07T23:00,2,66.7,122.0,,3.7
2026-09-08T00:00,2,75.6,114.0,,3.4
2026-09-08T01:00,2,57.0,102.6,14.0,3.3
2026-09-08T02:00,1,37.4,89.4,,2.7
2026-09-08T03:00,1,31.3,75.8,,2.6
2026-09-08T04:00,1,38.9,64.9,,2.3
2026-09-08T05:00,1,25.0,54.1,,1.8
2026-09-08T06:00,1,22.0,46.1,,1.5
2026-09-08T07:00,1,15.6,41.1,,0.9
2026-09-08T08:00,1,20.3,35.9,,0.6
2026-09-08T09:00,1,40.3,32.0,,0.7
2026-09-08T10:00,2,61.1,32.4,,1.4
2026-09-08T11:00,2,85.7,37.8,,1.5
2026-09-08T12:00,3,112.3,46.8,,2.0
2026-09-08T13:00,4,140.2,58.1,,2.3
2026-09-08T14:00,4,149.5,71.9,,2.3
2026-09-08T15:00,4,156.5,86.8,,3.3
2026-09-08T16:00,4,162.0,103.1,,6.6
2026-09-08T17:00,4,164.6,119.1,,5.6
2026-09-08T18:00,4,140.5,130.3,,3.7
2026-09-08T19:00,3,120.7,136.9,,2.7
2026-09-08T20:00,3,115.9,140.2,,2.7
2026-09-08T21:00,3,106.4,139.6,,3.0
2026-09-08T22:00,3,102.9,135.4,,3.2
2026-09-08T23:00,2,96.6,129.6,,4.1
2026-09-09T00:00,2,93.9,122.6,,4.0
2026-09-09T01:00,2,90.7,114.7,,3.9
2026-09-09T02:00,2,83.1,105.6,,4.3
2026-09-09T03:00,2,75.8,98.4,,4.0
2026-09-09T04:00,2,70.9,92.9,,3.2
2026-09-09T05:00,2,73.0,88.1,,3.3
2026-09-09T06:00,2,75.0,84.7,,3.8
2026-09-09T07:00,2,61.5,80.1,,3.2
2026-09-09T08:00,1,49.7,74.8,,
