datetime,EAQI,NO2,PM10,PM25,SO2
2026-09-09T02:00,1,8.6,,,4.6
2026-09-09T03:00,1,9.1,,,4.3
2026-09-09T04:00,1,11.5,,,1.9
2026-09-09T05:00,1,10.4,,,2.8
2026-09-09T06:00,1,5.2,,,2.0
2026-09-09T07:00,1,8.2,,,1.7
2026-09-09T08:00,1,19.6,,,1.5
2026-09-09T09:00,1,19.3,,,3.6
2026-09-09T10:00,1,32.1,,,4.7
2026-09-09T11:00,1,15.5,,,2.8
2026-09-09T12:00,1,15.5,,,3.5
2026-09-09T13:00,1,17.4,,,4.3
2026-09-09T14:00,1,19.8,,,3.1
2026-09-09T15:00,1,13.7,,,3.4
2026-09-09T16:00,1,18.0,,,2.5
2026-09-09T17:00,1,15.8,,,3.0
2026-09-09T18:00,1,17.1,,,3.1
2026-09-09T19:00,1,13.3,,,3.2
2026-09-09T20:00,1,10.4,,,2.0
2026-09-09T21:00,1,17.2,,,1.3
2026-09-09T22:00,1,11.3,,,2.0
2026-09-09T23:00,1,9.3,,,2.0
2026-09-10T00:00,1,8.5,,,0.5
2026-09-10T01:00,1,5.9,9.0,5.0,0.1
2026-09-10T02:00,1,6.8,,,6.3
2026-09-10T03:00,1,6.6,,,3.7
2026-09-10T04:00,1,10.0,,,1.8
2026-09-10T05:00,1,12.5,,,8.0
2026-09-10T06:00,1,6.5,,,1.9
2026-09-10T07:00,1,9.5,,,7.3
2026-09-10T08:00,1,10.9,,,1.3
2026-09-10T09:00,1,10.2,,,7.1
2026-09-10T10:00,1,9.8,,,2.1
2026-09-10T11:00,1,12.5,,,3.7
2026-09-10T12:00,1,9.8,,,3.5
2026-09-10T13:00,1,10.5,,,4.2
2026-09-10T14:00,1,11.6,,,2.3
2026-09-10T15:00,1,12.7,,,1.9
2026-09-10T16:00,1,11.5,,,2.7
2026-09-10T17:00,1,14.2,,,2.2
2026-09-10T18:00,1,15.8,,,3.3
2026-09-10T19:00,1,7.7,,,3.3
2026-09-10T20:00,1,7.6,,,3.2
2026-09-10T21:00,1,12.5,,,2.9
2026-09-10T22:00,1,11.7,,,1.2
2026-09-10T23:00,1,7.5,,,1.2
2026-09-11T00:00,1,8.5,,,0.6
2026-09-11T01:00,1,10.4,17.0,9.0,3.8
2026-09-11T02:00,1,16.2,,,4.3
2026-09-11T03:00,1,10.7,,,3.1
2026-09-11T04:00,1,8.9,,,2.5
2026-09-11T05:00,1,7.8,,,8.2
