datetime,NO2,O3,SO2
2026-08-08T03:00,,44.0,
2026-08-08T04:00,,33.6,
2026-08-08T05:00,,25.1,
2026-08-08T06:00,,23.9,
2026-08-08T07:00,,22.7,
2026-08-08T08:00,,34.0,
2026-08-08T09:00,,46.5,
2026-08-08T10:00,,81.6,
2026-08-08T11:00,,100.2,
2026-08-08T12:00,,115.0,
2026-08-08T13:00,,124.3,
2026-08-08T14:00,,129.3,
2026-08-08T15:00,,135.0,
2026-08-08T16:00,,138.8,
2026-08-08T17:00,,144.9,
2026-08-08T18:00,,147.3,
2026-08-08T19:00,,149.3,
2026-08-08T20:00,,141.7,
2026-08-08T21:00,,128.6,
2026-08-08T22:00,,121.8,
2026-08-08T23:00,,118.3,
2026-08-09T00:00,,106.8,
2026-08-09T01:00,,94.0,
2026-08-09T02:00,,87.9,
2026-08-09T03:00,,81.0,
2026-08-09T04:00,,74.3,
2026-08-09T05:00,,75.4,
2026-08-09T06:00,,75.6,
2026-08-09T07:00,,74.0,
2026-08-09T08:00,,77.2,
2026-08-09T09:00,,81.4,
2026-08-09T10:00,,95.7,
2026-08-09T11:00,,113.7,
2026-08-09T12:00,,127.9,
2026-08-09T13:00,,136.5,
2026-08-09T14:00,,139.1,
2026-08-09T15:00,,141.1,
2026-08-09T16:00,,152.7,
2026-08-09T17:00,,156.2,
2026-08-09T18:00,,152.1,
2026-08-09T19:00,,136.5,
2026-08-09T20:00,,138.5,
2026-08-09T21:00,,122.5,
2026-08-09T22:00,,103.8,
2026-08-09T23:00,,86.0,
2026-08-10T00:00,,74.8,
2026-08-10T01:00,,73.2,
2026-08-10T02:00,,71.7,
2026-08-10T03:00,,78.8,
2026-08-10T04:00,,76.8,
2026-08-10T05:00,,56.9,
2026-08-10T06:00,,37.0,
2026-08-10T07:00,,32.6,
2026-08-10T08:00,,30.5,
2026-08-10T09:00,,36.0,
2026-08-10T10:00,,47.0,
2026-08-10T11:00,,61.9,
2026-08-10T12:00,,81.3,
2026-08-10T13:00,,97.9,
2026-08-10T14:00,,106.2,
2026-08-10T15:00,,117.6,
2026-08-10T16:00,,123.6,
2026-08-10T17:00,,130.9,
2026-08-10T18:00,,134.4,
2026-08-10T19:00,,121.6,
2026-08-10T20:00,,116.9,
2026-08-10T21:00,,100.7,
2026-08-10T22:00,,79.9,
2026-08-10T23:00,,76.2,
2026-08-11T00:00,,78.5,
2026-08-11T01:00,,69.1,
2026-08-11T02:00,,79.8,
2026-08-11T03:00,,69.1,
2026-08-11T04:00,,66.4,
2026-08-11T05:00,,66.6,
2026-08-11T06:00,,51.7,
2026-08-11T07:00,,36.4,
2026-08-11T08:00,,35.6,
2026-08-11T09:00,,44.2,
2026-08-11T10:00,,58.5,
2026-08-11T11:00,,88.8,
2026-08-11T12:00,,121.8,
2026-08-11T13:00,,138.7,
2026-08-11T14:00,,143.4,
2026-08-11T15:00,,148.6,
2026-08-11T16:00,,151.0,
2026-08-11T17:00,,154.5,
2026-08-11T18:00,,144.5,
2026-08-11T19:00,9.6,139.3,
2026-08-11T20:00,10.9,135.5,
2026-08-11T21:00,9.3,126.8,
2026-08-11T22:00,12.4,100.0,
2026-08-11T23:00,10.4,81.9,
2026-08-12T00:00,8.8,72.9,
2026-08-12T01:00,9.6,66.2,
2026-08-12T02:00,9.4,67.3,
2026-08-12T03:00,9.6,68.7,
2026-08-12T04:00,9.4,58.1,
2026-08-12T05:00,10.3,39.7,
2026-08-12T06:00,11.8,46.4,
2026-08-12T07:00,16.5,30.4,
2026-08-12T08:00,18.4,34.0,
2026-08-12T09:00,12.9,37.6,
2026-08-12T10:00,10.9,60.4,
2026-08-12T11:00,14.0,88.6,
2026-08-12T12:00,10.9,121.6,
2026-08-12T13:00,9.5,141.7,
2026-08-12T14:00,6.9,152.2,
2026-08-12T15:00,5.9,156.2,
2026-08-12T16:00,5.2,160.0,
2026-08-12T17:00,5.1,164.7,
2026-08-12T18:00,4.7,155.1,
2026-08-12T19:00,3.9,150.8,
2026-08-12T20:00,4.9,151.6,
2026-08-12T21:00,7.6,146.9,
2026-08-12T22:00,14.3,117.5,
2026-08-12T23:00,10.3,116.1,
2026-08-13T00:00,11.1,112.5,
2026-08-13T01:00,10.8,104.8,
2026-08-13T02:00,8.9,103.3,
2026-08-13T03:00,9.8,96.0,
2026-08-13T04:00,8.8,90.7,
2026-08-13T05:00,10.5,76.4,
2026-08-13T06:00,11.2,65.5,
2026-08-13T07:00,15.3,61.8,
2026-08-13T08:00,17.8,64.9,
2026-08-13T09:00,20.8,68.2,
2026-08-13T10:00,16.0,84.1,
2026-08-13T11:00,14.4,102.9,
2026-08-13T12:00,11.0,128.2,
2026-08-13T13:00,8.8,148.4,
2026-08-13T14:00,6.3,155.3,
2026-08-13T15:00,5.2,163.5,
2026-08-13T16:00,4.9,166.7,
2026-08-13T17:00,5.0,164.5,
2026-08-13T18:00,5.5,169.1,
2026-08-13T19:00,5.0,171.9,
2026-08-13T20:00,4.8,160.9,
2026-08-13T21:00,7.1,148.4,
2026-08-13T22:00,11.5,132.5,
2026-08-13T23:00,14.3,119.2,
2026-08-14T00:00,14.7,117.9,
2026-08-14T01:00,13.4,111.4,
2026-08-14T02:00,13.4,96.9,
2026-08-14T03:00,11.5,89.5,
2026-08-14T04:00,10.3,86.0,
2026-08-14T05:00,9.7,84.3,
2026-08-14T06:00,11.0,81.1,
2026-08-14T07:00,15.5,71.5,
2026-08-14T08:00,19.1,69.2,
2026-08-14T09:00,15.8,81.0,
2026-08-14T10:00,13.5,91.3,
2026-08-14T11:00,11.5,108.6,
2026-08-14T12:00,9.4,125.7,
2026-08-14T13:00,9.3,137.0,
2026-08-14T14:00,6.8,143.4,
2026-08-14T15:00,7.6,150.4,
2026-08-14T16:00,8.3,159.2,
2026-08-14T17:00,9.4,164.3,5.3
2026-08-14T18:00,8.0,165.6,4.5
2026-08-14T19:00,8.1,161.9,4.2
2026-08-14T20:00,8.1,158.1,5.6
2026-08-14T21:00,13.2,141.4,6.2
2026-08-14T22:00,14.0,138.2,6.5
2026-08-14T23:00,15.2,124.4,7.4
2026-08-15T00:00,16.0,113.0,7.8
2026-08-15T01:00,15.1,106.3,7.9
2026-08-15T02:00,15.8,100.1,8.0
2026-08-15T03:00,17.2,90.0,8.2
2026-08-15T04:00,16.4,69.5,7.6
2026-08-15T05:00,16.1,65.4,8.2
2026-08-15T06:00,14.5,76.7,7.9
2026-08-15T07:00,16.2,68.3,7.7
2026-08-15T08:00,17.8,71.6,8.2
2026-08-15T09:00,17.4,80.8,8.3
2026-08-15T10:00,14.8,95.5,8.9
2026-08-15T11:00,12.1,113.2,9.1
2026-08-15T12:00,9.9,128.2,9.3
2026-08-15T13:00,8.0,145.9,9.2
2026-08-15T14:00,6.2,159.8,9.1
2026-08-15T15:00,6.5,165.9,9.4
2026-08-15T16:00,8.2,166.7,9.5
2026-08-15T17:00,7.0,165.1,9.8
2026-08-15T18:00,6.9,169.9,9.5
2026-08-15T19:00,7.5,168.2,9.4
2026-08-15T20:00,8.4,167.1,9.4
2026-08-15T21:00,9.6,152.7,8.9
2026-08-15T22:00,16.8,113.3,8.5
2026-08-15T23:00,12.7,100.9,7.4
2026-08-16T00:00,13.2,103.9,8.1
2026-08-16T01:00,14.0,89.1,8.0
2026-08-16T02:00,15.3,75.4,8.2
2026-08-16T03:00,13.7,67.5,8.4
2026-08-16T04:00,14.1,63.9,8.1
2026-08-16T05:00,18.7,59.5,8.2
2026-08-16T06:00,19.0,55.9,7.9
