datetime,C6H6,CO,NO2,O3,PM10,PM25,SO2
2026-08-06T22:00,0.5,0.1,9.1,55.3,,,0.4
2026-08-06T23:00,0.3,0.1,3.4,75.5,,,0.5
2026-08-07T00:00,0.4,0.1,0.6,55.7,,,0.5
2026-08-07T01:00,0.1,0.1,0.3,52.8,12.0,8.0,0.3
2026-08-07T02:00,0.1,0.1,0.2,52.8,,,0.3
2026-08-07T03:00,0.1,0.1,0.3,43.3,,,0.3
2026-08-07T04:00,0.1,0.1,0.1,40.5,,,0.3
2026-08-07T05:00,0.1,0.1,0.4,36.3,,,0.3
2026-08-07T06:00,0.1,0.1,0.3,36.2,,,0.3
2026-08-07T07:00,0.1,0.1,2.9,32.5,,,0.3
2026-08-07T08:00,0.1,0.1,7.1,29.6,,,0.2
2026-08-07T09:00,0.3,0.1,5.5,33.7,,,0.4
2026-08-07T10:00,0.3,0.1,9.8,28.3,,,0.3
2026-08-07T11:00,0.3,0.2,8.6,41.8,,,0.4
2026-08-07T12:00,0.3,0.2,10.4,39.0,,,0.3
2026-08-07T13:00,0.3,0.1,6.3,78.3,,,0.3
2026-08-07T14:00,0.2,0.1,5.8,80.6,,,0.4
2026-08-07T15:00,0.1,0.2,5.9,80.1,,,0.4
2026-08-07T16:00,0.2,0.2,2.1,94.2,,,0.6
2026-08-07T17:00,0.2,0.2,3.9,90.2,,,0.5
2026-08-07T18:00,0.1,0.2,3.8,95.7,,,0.7
2026-08-07T19:00,0.2,0.2,7.1,68.3,,,0.4
2026-08-07T20:00,0.3,0.2,8.9,53.5,,,0.5
2026-08-07T21:00,0.2,0.1,5.4,51.0,,,0.5
2026-08-07T22:00,0.2,0.1,4.3,49.0,,,0.3
2026-08-07T23:00,0.2,0.1,2.7,53.1,,,0.4
2026-08-08T00:00,0.2,0.1,2.6,55.7,,,0.5
2026-08-08T01:00,0.2,0.1,1.5,57.4,12.0,8.0,0.4
2026-08-08T02:00,0.2,0.1,0.5,54.4,,,0.3
2026-08-08T03:00,0.2,0.1,1.9,51.6,,,0.4
2026-08-08T04:00,0.2,0.1,1.4,54.3,,,0.4
2026-08-08T05:00,0.2,0.1,1.8,50.9,,,0.3
2026-08-08T06:00,0.2,0.1,1.8,49.2,,,0.3
2026-08-08T07:00,0.5,0.1,2.1,48.2,,,0.3
2026-08-08T08:00,0.2,0.1,5.6,41.3,,,0.4
2026-08-08T09:00,0.3,0.1,5.5,44.8,,,0.4
2026-08-08T10:00,0.4,0.1,4.9,56.5,,,0.5
