datetime,NO2,PM10,PM25
2026-08-08T03:00,7.9,,
2026-08-08T04:00,7.7,,
2026-08-08T05:00,14.1,,
2026-08-08T06:00,11.0,,
2026-08-08T07:00,14.6,,
2026-08-08T08:00,23.2,,
2026-08-08T09:00,25.8,,
2026-08-08T10:00,18.4,,
2026-08-08T11:00,12.7,,
2026-08-08T12:00,10.5,,
2026-08-08T13:00,8.0,,
2026-08-08T14:00,13.0,,
2026-08-08T15:00,11.2,,
2026-08-08T16:00,12.3,,
2026-08-08T17:00,13.6,,
2026-08-08T18:00,15.7,,
2026-08-08T19:00,9.3,,
2026-08-08T20:00,8.2,,
2026-08-08T21:00,11.5,,
2026-08-08T22:00,20.3,,
2026-08-08T23:00,43.9,,
2026-08-09T00:00,30.1,,
2026-08-09T01:00,18.8,15.0,8.0
2026-08-09T02:00,26.7,,
2026-08-09T03:00,22.2,,
2026-08-09T04:00,16.4,,
2026-08-09T05:00,13.3,,
2026-08-09T06:00,12.1,,
2026-08-09T07:00,17.3,,
2026-08-09T08:00,24.2,,
2026-08-09T09:00,16.8,,
2026-08-09T10:00,8.6,,
2026-08-09T11:00,12.0,,
2026-08-09T12:00,8.6,,
2026-08-09T13:00,10.9,,
2026-08-09T14:00,7.7,,
2026-08-09T15:00,9.7,,
2026-08-09T16:00,10.7,,
2026-08-09T17:00,10.0,,
2026-08-09T18:00,9.2,,
2026-08-09T19:00,7.3,,
2026-08-09T20:00,7.4,,
2026-08-09T21:00,24.1,,
2026-08-09T22:00,15.7,,
2026-08-09T23:00,12.6,,
2026-08-10T00:00,10.3,,
2026-08-10T01:00,10.4,21.0,10.0
2026-08-10T02:00,12.1,,
2026-08-10T03:00,12.5,,
2026-08-10T04:00,11.7,,
2026-08-10T05:00,11.6,,
2026-08-10T06:00,17.9,,
2026-08-10T07:00,24.3,,
2026-08-10T08:00,31.8,,
2026-08-10T09:00,26.7,,
2026-08-10T10:00,22.6,,
2026-08-10T11:00,18.2,,
2026-08-10T12:00,20.3,,
2026-08-10T13:00,17.4,,
2026-08-10T14:00,16.6,,
2026-08-10T17:00,16.5,,
2026-08-10T18:00,20.3,,
2026-08-10T19:00,22.5,,
2026-08-10T20:00,37.6,,
2026-08-10T21:00,70.3,,
2026-08-10T22:00,56.8,,
2026-08-10T23:00,103.1,,
2026-08-11T00:00,112.5,,
2026-08-11T01:00,86.4,23.0,13.0
2026-08-11T02:00,110.6,,
2026-08-11T03:00,95.5,,
2026-08-11T04:00,80.2,,
2026-08-11T05:00,22.4,,
2026-08-11T06:00,50.2,,
2026-08-11T07:00,49.6,,
2026-08-11T08:00,40.8,,
2026-08-11T09:00,49.3,,
2026-08-11T10:00,28.2,,
2026-08-11T11:00,23.9,,
2026-08-11T12:00,16.2,,
2026-08-11T13:00,13.1,,
2026-08-11T14:00,16.2,,
2026-08-11T15:00,13.3,,
2026-08-11T16:00,22.7,,
2026-08-11T17:00,15.6,,
2026-08-11T18:00,23.1,,
2026-08-11T19:00,14.1,,
2026-08-11T20:00,15.5,,
2026-08-11T21:00,33.3,,
2026-08-11T22:00,33.2,,
2026-08-11T23:00,29.9,,
2026-08-12T00:00,24.1,,
2026-08-12T01:00,19.8,25.0,12.0
2026-08-12T02:00,17.8,,
2026-08-12T03:00,12.8,,
2026-08-12T04:00,13.8,,
2026-08-12T05:00,13.4,,
2026-08-12T06:00,16.0,,
2026-08-12T07:00,25.2,,
2026-08-12T08:00,30.1,,
2026-08-12T09:00,30.3,,
2026-08-12T10:00,25.9,,
2026-08-12T11:00,14.4,,
2026-08-12T12:00,13.3,,
2026-08-12T13:00,11.9,,
2026-08-12T14:00,14.3,,
2026-08-12T15:00,13.2,,
2026-08-12T16:00,16.9,,
2026-08-12T17:00,15.4,,
2026-08-12T18:00,11.9,,
2026-08-12T19:00,9.9,,
2026-08-12T20:00,15.5,,
2026-08-12T21:00,17.5,,
2026-08-12T22:00,13.9,,
2026-08-12T23:00,14.0,,
2026-08-13T00:00,12.4,,
2026-08-13T01:00,15.8,24.0,14.0
2026-08-13T02:00,11.9,,
2026-08-13T03:00,12.3,,
2026-08-13T04:00,11.5,,
2026-08-13T05:00,12.2,,
2026-08-13T06:00,12.2,,
2026-08-13T07:00,14.8,,
2026-08-13T08:00,18.3,,
2026-08-13T09:00,32.0,,
2026-08-13T10:00,21.3,,
2026-08-13T11:00,13.2,,
2026-08-13T12:00,20.1,,
2026-08-13T13:00,15.4,,
2026-08-13T14:00,14.0,,
2026-08-13T15:00,13.3,,
2026-08-13T16:00,14.6,,
2026-08-13T17:00,10.4,,
2026-08-13T18:00,12.3,,
2026-08-13T19:00,9.2,,
2026-08-13T20:00,10.5,,
2026-08-13T21:00,15.9,,
2026-08-13T22:00,31.9,,
2026-08-13T23:00,28.8,,
2026-08-14T00:00,26.5,,
2026-08-14T01:00,13.8,26.0,10.0
2026-08-14T02:00,12.6,,
2026-08-14T03:00,12.7,,
2026-08-14T04:00,18.0,,
2026-08-14T05:00,15.0,,
2026-08-14T06:00,20.4,,
2026-08-14T07:00,29.0,,
2026-08-14T08:00,40.5,,
2026-08-14T09:00,37.4,,
2026-08-14T10:00,22.9,,
2026-08-14T11:00,12.9,,
2026-08-14T12:00,12.3,,
2026-08-14T13:00,14.8,,
2026-08-14T14:00,13.7,,
2026-08-14T15:00,11.2,,
2026-08-14T16:00,11.1,,
2026-08-14T17:00,9.9,,
2026-08-14T18:00,8.3,,
2026-08-14T19:00,8.2,,
2026-08-14T20:00,10.9,,
2026-08-14T21:00,17.1,,
2026-08-14T22:00,38.3,,
2026-08-14T23:00,26.6,,
2026-08-15T00:00,29.5,,
2026-08-15T01:00,27.2,24.0,13.0
2026-08-15T02:00,17.7,,
2026-08-15T03:00,14.9,,
2026-08-15T04:00,14.9,,
2026-08-15T05:00,15.2,,
2026-08-15T06:00,13.0,,
2026-08-15T07:00,12.9,,
2026-08-15T08:00,13.0,,
2026-08-15T09:00,13.9,,
2026-08-15T10:00,13.3,,
2026-08-15T11:00,11.1,,
2026-08-15T12:00,8.9,,
2026-08-15T13:00,12.0,,
2026-08-15T14:00,9.2,,
2026-08-15T15:00,8.4,,
2026-08-15T16:00,10.6,,
2026-08-15T17:00,12.6,,
2026-08-15T18:00,11.0,,
2026-08-15T19:00,9.5,,
2026-08-15T20:00,9.5,,
2026-08-15T21:00,27.1,,
2026-08-15T22:00,38.5,,
2026-08-15T23:00,22.2,,
2026-08-16T00:00,21.7,,
2026-08-16T01:00,18.3,20.0,13.0
2026-08-16T02:00,14.2,,
2026-08-16T03:00,14.5,,
2026-08-16T04:00,14.2,,
2026-08-16T05:00,12.4,,
2026-08-16T06:00,13.2,,
2026-08-16T07:00,14.1,,
2026-08-16T08:00,14.9,,
2026-08-16T09:00,13.9,,
2026-08-16T10:00,16.5,,
2026-08-16T11:00,16.0,,
2026-08-16T12:00,13.8,,
2026-08-16T13:00,12.5,,
2026-08-16T14:00,9.2,,
2026-08-16T15:00,10.4,,
2026-08-16T16:00,11.4,,
2026-08-16T17:00,9.0,,
2026-08-16T18:00,9.5,,
2026-08-16T19:00,12.5,,
2026-08-16T20:00,11.6,,
2026-08-16T21:00,11.5,,
2026-08-16T22:00,10.3,,
2026-08-16T23:00,8.8,,
2026-08-17T00:00,13.8,,
2026-08-17T01:00,8.8,11.0,7.0
2026-08-17T02:00,8.3,,
2026-08-17T03:00,10.4,,
2026-08-17T04:00,12.8,,
2026-08-17T05:00,16.0,,
2026-08-17T06:00,17.6,,
2026-08-17T07:00,23.7,,
2026-08-17T08:00,27.5,,
2026-08-17T09:00,21.2,,
2026-08-17T10:00,21.8,,
2026-08-17T11:00,20.8,,
2026-08-17T12:00,17.7,,
2026-08-17T13:00,16.7,,
2026-08-17T14:00,14.0,,
2026-08-17T15:00,14.5,,
2026-08-17T16:00,16.0,,
2026-08-17T17:00,20.3,,
2026-08-17T18:00,17.6,,
2026-08-17T19:00,17.4,,
2026-08-17T20:00,18.6,,
2026-08-17T21:00,24.5,,
2026-08-17T22:00,27.6,,
2026-08-17T23:00,22.1,,
2026-08-18T00:00,25.4,,
2026-08-18T01:00,18.1,14.0,8.0
2026-08-18T02:00,21.5,,
2026-08-18T03:00,19.4,,
2026-08-18T04:00,17.8,,
2026-08-18T05:00,18.0,,
2026-08-18T06:00,25.1,,
2026-08-18T07:00,29.8,,
2026-08-18T08:00,37.4,,
2026-08-18T09:00,23.5,,
2026-08-18T10:00,19.0,,
2026-08-18T11:00,17.7,,
2026-08-18T12:00,22.6,,
2026-08-18T13:00,18.7,,
2026-08-18T14:00,17.8,,
2026-08-18T15:00,15.1,,
2026-08-18T16:00,14.8,,
2026-08-18T17:00,19.4,,
2026-08-18T18:00,20.2,,
2026-08-18T19:00,17.0,,
2026-08-18T20:00,33.7,,
2026-08-18T21:00,31.7,,
2026-08-18T22:00,31.8,,
2026-08-18T23:00,30.6,,
2026-08-19T00:00,29.9,,
2026-08-19T01:00,25.1,16.0,10.0
2026-08-19T02:00,23.2,,
2026-08-19T03:00,19.2,,
2026-08-19T04:00,21.0,,
2026-08-19T05:00,20.9,,
2026-08-19T06:00,27.1,,
2026-08-19T07:00,32.6,,
2026-08-19T08:00,41.4,,
2026-08-19T09:00,36.1,,
2026-08-19T10:00,19.8,,
2026-08-19T11:00,11.1,,
2026-08-19T12:00,11.3,,
2026-08-19T13:00,11.8,,
2026-08-19T14:00,9.8,,
2026-08-19T15:00,9.7,,
2026-08-19T16:00,15.6,,
2026-08-19T17:00,14.8,,
2026-08-19T18:00,24.4,,
2026-08-19T19:00,13.2,,
2026-08-19T20:00,11.3,,
2026-08-19T21:00,15.9,,
2026-08-19T22:00,30.7,,
2026-08-19T23:00,18.8,,
2026-08-20T00:00,12.0,,
2026-08-20T01:00,10.5,11.0,8.0
2026-08-20T02:00,7.7,,
2026-08-20T03:00,7.3,,
2026-08-20T04:00,7.5,,
2026-08-20T05:00,8.1,,
2026-08-20T06:00,10.0,,
2026-08-20T07:00,13.2,,
2026-08-20T08:00,15.0,,
2026-08-20T09:00,16.0,,
2026-08-20T10:00,18.9,,
2026-08-20T11:00,15.9,,
2026-08-20T12:00,17.3,,
2026-08-20T13:00,14.1,,
2026-08-20T14:00,15.5,,
2026-08-20T15:00,15.5,,
2026-08-20T16:00,14.8,,
2026-08-20T17:00,15.3,,
2026-08-20T18:00,15.7,,
2026-08-20T19:00,16.3,,
2026-08-20T20:00,9.5,,
2026-08-20T21:00,10.6,,
2026-08-20T22:00,11.4,,
2026-08-20T23:00,8.7,,
2026-08-21T00:00,6.7,,
2026-08-21T01:00,7.0,7.0,3.0
2026-08-21T02:00,6.1,,
2026-08-21T03:00,6.3,,
