datetime,C6H6,CO,NO2,PM10,PM25,SO2
2026-08-27T21:00,0.6,0.3,28.9,,,1.4
2026-08-27T22:00,0.5,0.4,37.1,,,1.1
2026-08-27T23:00,0.3,0.3,29.7,,,1.4
2026-08-28T00:00,0.2,0.3,27.8,,,1.3
2026-08-28T01:00,0.3,0.3,27.4,30.0,15.0,1.3
2026-08-28T02:00,0.2,0.3,23.3,,,1.1
2026-08-28T03:00,0.1,0.3,20.8,,,0.9
2026-08-28T04:00,0.5,0.3,19.6,,,0.8
2026-08-28T05:00,0.3,0.3,16.1,,,0.9
2026-08-28T06:00,0.8,0.3,15.9,,,0.8
2026-08-28T07:00,0.3,0.3,17.9,,,0.9
2026-08-28T08:00,0.3,0.3,12.0,,,0.8
2026-08-28T09:00,0.4,0.4,19.7,,,0.9
2026-08-28T10:00,0.4,0.3,17.9,,,1.1
2026-08-28T11:00,0.3,0.3,15.6,,,1.3
2026-08-28T12:00,0.3,0.3,15.0,,,1.5
2026-08-28T13:00,0.3,0.3,13.5,,,1.6
2026-08-28T14:00,0.3,0.3,13.0,,,1.5
2026-08-28T15:00,0.4,0.3,11.6,,,1.7
2026-08-28T16:00,0.4,0.3,13.4,,,1.4
2026-08-28T17:00,0.4,0.3,21.5,,,1.4
2026-08-28T18:00,0.4,0.3,13.6,,,0.9
2026-08-28T19:00,0.2,0.3,9.2,,,0.9
2026-08-28T20:00,0.3,0.3,17.2,,,0.9
2026-08-28T21:00,0.5,0.3,17.9,,,0.9
2026-08-28T22:00,0.4,0.3,14.2,,,0.8
2026-08-28T23:00,0.5,0.3,19.5,,,0.9
2026-08-29T00:00,0.4,0.4,22.0,,,0.9
2026-08-29T01:00,0.1,0.4,22.6,29.0,9.0,1.1
2026-08-29T02:00,0.5,0.3,22.6,,,1.1
2026-08-29T03:00,0.5,0.3,19.6,,,0.9
2026-08-29T04:00,0.5,0.3,19.0,,,0.9
2026-08-29T05:00,0.5,0.3,20.4,,,0.9
2026-08-29T06:00,0.5,0.3,20.1,,,1.1
2026-08-29T07:00,0.5,0.3,21.1,,,1.0
2026-08-29T08:00,0.5,0.2,12.8,,,0.9
2026-08-29T09:00,0.5,0.3,14.0,,,1.1
2026-08-29T10:00,0.6,0.3,13.6,,,1.2
2026-08-29T11:00,0.6,0.3,16.0,,,1.2
2026-08-29T12:00,0.7,0.3,14.7,,,1.1
2026-08-29T13:00,0.7,0.3,12.9,,,1.4
2026-08-29T14:00,0.6,0.3,12.3,,,1.6
2026-08-29T15:00,0.5,0.3,8.5,,,1.7
2026-08-29T16:00,0.5,0.2,9.6,,,1.7
2026-08-29T17:00,0.6,0.2,10.7,,,1.4
2026-08-29T18:00,0.2,0.1,7.8,,,1.1
2026-08-29T19:00,0.3,0.2,13.4,,,0.6
2026-08-29T20:00,0.3,0.2,18.2,,,0.7
2026-08-29T21:00,0.5,0.3,40.8,,,0.6
2026-08-29T22:00,0.4,0.3,41.3,,,0.7
2026-08-29T23:00,0.4,0.2,16.3,,,1.3
2026-08-30T00:00,0.4,0.2,15.9,,,1.2
2026-08-30T01:00,0.3,0.3,27.6,20.0,8.0,1.7
2026-08-30T02:00,0.3,0.3,27.5,,,2.4
2026-08-30T03:00,0.4,0.3,18.1,,,2.2
2026-08-30T04:00,0.3,0.2,15.2,,,2.2
2026-08-30T05:00,0.2,0.3,15.1,,,1.2
2026-08-30T06:00,0.1,0.2,15.5,,,1.0
2026-08-30T07:00,0.5,0.2,17.5,,,0.8
2026-08-30T08:00,0.5,0.3,22.6,,,1.0
2026-08-30T09:00,0.5,0.3,20.6,,,1.2
2026-08-30T10:00,0.5,0.3,17.4,,,1.9
2026-08-30T11:00,0.6,0.3,14.1,,,1.9
2026-08-30T12:00,0.6,0.3,12.3,,,1.9
2026-08-30T13:00,0.6,0.2,9.7,,,1.6
2026-08-30T14:00,0.5,0.2,7.1,,,1.6
2026-08-30T15:00,0.5,0.2,5.0,,,1.7
2026-08-30T16:00,0.4,0.2,6.0,,,1.4
2026-08-30T17:00,0.4,0.2,6.1,,,1.3
2026-08-30T18:00,0.3,0.2,12.9,,,1.3
2026-08-30T19:00,0.3,0.2,9.9,,,0.9
2026-08-30T20:00,0.3,0.3,21.6,,,1.0
2026-08-30T21:00,0.4,0.5,47.7,,,1.0
2026-08-30T22:00,0.3,0.6,63.7,,,1.0
2026-08-30T23:00,0.2,0.6,77.9,,,1.1
2026-08-31T00:00,0.2,0.7,67.3,,,1.4
2026-08-31T01:00,0.1,0.4,35.1,25.0,9.0,0.9
2026-08-31T02:00,0.1,0.4,30.8,,,0.9
2026-08-31T03:00,0.1,0.4,31.5,,,0.6
2026-08-31T04:00,0.1,0.4,22.5,,,0.7
2026-08-31T05:00,0.1,0.3,19.7,,,0.7
2026-08-31T06:00,0.1,0.4,22.3,,,0.6
2026-08-31T07:00,0.3,0.4,31.2,,,0.6
2026-08-31T08:00,0.5,0.4,38.4,,,0.7
2026-08-31T09:00,0.5,0.4,41.0,,,1.0
2026-08-31T10:00,0.2,0.3,27.6,,,1.3
2026-08-31T11:00,0.5,0.3,16.0,,,1.9
2026-08-31T12:00,0.6,0.3,8.9,,,1.5
2026-08-31T13:00,0.6,0.3,13.0,,,2.1
2026-08-31T14:00,0.7,0.3,10.2,,,1.8
2026-08-31T15:00,0.6,0.2,11.8,,,1.6
2026-08-31T16:00,0.6,0.2,11.7,,,1.1
2026-08-31T17:00,0.3,0.2,9.3,,,0.7
2026-08-31T18:00,0.4,0.2,20.5,,,0.7
2026-08-31T19:00,0.4,0.2,18.6,,,0.8
2026-08-31T20:00,0.4,0.3,34.5,,,0.6
2026-08-31T21:00,0.5,0.4,57.3,,,0.7
2026-08-31T22:00,0.5,0.4,49.5,,,0.8
2026-08-31T23:00,0.3,0.2,21.6,,,1.3
2026-09-01T00:00,0.3,0.2,12.8,,,1.3
2026-09-01T01:00,0.3,0.3,17.3,23.0,11.0,1.0
2026-09-01T02:00,0.3,0.3,11.7,,,0.8
2026-09-01T03:00,0.2,0.3,9.5,,,1.2
2026-09-01T04:00,0.2,0.3,13.4,,,1.6
2026-09-01T05:00,0.2,0.3,15.4,,,1.3
2026-09-01T06:00,0.3,0.3,17.0,,,0.9
2026-09-01T07:00,0.4,0.3,35.9,,,1.0
2026-09-01T08:00,0.5,0.4,42.8,,,1.5
2026-09-01T09:00,0.5,0.4,31.5,,,1.5
2026-09-01T10:00,0.4,0.3,17.1,,,1.8
2026-09-01T11:00,0.3,0.3,14.4,,,1.6
2026-09-01T12:00,0.3,0.3,11.1,,,0.9
2026-09-01T13:00,0.3,0.3,9.9,,,0.8
2026-09-01T14:00,0.3,0.3,11.9,,,1.0
2026-09-01T15:00,0.2,0.3,7.2,,,1.0
2026-09-01T16:00,0.3,0.3,9.7,,,1.1
2026-09-01T17:00,0.2,0.3,9.4,,,0.8
2026-09-01T18:00,0.4,0.3,17.6,,,0.9
2026-09-01T19:00,0.4,0.3,22.8,,,0.7
2026-09-01T20:00,0.5,0.3,26.7,,,0.8
2026-09-01T21:00,0.5,0.4,35.7,,,0.9
2026-09-01T22:00,0.2,0.4,29.3,,,1.0
2026-09-01T23:00,0.3,0.4,27.3,,,1.4
2026-09-02T00:00,0.3,0.3,17.8,,,1.2
2026-09-02T01:00,0.4,0.3,19.1,28.0,13.0,1.1
2026-09-02T02:00,0.6,0.3,18.5,,,1.0
2026-09-02T03:00,0.3,0.3,22.5,,,0.9
2026-09-02T04:00,0.3,0.3,23.0,,,0.9
2026-09-02T05:00,0.2,0.3,27.7,,,0.9
2026-09-02T06:00,0.1,0.3,31.2,,,0.8
2026-09-02T07:00,0.4,0.4,43.2,,,1.1
2026-09-02T08:00,0.1,0.4,42.6,,,0.8
2026-09-02T09:00,0.5,0.4,37.5,,,1.2
2026-09-02T10:00,0.5,0.3,24.1,,,1.3
2026-09-02T11:00,0.5,0.3,19.5,,,1.6
2026-09-02T12:00,0.3,0.3,15.1,,,1.8
2026-09-02T13:00,0.3,0.3,11.4,,,2.0
