datetime,NO2,O3,PM10,PM25,SO2
2026-08-08T03:00,8.8,69.3,,,2.0
2026-08-08T04:00,10.8,62.9,,,2.0
2026-08-08T05:00,9.2,58.5,,,1.9
2026-08-08T06:00,11.0,53.9,,,1.9
2026-08-08T07:00,14.4,52.9,,,2.2
2026-08-08T08:00,16.2,55.4,,,2.1
2026-08-08T09:00,9.6,87.9,,,1.8
2026-08-08T10:00,9.1,100.0,,,1.9
2026-08-08T11:00,6.8,113.1,,,2.3
2026-08-08T12:00,6.0,121.2,,,2.3
2026-08-08T13:00,6.2,123.8,,,2.2
2026-08-08T14:00,6.3,133.0,,,2.0
2026-08-08T15:00,6.3,142.5,,,2.3
2026-08-08T16:00,6.1,149.9,,,2.6
2026-08-08T17:00,5.9,155.3,,,2.1
2026-08-08T18:00,6.2,154.3,,,2.6
2026-08-08T19:00,5.7,152.0,,,2.8
2026-08-08T20:00,6.9,156.3,,,2.3
2026-08-08T21:00,8.3,147.0,,,2.1
2026-08-08T22:00,10.3,132.8,,,2.1
2026-08-08T23:00,11.6,124.8,,,2.1
2026-08-09T00:00,10.7,115.3,,,2.5
2026-08-09T01:00,10.2,108.1,19.0,13.0,2.5
2026-08-09T02:00,9.5,104.8,,,2.3
2026-08-09T03:00,8.4,105.5,,,2.4
2026-08-09T04:00,9.9,99.8,,,2.0
2026-08-09T05:00,9.1,94.0,,,2.3
2026-08-09T06:00,9.2,91.5,,,1.9
2026-08-09T07:00,11.5,82.9,,,2.0
2026-08-09T08:00,12.4,89.4,,,2.1
2026-08-09T09:00,8.9,107.8,,,2.0
2026-08-09T10:00,6.7,117.4,,,2.2
2026-08-09T11:00,6.0,126.2,,,1.9
2026-08-09T12:00,5.9,134.5,,,2.3
2026-08-09T13:00,6.5,138.7,,,2.3
2026-08-09T14:00,6.3,144.9,,,1.8
2026-08-09T15:00,6.3,156.5,,,2.6
2026-08-09T16:00,6.7,162.0,,,2.3
2026-08-09T17:00,6.7,169.4,,,2.2
2026-08-09T18:00,6.2,168.3,,,2.7
2026-08-09T19:00,6.6,160.3,,,2.3
2026-08-09T20:00,8.5,151.3,,,2.3
2026-08-09T21:00,7.2,141.3,,,2.5
2026-08-09T22:00,5.3,120.6,,,2.7
2026-08-09T23:00,5.2,118.4,,,2.1
2026-08-10T00:00,6.6,108.7,,,2.4
2026-08-10T01:00,9.1,92.8,22.0,13.0,2.3
2026-08-10T02:00,7.5,80.6,,,2.6
2026-08-10T03:00,8.4,73.2,,,2.8
2026-08-10T04:00,9.6,65.5,,,3.5
2026-08-10T05:00,9.5,60.2,,,3.1
2026-08-10T06:00,10.1,58.6,,,2.5
2026-08-10T07:00,12.7,51.1,,,2.7
