datetime,EAQI,NO2,O3,O3_8H,PM10,PM25
2026-09-06T12:00,3,6.0,112.0,,8.0,12.0
2026-09-06T13:00,3,5.0,117.0,,12.0,14.0
2026-09-06T14:00,3,4.0,113.0,,14.0,12.0
2026-09-06T15:00,3,5.0,111.0,113.2,15.0,11.0
2026-09-06T16:00,3,10.0,107.0,112.0,16.0,9.0
2026-09-06T17:00,3,4.0,109.0,111.5,16.0,8.0
2026-09-06T18:00,3,4.0,114.0,111.9,17.0,8.0
2026-09-06T19:00,2,8.0,97.0,110.0,17.0,8.0
2026-09-06T20:00,2,22.0,68.0,105.3,20.0,9.0
2026-09-06T21:00,2,19.0,57.0,99.2,16.0,7.0
2026-09-06T22:00,1,26.0,36.0,90.2,15.0,7.0
2026-09-06T23:00,1,15.0,44.0,82.6,13.0,6.0
2026-09-07T00:00,2,6.0,63.0,77.2,19.0,7.0
2026-09-07T01:00,1,9.0,42.0,70.0,11.0,5.0
2026-09-07T02:00,1,9.0,39.0,62.2,11.0,6.0
2026-09-07T03:00,1,10.0,37.0,53.7,11.0,5.0
2026-09-07T04:00,1,10.0,32.0,46.4,11.0,5.0
2026-09-07T05:00,1,15.0,29.0,42.1,11.0,5.0
2026-09-07T06:00,1,24.0,20.0,38.0,11.0,6.0
2026-09-07T07:00,1,33.0,17.0,35.9,13.0,7.0
2026-09-07T08:00,1,25.0,34.0,34.8,12.0,8.0
2026-09-07T09:00,2,19.0,61.0,34.6,10.0,11.0
2026-09-07T10:00,2,18.0,74.0,38.1,8.0,11.0
2026-09-07T11:00,2,10.0,98.0,44.7,8.0,10.0
2026-09-07T12:00,3,8.0,114.0,53.2,12.0,15.0
2026-09-07T13:00,3,5.0,125.0,63.6,16.0,18.0
2026-09-07T14:00,3,8.0,127.0,74.4,19.0,18.0
2026-09-07T15:00,3,8.0,125.0,86.1,20.0,17.0
2026-09-07T16:00,3,7.0,123.0,97.9,19.0,14.0
2026-09-07T17:00,3,5.0,125.0,108.0,18.0,12.0
2026-09-07T18:00,4,7.0,132.0,115.9,19.0,10.0
2026-09-07T19:00,4,6.0,138.0,123.0,17.0,9.0
2026-09-07T20:00,3,12.0,114.0,124.8,17.0,9.0
2026-09-07T21:00,2,9.0,96.0,122.8,20.0,9.0
2026-09-07T22:00,2,6.0,91.0,119.0,22.0,8.0
2026-09-07T23:00,2,10.0,60.0,111.6,23.0,7.0
2026-09-08T00:00,2,7.0,93.0,108.0,21.0,9.0
2026-09-08T01:00,2,6.0,56.0,100.6,17.0,7.0
2026-09-08T02:00,1,12.0,36.0,90.7,16.0,7.0
