datetime,EAQI,NO2,O3,O3_8H,PM10
2026-09-20T00:00,2,0.0,29.0,,26.0
2026-09-20T01:00,3,0.0,21.0,,41.0
2026-09-20T02:00,2,0.0,22.0,,39.0
2026-09-20T03:00,2,0.0,21.0,23.2,38.0
2026-09-20T04:00,3,0.0,22.0,23.0,42.0
2026-09-20T05:00,2,0.0,20.0,22.5,35.0
2026-09-20T06:00,2,0.0,16.0,21.6,35.0
2026-09-20T07:00,2,0.0,18.0,21.1,30.0
2026-09-20T08:00,2,0.0,22.0,21.2,31.0
2026-09-20T09:00,2,0.0,28.0,21.1,26.0
2026-09-20T10:00,2,0.0,33.0,22.4,28.0
2026-09-20T11:00,2,0.0,41.0,24.6,29.0
2026-09-20T12:00,2,0.0,50.0,27.8,26.0
2026-09-20T13:00,2,0.0,62.0,32.2,23.0
2026-09-20T14:00,2,0.0,73.0,38.1,22.0
2026-09-20T15:00,2,0.0,79.0,45.1,22.0
2026-09-20T16:00,2,0.0,82.0,52.2,22.0
2026-09-20T17:00,2,0.0,83.0,59.0,21.0
2026-09-20T18:00,2,0.0,77.0,64.4,24.0
2026-09-20T19:00,2,0.0,54.0,66.8,21.0
2026-09-20T20:00,1,0.0,35.0,66.1,19.0
2026-09-20T21:00,1,0.0,27.0,63.6,18.0
2026-09-20T22:00,2,0.0,36.0,60.7,21.0
2026-09-20T23:00,2,0.0,27.0,55.6,24.0
2026-09-21T00:00,1,22.0,39.0,51.1,10.0
2026-09-21T01:00,2,,26.0,44.9,39.0
2026-09-21T02:00,2,,31.0,39.1,30.0
2026-09-21T03:00,2,,26.0,33.4,31.0
2026-09-21T04:00,2,,29.0,30.7,26.0
2026-09-21T05:00,2,,31.0,30.2,30.0
2026-09-21T06:00,2,,32.0,30.8,27.0
2026-09-21T07:00,2,,31.0,30.2,25.0
2026-09-21T08:00,2,,30.0,30.6,32.0
2026-09-21T09:00,2,,32.0,29.8,29.0
2026-09-21T10:00,2,,33.0,30.6,26.0
2026-09-21T11:00,1,,37.0,31.2,17.0
2026-09-21T12:00,1,,36.0,32.3,14.0
2026-09-21T13:00,1,,43.0,33.9,13.0
2026-09-21T14:00,1,,49.0,35.9,12.0
2026-09-21T15:00,2,,64.0,39.4,12.0
2026-09-21T16:00,2,,71.0,43.9,12.0
2026-09-21T17:00,1,,41.0,45.1,16.0
2026-09-21T18:00,3,97.0,27.0,44.6,18.0
2026-09-21T19:00,2,75.0,35.0,44.8,17.0
2026-09-21T20:00,2,53.0,37.0,44.8,17.0
2026-09-21T21:00,2,44.0,19.0,42.9,17.0
2026-09-21T22:00,1,33.0,33.0,41.8,15.0
2026-09-21T23:00,1,29.0,32.0,39.9,13.0
2026-09-22T00:00,1,11.0,26.0,35.7,7.0
2026-09-22T01:00,1,17.0,42.0,32.4,9.0
2026-09-22T02:00,1,16.0,38.0,32.1,8.0
2026-09-22T03:00,1,14.0,39.0,33.4,8.0
2026-09-22T04:00,1,13.0,35.0,33.4,7.0
2026-09-22T05:00,1,12.0,29.0,32.6,6.0
2026-09-22T06:00,1,13.0,19.0,32.6,6.0
2026-09-22T07:00,1,16.0,19.0,31.0,5.0
2026-09-22T08:00,1,18.0,18.0,29.4,4.0
2026-09-22T09:00,1,,33.0,30.2,3.0
2026-09-22T11:00,1,16.0,48.0,30.0,4.0
2026-09-22T12:00,2,15.0,55.0,32.0,5.0
2026-09-22T13:00,2,14.0,67.0,36.0,6.0
2026-09-22T14:00,2,17.0,69.0,41.0,7.0
2026-09-22T15:00,2,17.0,72.0,47.6,8.0
2026-09-22T16:00,2,12.0,83.0,55.6,9.0
2026-09-22T17:00,2,17.0,59.0,60.8,12.0
2026-09-22T18:00,1,32.0,27.0,60.0,15.0
2026-09-22T19:00,1,21.0,41.0,57.9,16.0
2026-09-22T20:00,1,14.0,48.0,57.9,15.0
2026-09-22T21:00,1,19.0,32.0,55.3,12.0
2026-09-22T22:00,1,15.0,33.0,51.6,10.0
2026-09-22T23:00,1,13.0,28.0,47.0,8.0
2026-09-23T00:00,1,9.0,11.0,40.2,11.0
2026-09-23T01:00,1,12.0,15.0,32.7,8.0
2026-09-23T02:00,1,11.0,15.0,27.8,8.0
2026-09-23T03:00,1,12.0,12.0,26.1,7.0
2026-09-23T04:00,1,9.0,22.0,24.0,6.0
2026-09-23T05:00,1,8.0,27.0,21.7,6.0
2026-09-23T06:00,1,9.0,27.0,21.1,6.0
2026-09-23T07:00,1,12.0,24.0,20.1,7.0
2026-09-23T08:00,1,18.0,23.0,19.6,7.0
2026-09-23T09:00,1,15.0,42.0,23.0,7.0
2026-09-23T10:00,1,14.0,49.0,26.8,5.0
2026-09-23T11:00,2,12.0,60.0,31.8,6.0
2026-09-23T12:00,2,12.0,67.0,37.9,9.0
2026-09-23T13:00,2,8.0,78.0,44.1,11.0
2026-09-23T14:00,2,7.0,80.0,50.0,13.0
2026-09-23T15:00,2,7.0,80.0,55.9,14.0
2026-09-23T16:00,2,7.0,81.0,62.2,14.0
2026-09-23T17:00,2,8.0,71.0,67.6,15.0
2026-09-23T18:00,1,12.0,43.0,67.7,17.0
2026-09-23T19:00,1,16.0,42.0,66.9,16.0
2026-09-23T20:00,1,18.0,31.0,63.7,15.0
2026-09-23T21:00,1,14.0,24.0,58.9,14.0
2026-09-23T22:00,1,12.0,15.0,51.9,13.0
2026-09-23T23:00,1,10.0,12.0,44.3,12.0
2026-09-24T00:00,1,,23.0,38.0,17.0
2026-09-24T01:00,1,8.0,14.0,30.6,11.0
2026-09-24T02:00,1,7.0,15.0,24.3,11.0
2026-09-24T03:00,1,8.0,15.0,21.2,11.0
2026-09-24T04:00,1,7.0,23.0,19.1,10.0
2026-09-24T05:00,1,9.0,11.0,16.9,10.0
2026-09-24T06:00,1,9.0,8.0,15.1,10.0
2026-09-24T07:00,1,13.0,5.0,14.0,10.0
2026-09-24T08:00,1,13.0,8.0,13.6,9.0
2026-09-24T09:00,1,17.0,16.0,12.8,10.0
2026-09-24T10:00,1,11.0,29.0,14.4,9.0
2026-09-24T11:00,1,8.0,35.0,16.7,11.0
2026-09-24T12:00,2,1.0,52.0,20.8,12.0
2026-09-24T13:00,2,9.0,53.0,24.1,14.0
2026-09-24T14:00,2,10.0,72.0,30.9,14.0
2026-09-24T15:00,2,,82.0,39.1,16.0
2026-09-24T16:00,2,,85.0,48.0,18.0
2026-09-24T17:00,2,,79.0,55.9,22.0
2026-09-24T18:00,2,,53.0,60.0,25.0
2026-09-24T19:00,2,,33.0,60.4,26.0
2026-09-24T20:00,2,,28.0,59.7,25.0
2026-09-24T21:00,2,,35.0,57.8,25.0
2026-09-24T22:00,2,,25.0,54.7,23.0
2026-09-24T23:00,1,,20.0,48.9,20.0
