datetime,EAQI,NO2,O3,O3_8H,PM10
2026-09-06T12:00,2,10.0,91.0,,6.0
2026-09-06T13:00,3,8.0,107.0,,8.0
2026-09-06T14:00,3,7.0,126.0,,9.0
2026-09-06T15:00,3,7.0,130.0,113.5,9.0
2026-09-06T16:00,3,14.0,128.0,116.4,9.0
2026-09-06T17:00,4,9.0,135.0,119.5,9.0
2026-09-06T18:00,3,12.0,123.0,120.0,10.0
2026-09-06T19:00,3,15.0,103.0,117.9,12.0
2026-09-06T20:00,2,18.0,93.0,115.1,15.0
2026-09-06T21:00,2,21.0,90.0,115.0,15.0
2026-09-06T22:00,2,25.0,78.0,111.8,14.0
2026-09-06T23:00,2,23.0,72.0,105.8,15.0
2026-09-07T00:00,2,8.0,64.0,98.4,15.0
2026-09-07T01:00,2,12.0,78.0,92.9,27.0
2026-09-07T02:00,2,12.0,75.0,86.2,16.0
2026-09-07T03:00,2,10.0,73.0,80.7,16.0
2026-09-07T04:00,2,10.0,68.0,76.8,15.0
2026-09-07T05:00,2,12.0,68.0,74.0,15.0
2026-09-07T06:00,2,17.0,65.0,71.2,16.0
2026-09-07T07:00,2,17.0,60.0,69.2,15.0
2026-09-07T08:00,2,24.0,54.0,67.2,16.0
2026-09-07T09:00,2,16.0,70.0,67.9,16.0
2026-09-07T10:00,2,9.0,92.0,69.4,17.0
2026-09-07T11:00,3,7.0,105.0,72.8,19.0
2026-09-07T12:00,3,10.0,118.0,77.8,19.0
2026-09-07T13:00,3,9.0,124.0,84.0,19.0
2026-09-07T14:00,3,10.0,125.0,90.3,17.0
2026-09-07T15:00,3,9.0,130.0,97.6,16.0
2026-09-07T16:00,4,12.0,135.0,105.9,17.0
2026-09-07T17:00,4,17.0,140.0,115.4,17.0
2026-09-07T18:00,3,18.0,127.0,121.8,19.0
2026-09-07T19:00,3,15.0,120.0,124.9,19.0
2026-09-07T20:00,3,15.0,114.0,125.9,21.0
2026-09-07T21:00,2,6.0,91.0,122.9,20.0
2026-09-07T22:00,2,6.0,81.0,118.1,17.0
2026-09-07T23:00,2,6.0,79.0,113.0,16.0
2026-09-08T00:00,2,14.0,78.0,107.2,24.0
2026-09-08T01:00,2,7.0,58.0,98.7,15.0
2026-09-08T02:00,2,6.0,53.0,89.0,15.0
2026-09-08T03:00,1,7.0,47.0,80.1,15.0
2026-09-08T04:00,1,7.0,43.0,71.6,15.0
2026-09-08T05:00,1,9.0,38.0,63.1,15.0
2026-09-08T06:00,1,12.0,33.0,56.7,15.0
2026-09-08T07:00,1,17.0,30.0,51.0,15.0
2026-09-08T08:00,1,20.0,28.0,45.3,14.0
2026-09-08T09:00,1,12.0,40.0,41.1,14.0
2026-09-08T10:00,2,10.0,55.0,40.8,14.0
2026-09-08T11:00,2,8.0,73.0,43.0,16.0
2026-09-08T12:00,2,9.0,87.0,47.4,17.0
2026-09-08T13:00,3,8.0,111.0,55.0,18.0
2026-09-08T14:00,3,,130.0,65.2,19.0
2026-09-08T15:00,3,,101.0,72.8,19.0
