datetime,CDD,DVENTO,ET0,GDD,HDD,LIVNEVE,PREC,PREC24,PREC48,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOMAX,VWND
2026-08-31T03:50,,213.0,,,,0.6,0.0,0.0,0.0,7.6,7.9,8.6,95.5,0.38,0.05,0.7,1.9,0.59
2026-08-31T04:00,,161.0,,,,0.6,0.0,0.0,0.0,7.2,8.1,8.1,99.8,-0.2,0.002,0.6,1.7,0.57
2026-08-31T04:10,,332.0,,,,0.7,0.0,0.0,0.0,6.8,7.1,8.3,91.9,0.56,0.089,1.2,2.6,-1.06
2026-08-31T04:20,,58.0,,,,0.8,0.0,0.0,0.0,7.1,4.8,9.3,73.6,-1.27,0.309,1.5,2.9,-0.79
2026-08-31T04:30,,285.0,,,,0.9,0.0,0.0,0.0,7.8,4.3,9.8,68.6,0.97,0.38,1.0,3.5,-0.26
2026-08-31T04:40,,273.0,,,,1.0,0.0,0.0,0.0,7.8,4.5,9.8,69.7,1.1,0.367,1.1,2.7,-0.06
2026-08-31T04:50,,270.0,,,,1.1,0.0,0.0,0.0,6.9,4.7,9.8,70.8,2.4,0.354,2.4,3.4,0.0
2026-08-31T05:00,,295.0,,,,1.1,0.0,0.0,0.0,6.6,4.8,9.6,72.0,2.36,0.335,2.6,3.6,-1.1
2026-08-31T05:10,,288.0,,,,1.0,0.0,0.0,0.0,7.2,4.9,9.7,71.8,1.81,0.339,1.9,2.8,-0.59
2026-08-31T05:20,,287.0,,,,1.0,0.0,0.0,0.0,6.8,4.9,9.6,72.6,2.2,0.328,2.3,3.2,-0.67
2026-08-31T05:30,,275.0,,,,0.8,0.0,0.0,0.0,7.0,4.6,9.6,71.1,1.99,0.345,2.0,3.4,-0.17
2026-08-31T05:40,,263.0,,,,0.9,0.0,0.0,0.0,6.9,4.3,9.7,69.3,2.18,0.369,2.2,3.6,0.27
2026-08-31T05:50,,268.0,,,,1.0,0.0,0.0,0.0,7.2,4.2,9.7,68.7,1.8,0.377,1.8,3.5,0.06
2026-08-31T06:00,,272.0,,,,1.0,0.0,0.0,0.0,7.6,4.5,9.5,70.8,1.0,0.347,1.0,1.8,-0.03
2026-08-31T06:10,,245.0,,,,0.8,0.0,0.0,0.0,6.9,4.3,9.5,70.2,1.72,0.354,1.9,3.5,0.8
2026-08-31T06:20,,240.0,,,,0.9,0.0,0.0,0.0,7.0,4.5,9.6,70.3,1.73,0.355,2.0,2.9,1.0
2026-08-31T06:30,,298.0,,,,0.8,0.0,0.0,0.0,7.3,4.7,9.3,73.2,1.06,0.314,1.2,2.3,-0.56
2026-08-31T06:40,,305.0,,,,0.7,0.0,0.0,0.0,6.9,6.9,8.2,91.5,0.66,0.092,0.8,1.9,-0.46
2026-08-31T06:50,,260.0,,,,0.7,0.0,0.0,0.0,6.9,6.9,7.7,94.9,0.1,0.054,0.1,0.9,0.02
2026-08-31T07:00,,278.0,,,,0.7,0.0,0.0,0.0,6.5,5.7,8.0,85.5,0.69,0.156,0.7,1.6,-0.1
2026-08-31T07:10,,74.0,,,,0.8,0.0,0.0,0.0,7.3,6.3,8.3,87.1,-0.19,0.141,0.2,1.0,-0.06
2026-08-31T07:20,,349.0,,,,0.8,0.0,0.0,0.0,7.2,6.1,8.1,87.5,0.0,0.135,0.0,0.4,-0.0
2026-08-31T07:30,,345.0,,,,0.9,0.0,0.0,0.0,7.6,6.0,8.7,83.4,0.08,0.187,0.3,1.8,-0.29
2026-08-31T07:40,,162.0,,,,1.0,0.0,0.0,0.0,8.4,7.1,9.4,85.3,-0.12,0.173,0.4,1.1,0.38
2026-08-31T08:00,,135.0,,,,1.2,0.0,0.0,0.0,7.9,7.7,9.1,91.1,-0.71,0.103,1.0,1.8,0.71
2026-08-31T08:20,,140.0,,,,1.6,0.0,0.0,0.0,8.1,7.5,9.2,89.2,-0.45,0.126,0.7,1.2,0.54
2026-08-31T08:30,,133.0,,,,1.5,0.0,0.0,0.0,8.3,7.9,9.4,90.6,-0.66,0.111,0.9,1.6,0.61
2026-08-31T08:50,,173.0,,,,1.8,0.0,0.0,0.0,8.2,8.0,9.3,91.5,-0.11,0.1,0.9,1.8,0.89
