datetime,LIVIDRO,TEMPACQUA
2026-09-19T22:00,782.7,5.5
2026-09-19T23:00,783.0,5.5
2026-09-20T00:00,783.0,5.5
2026-09-20T01:00,782.9,5.5
2026-09-20T02:00,783.1,5.5
2026-09-20T03:00,783.1,5.5
2026-09-20T04:00,783.3,5.5
2026-09-20T05:00,783.2,5.4
2026-09-20T06:00,783.2,5.4
2026-09-20T07:00,783.3,5.4
2026-09-20T08:00,783.2,5.5
2026-09-20T09:00,783.3,5.8
2026-09-20T10:00,783.3,6.1
2026-09-20T11:00,783.3,6.3
2026-09-20T12:00,783.4,6.5
2026-09-20T13:00,783.5,6.6
2026-09-20T14:00,783.3,6.6
2026-09-20T15:00,783.4,6.4
2026-09-20T16:00,783.3,6.3
2026-09-20T17:00,783.4,6.1
2026-09-20T18:00,783.3,6.0
2026-09-20T19:00,783.3,5.9
2026-09-20T20:00,783.2,5.8
2026-09-20T21:00,783.2,5.8
2026-09-20T22:00,783.1,5.7
2026-09-20T23:00,783.1,5.7
2026-09-21T00:00,782.9,5.7
2026-09-21T01:00,782.9,5.7
2026-09-23T13:00,774.4,6.5
2026-09-24T01:00,771.9,5.8
2026-09-24T13:00,769.0,6.6
2026-09-25T01:00,766.0,5.8
2026-09-25T13:00,762.9,6.8
2026-09-26T01:00,759.6,5.9
2026-09-26T13:00,756.3,6.9
