datetime,FREATICA,TEMPACQUA
2026-09-19T22:00,21.94,10.7
2026-09-19T23:00,21.94,10.7
2026-09-20T00:00,21.94,10.7
2026-09-20T01:00,21.93,10.7
2026-09-20T02:00,21.93,10.7
2026-09-20T03:00,21.93,10.7
2026-09-20T04:00,21.93,10.7
2026-09-20T05:00,21.93,10.7
2026-09-20T06:00,21.93,10.7
2026-09-20T07:00,21.95,10.7
2026-09-20T08:00,21.95,10.7
2026-09-20T09:00,21.96,10.7
2026-09-20T10:00,21.96,10.7
2026-09-20T11:00,21.96,10.7
2026-09-20T12:00,21.96,10.7
2026-09-20T13:00,21.96,10.7
2026-09-20T14:00,21.96,10.7
2026-09-20T15:00,21.96,10.7
2026-09-20T16:00,21.96,10.7
2026-09-20T17:00,21.97,10.7
2026-09-20T18:00,21.97,10.7
2026-09-20T19:00,21.98,10.7
2026-09-20T20:00,21.98,10.7
2026-09-20T21:00,21.98,10.7
2026-09-20T22:00,21.98,10.7
2026-09-20T23:00,21.98,10.7
2026-09-21T00:00,21.97,10.7
2026-09-21T01:00,21.96,10.7
2026-09-21T02:00,21.96,10.7
2026-09-21T03:00,21.96,10.7
2026-09-21T04:00,21.96,10.7
2026-09-21T05:00,21.97,10.7
2026-09-21T06:00,21.98,10.7
2026-09-21T07:00,21.99,10.7
2026-09-21T08:00,21.99,10.7
2026-09-21T09:00,22.0,10.7
2026-09-21T10:00,22.0,10.7
2026-09-21T11:00,22.0,10.7
2026-09-21T12:00,22.0,10.7
2026-09-21T13:00,22.0,10.7
2026-09-21T14:00,22.0,10.7
2026-09-21T15:00,22.0,10.7
2026-09-21T16:00,22.0,10.7
2026-09-21T17:00,22.01,10.7
2026-09-21T18:00,22.01,10.7
2026-09-21T19:00,22.01,10.7
2026-09-21T20:00,22.02,10.7
2026-09-21T21:00,22.02,10.7
2026-09-21T22:00,22.02,10.7
2026-09-21T23:00,22.01,10.7
2026-09-22T00:00,22.0,10.7
2026-09-22T01:00,22.0,10.7
2026-09-23T01:00,22.04,10.7
2026-09-24T01:00,22.08,10.7
2026-09-25T01:00,22.12,10.7
2026-09-26T01:00,22.17,10.7
