datetime,CDD,DVENTO,ET0,GDD,HDD,PREC,PREC24,PREC48,PRESS,PSLM,QSPEC,RADSOL,SOLEGG,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOMAX,VWND
2026-08-31T03:50,,213.5,,,,0.0,0.0,0.0,1014.4,1203.7,8.66,0.0,0.0,14.9,12.0,15.6,79.4,1.05,0.365,1.9,2.7,1.58
2026-08-31T04:00,,191.0,,,,0.0,0.0,0.0,1014.4,1203.9,8.59,0.0,0.0,14.9,11.9,15.4,79.8,0.29,0.353,1.5,2.1,1.47
2026-08-31T04:10,,164.6,,,,0.0,0.0,0.0,1014.4,1204.0,8.52,0.0,0.0,14.9,11.8,15.3,79.7,-0.37,0.353,1.4,1.9,1.35
2026-08-31T04:20,,120.8,,,,0.0,0.0,0.0,1014.3,1203.8,8.55,0.0,0.0,15.3,11.9,15.4,79.4,-0.86,0.36,1.0,1.4,0.51
2026-08-31T04:30,,121.9,,,,0.0,0.0,0.0,1014.3,1203.7,8.54,0.0,0.0,15.4,11.8,15.5,78.8,-0.76,0.373,0.9,1.2,0.48
2026-08-31T04:40,,189.3,,,,0.0,0.0,0.0,1014.4,1203.9,8.57,0.0,0.0,15.7,11.9,15.4,79.6,0.06,0.357,0.4,1.8,0.39
2026-08-31T04:50,,246.0,,,,0.0,0.0,0.0,1014.2,1203.4,8.58,0.0,0.0,15.8,11.9,15.7,78.2,0.64,0.389,0.7,1.0,0.28
2026-08-31T05:00,,227.8,,,,0.0,0.0,0.0,1014.1,1203.3,8.54,0.0,0.0,15.8,11.8,15.7,77.8,0.52,0.396,0.7,1.0,0.47
2026-08-31T05:10,,204.8,,,,0.0,0.0,0.0,1014.0,1203.2,8.56,0.0,0.0,15.9,11.9,15.7,78.0,0.25,0.392,0.6,0.8,0.54
2026-08-31T05:20,,197.5,,,,0.0,0.0,0.0,1014.0,1203.2,8.56,0.0,0.0,15.7,11.9,15.7,78.0,0.24,0.392,0.8,1.1,0.76
2026-08-31T05:30,,242.1,,,,0.0,0.0,0.0,1014.0,1203.2,8.58,0.0,0.0,15.5,11.9,15.7,78.2,0.97,0.389,1.1,1.4,0.51
2026-08-31T05:40,,221.9,,,,0.0,0.0,0.0,1014.1,1203.5,8.56,0.0,0.0,15.1,11.9,15.4,79.5,0.8,0.359,1.2,1.7,0.89
2026-08-31T05:50,,227.6,,,,0.0,0.0,0.0,1014.1,1203.5,8.55,0.0,0.0,15.4,11.9,15.5,78.9,0.74,0.372,1.0,1.5,0.67
2026-08-31T06:00,,273.0,,,,0.0,0.0,0.0,1014.3,1203.9,8.56,0.0,0.0,14.8,11.9,15.2,80.6,1.4,0.335,1.4,2.2,-0.07
2026-08-31T06:10,,279.7,,,,0.0,0.0,0.0,1014.6,1204.5,8.64,0.0,0.0,14.6,12.0,14.8,83.5,1.18,0.278,1.2,2.0,-0.2
2026-08-31T06:20,,323.5,,,,0.0,0.0,0.0,1014.8,1204.9,8.68,0.0,0.0,14.2,12.1,14.6,84.9,0.89,0.251,1.5,1.9,-1.21
2026-08-31T06:30,,338.0,,,,0.0,0.0,0.0,1014.7,1204.8,8.66,0.0,0.0,14.2,12.1,14.6,84.7,0.56,0.254,1.5,1.8,-1.39
2026-08-31T06:40,,2.9,,,,0.0,0.0,0.0,1014.8,1205.0,8.61,2.0,0.0,14.2,12.0,14.5,84.8,-0.07,0.251,1.3,1.5,-1.3
2026-08-31T06:50,,73.4,,,,0.0,0.0,0.0,1015.0,1205.6,8.59,7.2,0.0,13.1,11.9,14.0,87.4,-2.11,0.201,2.2,2.7,-0.63
2026-08-31T07:00,,104.9,,,,0.0,0.0,0.0,1015.1,1205.8,8.61,13.8,0.0,12.9,12.0,13.9,88.2,-2.22,0.187,2.3,2.7,0.59
