datetime,LIVIDRO,TEMPACQUA
2026-08-06T22:00,70.0,15.4
2026-08-06T23:00,71.0,15.6
2026-08-07T00:00,71.9,15.7
2026-08-07T01:00,72.2,15.0
2026-08-07T02:00,72.4,14.5
2026-08-07T03:00,72.4,14.5
2026-08-07T04:00,72.5,14.5
2026-08-07T05:00,72.5,14.6
2026-08-07T06:00,72.6,14.7
2026-08-07T07:00,72.5,14.7
2026-08-07T08:00,72.5,14.5
2026-08-07T09:00,72.5,14.3
2026-08-07T10:00,72.5,14.4
2026-08-07T11:00,72.4,14.5
2026-08-07T12:00,72.2,14.6
2026-08-07T13:00,72.2,14.7
2026-08-07T14:00,72.3,14.4
2026-08-07T15:00,72.1,14.3
2026-08-07T16:00,72.1,14.3
2026-08-07T17:00,72.1,14.4
2026-08-07T18:00,72.1,14.5
2026-08-07T19:00,72.0,14.6
2026-08-07T20:00,71.9,14.7
2026-08-07T21:00,71.8,14.8
2026-08-07T22:00,71.8,15.0
2026-08-07T23:00,71.6,15.2
2026-08-08T00:00,71.5,15.2
2026-08-08T01:00,71.4,14.9
2026-08-08T02:00,71.4,15.0
2026-08-08T03:00,71.4,15.0
2026-08-08T04:00,71.4,15.2
2026-08-08T05:00,71.3,15.3
2026-08-08T06:00,71.2,15.4
2026-08-08T07:00,71.1,15.4
2026-08-08T08:00,71.0,14.8
2026-08-08T09:00,70.7,14.9
2026-08-08T10:00,70.9,14.9
2026-08-08T11:00,70.8,14.9
2026-08-08T12:00,70.8,14.8
2026-08-08T13:00,70.6,14.8
2026-08-08T14:00,70.7,14.7
2026-08-08T15:00,70.6,14.5
2026-08-08T16:00,70.4,14.5
2026-08-08T17:00,70.4,14.5
2026-08-08T18:00,70.3,14.6
2026-08-08T19:00,70.4,14.8
2026-08-08T20:00,70.7,15.1
2026-08-08T21:00,70.5,15.4
2026-08-08T22:00,70.2,15.6
2026-08-08T23:00,70.2,15.7
2026-08-09T00:00,70.1,15.8
2026-08-09T01:00,70.1,15.8
2026-08-09T02:00,70.1,15.9
2026-08-09T03:00,69.9,15.5
2026-08-09T04:00,70.0,15.2
2026-08-09T05:00,69.8,15.1
2026-08-09T06:00,69.9,15.1
2026-08-09T07:00,69.7,15.1
2026-08-09T08:00,69.8,15.1
2026-08-09T09:00,69.8,15.1
2026-08-09T10:00,69.8,15.2
2026-08-09T11:00,69.7,15.1
2026-08-09T12:00,69.7,15.2
2026-08-09T13:00,69.6,15.1
2026-08-09T14:00,69.5,15.2
2026-08-09T15:00,69.4,15.2
2026-08-09T16:00,69.5,15.3
2026-08-09T17:00,69.4,15.2
2026-08-09T18:00,69.5,15.2
2026-08-09T19:00,69.4,15.2
2026-08-09T20:00,69.3,15.3
2026-08-09T21:00,69.3,15.5
2026-08-09T22:00,69.2,15.7
2026-08-09T23:00,69.6,15.8
2026-08-10T00:00,70.9,15.6
2026-08-10T01:00,71.2,15.5
2026-08-10T02:00,72.1,15.5
2026-08-10T03:00,72.3,15.6
2026-08-10T04:00,72.5,15.7
2026-08-10T05:00,72.6,15.4
2026-08-10T06:00,72.6,14.8
2026-08-10T07:00,72.7,14.4
2026-08-10T08:00,72.7,14.4
2026-08-10T09:00,72.6,14.6
2026-08-10T10:00,72.6,14.7
2026-08-10T11:00,72.5,14.8
2026-08-10T12:00,72.6,14.8
2026-08-10T13:00,72.5,14.8
2026-08-10T14:00,72.5,14.7
2026-08-10T15:00,72.4,14.8
2026-08-10T16:00,72.4,14.8
2026-08-10T17:00,72.3,14.8
2026-08-10T18:00,72.3,15.0
2026-08-10T19:00,72.3,15.0
2026-08-10T20:00,72.7,15.0
2026-08-10T21:00,73.2,15.1
2026-08-10T22:00,73.1,15.3
2026-08-10T23:00,73.2,15.2
2026-08-11T00:00,73.3,15.1
2026-08-11T01:00,73.4,15.0
2026-08-11T02:00,73.3,14.8
2026-08-11T03:00,73.2,14.8
2026-08-11T04:00,73.3,14.9
2026-08-11T05:00,73.3,15.1
2026-08-11T06:00,73.3,15.1
2026-08-11T07:00,73.2,15.1
2026-08-11T08:00,73.1,15.1
2026-08-11T09:00,73.1,15.0
2026-08-11T10:00,73.1,15.2
2026-08-11T11:00,73.1,15.2
2026-08-11T12:00,72.9,15.3
2026-08-11T13:00,72.9,15.3
2026-08-11T14:00,72.8,15.2
2026-08-11T15:00,72.8,15.1
2026-08-11T16:00,72.8,15.0
2026-08-11T17:00,72.7,15.1
2026-08-11T18:00,72.8,15.2
2026-08-11T19:00,72.6,15.4
2026-08-11T20:00,72.6,15.6
2026-08-11T21:00,72.5,15.8
2026-08-11T22:00,72.4,15.9
2026-08-11T23:00,72.4,16.1
2026-08-12T00:00,72.2,16.1
2026-08-12T01:00,72.1,15.5
2026-08-12T02:00,72.1,15.4
2026-08-12T03:00,72.0,15.2
2026-08-12T04:00,72.1,15.1
2026-08-12T05:00,71.9,15.1
2026-08-12T06:00,71.9,15.2
2026-08-12T07:00,71.8,15.3
2026-08-12T08:00,71.8,15.3
2026-08-12T09:00,71.8,15.3
2026-08-12T10:00,71.8,15.4
2026-08-12T11:00,71.7,15.5
2026-08-12T12:00,71.8,15.6
2026-08-12T13:00,71.7,15.6
2026-08-12T14:00,71.6,15.6
2026-08-12T15:00,71.6,15.4
2026-08-12T16:00,71.5,15.4
2026-08-12T17:00,71.4,15.3
2026-08-12T18:00,71.3,15.3
2026-08-12T19:00,71.2,15.4
2026-08-12T20:00,71.3,15.5
2026-08-12T21:00,71.1,15.6
2026-08-12T22:00,71.1,15.8
2026-08-12T23:00,71.1,16.0
2026-08-13T00:00,71.0,15.7
2026-08-13T01:00,71.0,15.6
2026-08-13T02:00,71.0,15.5
2026-08-13T03:00,70.8,15.5
2026-08-13T04:00,70.8,15.4
2026-08-13T05:00,70.8,15.4
2026-08-13T06:00,70.8,15.4
2026-08-13T07:00,70.7,15.4
2026-08-13T08:00,70.6,15.5
2026-08-13T09:00,70.5,15.5
2026-08-13T10:00,70.3,15.6
2026-08-13T11:00,70.1,15.7
2026-08-13T12:00,69.9,15.7
2026-08-13T13:00,69.7,15.7
2026-08-13T14:00,69.7,15.6
2026-08-13T15:00,69.4,15.6
2026-08-13T16:00,69.1,15.5
2026-08-13T17:00,69.1,15.6
2026-08-13T18:00,68.8,15.6
2026-08-13T19:00,68.8,15.8
2026-08-13T20:00,68.5,16.0
2026-08-13T21:00,68.4,16.3
2026-08-13T22:00,68.2,16.5
2026-08-13T23:00,68.2,16.7
2026-08-14T00:00,67.9,16.7
2026-08-14T01:00,67.8,16.1
2026-08-14T02:00,67.6,15.9
2026-08-14T03:00,67.4,15.8
2026-08-14T04:00,67.3,15.7
2026-08-14T05:00,67.1,15.7
2026-08-14T06:00,67.0,15.7
2026-08-14T07:00,67.0,15.7
2026-08-14T08:00,66.9,15.7
2026-08-14T09:00,66.7,15.8
2026-08-14T10:00,66.7,15.9
2026-08-14T11:00,66.6,15.9
2026-08-14T12:00,66.5,16.0
2026-08-14T13:00,66.3,15.9
2026-08-14T14:00,66.3,15.8
2026-08-14T15:00,66.2,15.7
2026-08-14T16:00,66.0,15.7
2026-08-14T17:00,65.9,15.7
2026-08-14T18:00,65.9,15.8
2026-08-14T19:00,65.8,15.8
2026-08-14T20:00,65.6,16.0
2026-08-14T21:00,65.5,16.2
2026-08-14T22:00,65.5,16.4
2026-08-14T23:00,65.4,16.2
2026-08-15T00:00,65.3,15.9
2026-08-15T01:00,65.4,15.9
2026-08-15T02:00,65.2,15.7
2026-08-15T03:00,64.9,15.8
2026-08-15T04:00,64.9,15.6
2026-08-15T05:00,64.8,15.7
2026-08-15T06:00,64.8,15.8
2026-08-15T07:00,64.8,15.9
2026-08-15T08:00,64.7,15.9
2026-08-15T09:00,64.7,16.0
2026-08-15T10:00,64.6,16.1
2026-08-15T11:00,64.6,16.1
2026-08-15T12:00,64.5,16.1
2026-08-15T13:00,64.5,16.0
2026-08-15T14:00,64.3,15.9
