datetime,CDD,ET0,GDD,HDD,TAPP,TDEW,TEMP,UMID,VPD,VVENTO
2026-08-31T04:30,,,,,23.0,19.8,20.1,98,0.047,1
2026-08-31T05:15,,,,,23.1,19.7,20.0,98,0.047,0.6
2026-08-31T06:00,,,,,23.9,19.8,20.5,96,0.096,0.3
2026-08-31T06:45,,,,,22.3,19.5,19.7,99,0.023,1.3
2026-08-31T07:30,,,,,24.3,20.6,20.8,99,0.025,0.7
2026-08-31T08:15,,,,,28.2,22.8,23.3,97,0.086,0.3
2026-08-31T09:00,,,,,27.5,21.6,24.1,86,0.42,1.6
2026-08-31T09:45,,,,,28.4,21.4,25.1,80,0.637,1.5
2026-08-31T11:15,,,,,32.3,21.9,28.6,67,1.292,1.3
2026-08-31T13:00,5.3,4.32,15.0,0.0,,,,,,
2026-08-31T15:15,,,,,31.7,21.3,30.2,59,1.76,4
2026-08-31T15:45,,,,,32.3,21.8,30.4,60,1.737,3.8
2026-08-31T16:00,,,,,32.2,22.3,30.4,62,1.65,4.4
2026-08-31T16:30,,,,,32.6,23.5,29.8,69,1.3,3.9
2026-08-31T17:15,,,,,31.6,23.3,29.3,70,1.223,4.4
2026-08-31T17:30,,,,,31.6,23.3,29.3,70,1.223,4.4
2026-08-31T18:00,,,,,31.6,23.3,29.3,70,1.223,4.4
2026-08-31T18:45,,,,,31.8,24.1,28.8,76,0.95,4.2
2026-08-31T19:30,,,,,30.2,23.3,28.2,75,0.956,4.9
2026-08-31T20:15,,,,,31.0,23.7,27.9,78,0.827,3.7
2026-08-31T21:30,,,,,31.1,23.6,27.6,79,0.775,3
2026-08-31T22:15,,,,,31.3,23.8,28.0,78,0.832,3.4
2026-08-31T23:45,,,,,30.8,21.9,26.9,74,0.922,1.1
2026-09-01T00:15,,,,,30.1,21.5,26.5,74,0.9,1.2
2026-09-01T01:30,,,,,29.7,21.1,26.1,74,0.879,0.9
2026-09-01T02:15,,,,,29.2,20.8,25.6,75,0.821,0.7
2026-09-01T03:00,,,,,28.8,20.5,25.2,75,0.801,0.4
2026-09-01T03:45,,,,,25.6,20.0,23.2,82,0.512,1.8
2026-09-01T04:30,,,,,27.1,21.3,23.4,88,0.345,0.9
2026-09-01T05:15,,,,,28.4,22.9,24.1,93,0.21,1.2
2026-09-01T06:00,,,,,28.6,22.9,25.2,87,0.417,2.6
2026-09-01T06:45,,,,,29.3,22.5,25.4,84,0.519,1.5
2026-09-01T08:00,,,,,31.1,24.8,27.0,88,0.428,3.2
2026-09-01T08:45,,,,,31.6,24.6,27.6,84,0.591,3.1
2026-09-01T09:30,,,,,31.0,23.5,28.1,76,0.912,3.7
2026-09-01T10:15,,,,,29.3,21.6,28.1,68,1.217,4.7
2026-09-01T11:00,,,,,31.0,22.9,28.2,73,1.033,3.4
