datetime,TEMP,UMID
2026-09-17T17:15,22.6,77
2026-09-17T18:00,22.9,77
2026-09-17T18:45,22.1,80
2026-09-17T19:30,21.2,84
2026-09-17T20:15,20.5,87
2026-09-17T21:00,19.6,89
2026-09-17T21:45,19.2,90
2026-09-17T22:30,19.3,90
2026-09-17T23:15,19.7,89
2026-09-18T00:00,19.7,89
2026-09-18T01:30,20.1,88
2026-09-18T02:15,19.6,90
2026-09-18T03:00,19.2,89
2026-09-18T03:45,18.7,88
2026-09-18T04:30,18.4,85
2026-09-18T05:15,17.7,84
2026-09-18T06:00,17.5,86
2026-09-18T06:45,17.7,86
2026-09-18T07:30,17.5,87
2026-09-18T08:15,17.9,88
2026-09-18T09:00,19.1,85
2026-09-18T09:45,20.2,81
2026-09-18T10:30,22.0,75
2026-09-18T11:15,23.3,72
2026-09-18T12:00,24.3,72
2026-09-18T12:45,25.7,66
2026-09-18T13:30,25.9,66
2026-09-18T14:15,26.3,65
2026-09-18T15:00,25.7,66
2026-09-18T15:45,23.3,70
2026-09-18T16:30,23.9,71
2026-09-18T17:15,22.8,80
2026-09-18T18:00,21.3,90
2026-09-18T19:15,20.5,93
2026-09-18T20:00,20.0,92
2026-09-18T20:30,19.8,93
2026-09-18T21:15,19.6,94
2026-09-19T00:00,17.9,97
2026-09-19T02:30,18.6,98
2026-09-19T04:00,17.4,97
2026-09-19T05:30,16.8,98
2026-09-19T07:45,17.1,98
2026-09-19T10:00,21.1,97
2026-09-19T10:45,23.0,87
2026-09-19T11:30,23.5,83
2026-09-19T12:15,24.7,78
2026-09-19T13:00,23.5,81
2026-09-19T13:45,26.1,70
2026-09-19T14:30,26.2,65
2026-09-19T15:15,26.7,62
2026-09-19T16:00,26.3,65
2026-09-19T16:45,26.4,64
2026-09-19T17:30,26.8,63
2026-09-19T18:15,26.2,68
2026-09-19T18:45,25.4,71
2026-09-19T19:45,22.6,80
2026-09-19T20:15,21.5,83
