datetime,BAGNATURA,CDD,CLOUDINESS,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,RADSOL,TDEW,TEMP,UMID,VPD
2026-08-29T23:00,0,,0,,,0.0,0.0,0.0,0,0,14.9,23.4,59,1.18
2026-08-30T01:00,0,,0,,,0.0,0.0,0.0,0,0,14.3,23.3,57,1.23
2026-08-30T03:00,0,,0,,,0.0,0.0,0.0,0,0,14.3,23.3,57,1.23
2026-08-30T04:00,0,,0,,,0.0,0.0,0.0,0,0,14.4,22.0,62,1.005
2026-08-30T05:00,0,,0,,,0.0,0.0,0.0,0,0,14.3,22.2,61,1.044
2026-08-30T06:00,0,,0,,,0.0,0.0,0.0,0,0,14.3,22.2,61,1.044
2026-08-30T07:00,0,,0,,,0.0,0.0,0.0,0,17,14.8,21.7,65,0.909
2026-08-30T08:00,0,,5,,,0.0,0.0,0.0,0,87,15.6,21.5,69,0.795
2026-08-30T09:00,0,,5,,,0.0,0.0,0.0,0,150,16.7,23.9,64,1.068
2026-08-30T10:00,0,,5,,,0.0,0.0,0.0,0,197,17.6,26.8,57,1.515
2026-08-30T11:00,0,,3,,,0.0,0.0,0.0,0,1021,19.7,28.5,59,1.595
2026-08-30T12:00,0,,2,,,0.0,0.0,0.0,0,2021,17.0,30.2,45,2.361
2026-08-30T13:00,0,6.0,1,17.3,0.0,0.0,0.0,0.0,0,2810,13.7,31.5,34,3.051
2026-08-30T14:00,0,,1,,,0.0,0.0,0.0,0,2870,15.3,32.3,36,3.095
2026-08-30T15:00,0,,1,,,0.0,0.0,0.0,0,2692,13.5,32.9,31,3.451
2026-08-30T16:00,0,,1,,,0.0,0.0,0.0,0,2336,14.7,33.1,33,3.389
2026-08-30T17:00,0,,1,,,0.0,0.0,0.0,0,1779,13.7,33.1,31,3.49
2026-08-30T18:00,0,,1,,,0.0,0.0,0.0,0,1183,13.0,32.9,30,3.501
2026-08-30T19:00,0,,2,,,0.0,0.0,0.0,0,480,17.1,29.2,48,2.107
2026-08-30T20:00,0,,0,,,0.0,0.0,0.0,0,61,16.1,27.1,51,1.757
2026-08-30T21:00,0,,0,,,0.0,0.0,0.0,0,0,15.6,25.9,53,1.571
2026-08-30T22:00,0,,0,,,0.0,0.0,0.0,0,0,17.7,25.3,63,1.193
2026-08-30T23:00,0,,0,,,0.0,0.0,0.0,0,0,16.4,25.3,58,1.354
2026-08-31T01:00,0,,0,,,0.0,0.0,0.0,0,0,16.2,23.9,62,1.127
2026-08-31T03:00,0,,0,,,0.0,0.0,0.0,0,0,17.4,22.7,72,0.772
