datetime,BAGNATURA,CDD,CLOUDINESS,DVENTO,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,RADSOL,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VWND
2026-09-19T22:00,0,,0,11,,,0.0,0.0,0.0,0,0,17.7,17.9,19.8,89,-1.34,0.254,7,-6.87
2026-09-19T23:00,0,,0,31,,,0.0,0.0,0.0,0,0,17.7,17.6,19.3,90,-3.09,0.224,6,-5.14
2026-09-20T01:00,0,,0,16,,,0.0,0.0,0.0,0,0,18.0,16.6,17.9,92,-0.83,0.164,3,-2.88
2026-09-20T03:00,0,,0,349,,,0.0,0.0,0.0,0,0,17.6,15.1,20.1,73,1.14,0.635,6,-5.89
2026-09-20T04:00,0,,0,2,,,0.0,0.0,0.0,0,0,18.1,15.4,19.1,79,-0.14,0.464,4,-4.0
2026-09-20T05:00,0,,0,253,,,0.0,0.0,0.0,0,0,16.7,15.5,16.3,95,1.91,0.093,2,0.58
2026-09-20T06:00,0,,0,288,,,0.0,0.0,0.0,0,0,16.9,15.1,17.3,87,2.85,0.257,3,-0.93
2026-09-20T07:00,0,,0,229,,,0.0,0.0,0.0,0,0,14.2,14.9,15.4,97,3.02,0.052,4,2.62
2026-09-20T08:00,0,,0,206,,,0.0,0.0,0.0,0,232,14.2,15.9,16.4,97,2.63,0.056,6,5.39
2026-09-20T09:00,0,,2,287,,,0.0,0.0,0.0,0,785,20.0,17.9,20.1,87,3.83,0.306,4,-1.17
2026-09-20T10:00,0,,1,296,,,0.0,0.0,0.0,0,1489,22.1,17.4,22.3,74,3.6,0.7,4,-1.75
2026-09-20T11:00,0,,1,218,,,0.0,0.0,0.0,0,1958,22.4,16.6,24.4,62,3.69,1.161,6,4.73
2026-09-20T12:00,0,,1,244,,,0.0,0.0,0.0,0,2360,25.3,18.2,26.6,60,5.39,1.393,6,2.63
2026-09-20T13:00,0,1.1,1,261,11.9,0.0,0.0,0.0,0.0,0,2398,21.5,16.8,26.9,54,10.86,1.63,11,1.72
2026-09-20T14:00,0,,1,253,,,0.0,0.0,0.0,0,2596,24.2,16.5,26.9,53,6.69,1.666,7,2.05
2026-09-20T15:00,0,,1,234,,,0.0,0.0,0.0,0,2326,23.7,16.0,28.0,48,7.28,1.966,9,5.29
2026-09-20T16:00,0,,1,275,,,0.0,0.0,0.0,0,1908,25.2,16.9,27.7,52,6.97,1.783,7,-0.61
2026-09-20T17:00,0,,1,240,,,0.0,0.0,0.0,0,1393,25.7,16.7,28.4,49,6.06,1.973,7,3.5
2026-09-20T18:00,0,,2,228,,,0.0,0.0,0.0,0,563,24.0,16.9,25.2,60,3.72,1.282,5,3.35
2026-09-20T19:00,0,,2,256,,,0.0,0.0,0.0,0,182,25.2,17.4,24.7,64,2.91,1.12,3,0.73
2026-09-20T20:00,0,,0,246,,,0.0,0.0,0.0,0,0,23.1,15.1,22.2,64,0.91,0.963,1,0.41
2026-09-20T21:00,0,,0,236,,,0.0,0.0,0.0,0,0,22.7,16.3,22.0,70,1.66,0.793,2,1.12
2026-09-20T22:00,0,,0,184,,,0.0,0.0,0.0,0,0,20.1,17.8,20.2,86,0.28,0.331,4,3.99
2026-09-20T23:00,0,,0,243,,,0.0,0.0,0.0,0,0,17.7,13.5,18.7,72,2.67,0.604,3,1.36
2026-09-21T01:00,0,,0,306,,,0.0,0.0,0.0,0,0,18.8,17.0,17.8,95,1.62,0.102,2,-1.18
2026-09-21T03:00,0,,0,246,,,0.0,0.0,0.0,0,0,19.7,16.6,19.6,83,2.74,0.388,3,1.22
2026-09-21T04:00,0,,0,246,,,0.0,0.0,0.0,0,0,20.0,16.8,21.2,76,4.57,0.604,5,2.03
2026-09-21T05:00,9,,0,231,,,0.0,0.0,0.0,0,0,15.3,16.7,17.3,96,4.66,0.079,6,3.78
2026-09-21T06:00,18,,0,85,,,0.0,0.0,0.0,0,0,17.9,16.2,18.0,89,-2.99,0.227,3,-0.26
2026-09-21T07:00,0,,0,281,,,0.0,0.0,0.0,0,0,16.1,15.7,16.3,96,2.94,0.074,3,-0.57
2026-09-21T08:00,0,,0,308,,,0.0,0.0,0.0,0,94,17.7,16.6,16.9,98,1.58,0.039,2,-1.23
2026-09-21T09:00,0,,3,1,,,0.0,0.0,0.0,0,430,20.6,16.9,20.3,81,-0.05,0.453,3,-3.0
2026-09-21T10:00,0,,3,95,,,0.0,0.0,0.0,0,684,21.6,17.8,21.0,82,-2.99,0.448,3,0.26
2026-09-21T11:00,0,,3,2,,,0.0,0.0,0.0,0,1102,24.6,18.1,23.9,70,-0.1,0.89,3,-3.0
2026-09-21T12:00,0,,2,80,,,0.0,0.0,0.0,0,1885,22.0,19.3,24.9,71,-8.86,0.913,9,-1.56
2026-09-21T13:00,0,0.6,2,67,12.0,0.0,0.0,0.0,0.0,0,1802,24.6,18.7,25.0,68,-4.6,1.014,5,-1.95
2026-09-21T14:00,0,,2,57,,,0.0,0.0,0.0,0,1611,24.1,18.3,25.4,65,-5.03,1.135,6,-3.27
2026-09-21T15:00,0,,3,37,,,0.0,0.0,0.0,0,1307,22.9,16.1,25.8,55,-4.21,1.495,7,-5.59
2026-09-21T16:00,0,,2,93,,,0.0,0.0,0.0,0,1411,25.8,16.8,26.3,56,-3.99,1.505,4,0.21
2026-09-21T17:00,0,,1,98,,,0.0,0.0,0.0,0,1411,26.6,18.9,27.6,59,-5.94,1.514,6,0.84
2026-09-21T21:00,0,,0,75,,,0.0,0.0,0.0,0,0,19.0,19.3,21.9,85,-8.69,0.394,9,-2.33
2026-09-21T22:00,0,,0,62,,,0.0,0.0,0.0,0,0,16.7,18.1,20.9,84,-8.83,0.395,10,-4.69
2026-09-21T23:00,0,,0,83,,,0.0,0.0,0.0,0,0,17.1,13.4,20.2,65,-5.96,0.829,6,-0.73
2026-09-22T01:00,0,,0,46,,,0.0,0.0,0.0,0,0,13.7,16.7,20.5,79,-9.35,0.506,13,-9.03
2026-09-22T03:00,0,,0,43,,,0.0,0.0,0.0,0,0,7.6,9.1,18.3,55,-10.23,0.946,15,-10.97
2026-09-22T04:00,0,,0,41,,,0.0,0.0,0.0,0,0,6.4,9.0,18.5,54,-11.15,0.98,17,-12.83
2026-09-22T05:00,0,,0,36,,,0.0,0.0,0.0,0,0,5.3,8.9,18.1,55,-10.58,0.935,18,-14.56
2026-09-22T06:00,0,,0,39,,,0.0,0.0,0.0,0,0,4.6,9.3,16.6,62,-10.7,0.718,17,-13.21
2026-09-22T07:00,0,,0,43,,,0.0,0.0,0.0,0,0,5.9,10.3,17.7,62,-11.59,0.77,17,-12.43
2026-09-22T08:00,0,,0,44,,,0.0,0.0,0.0,0,61,6.0,10.6,17.7,63,-11.81,0.749,17,-12.23
2026-09-22T09:00,0,,4,48,,,0.0,0.0,0.0,0,297,8.0,10.6,18.3,61,-11.15,0.82,15,-10.04
2026-09-22T10:00,0,,3,46,,,0.0,0.0,0.0,0,738,10.5,7.2,20.2,43,-9.35,1.349,13,-9.03
2026-09-22T11:00,0,,4,48,,,0.0,0.0,0.0,0,776,11.8,7.4,20.8,42,-8.92,1.425,12,-8.03
2026-09-22T12:00,0,,2,65,,,0.0,0.0,0.0,0,1807,14.4,13.0,21.9,57,-10.88,1.13,12,-5.07
2026-09-22T13:00,0,0.0,1,85,10.9,0.0,0.0,0.0,0.0,0,2234,15.5,8.0,22.3,40,-8.97,1.616,9,-0.78
2026-09-22T14:00,0,,1,127,,,0.0,0.0,0.0,0,2646,19.1,13.3,24.4,50,-7.19,1.528,9,5.42
2026-09-22T15:00,0,,1,145,,,0.0,0.0,0.0,0,2219,16.1,5.6,22.7,33,-4.59,1.848,8,6.55
2026-09-22T16:00,0,,2,76,,,0.0,0.0,0.0,0,1451,21.8,13.0,25.1,47,-5.82,1.689,6,-1.45
2026-09-22T17:00,0,,2,85,,,0.0,0.0,0.0,0,1181,19.2,9.9,24.8,39,-7.97,1.909,8,-0.7
2026-09-22T18:00,0,,1,91,,,0.0,0.0,0.0,0,841,14.6,8.5,20.5,46,-8.0,1.302,8,0.14
2026-09-22T19:00,0,,1,102,,,0.0,0.0,0.0,0,211,12.8,8.4,18.8,51,-7.83,1.063,8,1.66
2026-09-22T20:00,0,,0,96,,,0.0,0.0,0.0,0,0,12.4,7.2,18.7,47,-7.96,1.143,8,0.84
2026-09-22T21:00,0,,0,59,,,0.0,0.0,0.0,0,0,12.4,10.7,17.8,63,-6.86,0.754,8,-4.12
2026-09-22T22:00,0,,0,36,,,0.0,0.0,0.0,0,0,10.1,7.2,17.1,52,-5.29,0.936,9,-7.28
2026-09-22T23:00,0,,0,44,,,0.0,0.0,0.0,0,0,10.4,8.5,17.7,55,-6.95,0.911,10,-7.19
