datetime,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,TEMP,UWND,VVENTO,VVENTOSCAL,VWND
2026-09-19T22:00,,0,321,339,,,13.6,7.55,12,11,-9.33
2026-09-19T23:00,,0,15,332,,,13.7,-1.29,5,7,-4.83
2026-09-20T01:00,,0,326,322,,,13.1,11.18,20,19,-16.58
2026-09-20T03:00,,0,325,324,,,12.5,12.62,22,20,-18.02
2026-09-20T04:00,,0,335,327,,,12.6,8.45,20,21,-18.13
2026-09-20T05:00,,0,334,326,,,12.6,9.21,21,22,-18.87
2026-09-20T06:00,,0,328,318,,,12.8,14.31,27,27,-22.9
2026-09-20T07:00,,0,343,328,,,12.7,5.56,19,18,-18.17
2026-09-20T08:00,,0,132,326,,,14.2,-0.74,1,6,0.67
2026-09-20T09:00,,0,164,131,,,15.0,-0.83,3,3,2.88
2026-09-20T10:00,,0,159,178,,,15.3,-2.15,6,5,5.6
2026-09-20T11:00,,0,160,138,,,15.7,-2.74,8,6,7.52
2026-09-20T12:00,,0,170,163,,,16.4,-1.74,10,8,9.85
2026-09-20T13:00,0.0,0,175,163,4.7,3.1,16.2,-0.78,9,9,8.97
2026-09-20T14:00,,0,191,183,,,16.4,1.72,9,8,8.83
2026-09-20T15:00,,0,175,189,,,16.6,-0.61,7,8,6.97
2026-09-20T16:00,,0,180,173,,,16.8,-0.0,8,8,8.0
2026-09-20T17:00,,0,184,196,,,16.2,0.28,4,5,3.99
2026-09-20T18:00,,0,281,298,,,16.3,4.91,5,5,-0.95
2026-09-20T19:00,,0,319,306,,,15.5,7.87,12,12,-9.06
2026-09-20T20:00,,0,331,329,,,16.1,3.39,7,8,-6.12
2026-09-20T21:00,,0,338,328,,,15.2,1.12,3,6,-2.78
2026-09-20T22:00,,0,338,323,,,15.0,5.62,15,8,-13.91
2026-09-20T23:00,,0,337,340,,,15.2,3.52,9,14,-8.28
2026-09-21T01:00,,0,336,325,,,14.2,4.07,10,13,-9.14
2026-09-21T03:00,,0,350,331,,,14.8,1.91,11,11,-10.83
2026-09-21T04:00,,0,322,330,,,17.1,11.7,19,19,-14.97
2026-09-21T05:00,,0,339,339,,,16.4,8.24,23,22,-21.47
2026-09-21T06:00,,0,349,328,,,16.1,4.96,26,24,-25.52
