datetime,CDD,CLOUDINESS,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,TDEW,TEMP,UMID,VPD
2026-09-09T03:00,,0,,,0.0,0.0,0.0,0,13.8,16.1,86,0.256
2026-09-09T04:00,,0,,,0.0,0.0,0.0,0,13.4,15.4,88,0.21
2026-09-09T05:00,,0,,,0.0,0.0,0.0,0,13.8,16.0,87,0.236
2026-09-09T06:00,,0,,,2.8,2.8,2.8,1,10.1,14.3,76,0.391
2026-09-09T07:00,,0,,,4.0,6.8,6.8,1,10.3,13.7,80,0.314
2026-09-09T08:00,,0,,,0.0,6.8,6.8,0,7.5,17.5,52,0.96
2026-09-09T09:00,,0,,,0.6,7.4,7.4,1,10.9,13.6,84,0.249
2026-09-09T10:00,,0,,,3.0,10.4,10.4,1,11.4,13.3,88,0.183
2026-09-09T11:00,,0,,,5.2,15.6,15.6,1,11.6,11.9,98,0.028
2026-09-09T12:00,,0,,,3.2,18.8,18.8,1,11.7,12.2,97,0.043
2026-09-09T13:00,0.0,0,4.7,3.9,1.0,19.8,19.8,1,10.5,13.9,80,0.318
2026-09-09T14:00,,0,,,0.0,19.8,19.8,0,13.1,15.1,88,0.206
2026-09-09T15:00,,0,,,0.0,19.8,19.8,0,13.5,15.1,90,0.172
2026-09-09T16:00,,0,,,0.2,20.0,20.0,1,12.7,14.0,92,0.128
2026-09-09T17:00,,0,,,8.0,28.0,28.0,1,12.3,13.2,94,0.091
2026-09-09T18:00,,0,,,0.6,28.6,28.6,1,11.8,14.8,82,0.303
2026-09-09T19:00,,0,,,0.0,28.6,28.6,0,12.2,13.5,92,0.124
2026-09-09T20:00,,0,,,0.0,28.6,28.6,0,11.9,13.5,90,0.155
2026-09-09T21:00,,0,,,0.0,28.6,28.6,0,12.2,13.3,93,0.107
2026-09-09T22:00,,0,,,1.2,29.8,29.8,1,12.3,12.8,97,0.044
2026-09-09T23:00,,0,,,1.8,31.6,31.6,1,12.5,12.7,99,0.015
2026-09-10T01:00,,0,,,0.0,31.6,31.6,0,12.3,12.5,99,0.014
2026-09-10T03:00,,0,,,0.0,31.6,31.6,0,12.7,13.0,98,0.03
2026-09-10T04:00,,0,,,0.0,31.6,31.6,0,12.7,13.6,94,0.093
2026-09-10T05:00,,0,,,2.0,33.6,33.6,1,12.6,13.5,94,0.093
2026-09-10T06:00,,0,,,4.6,38.2,38.2,1,12.5,12.7,99,0.015
2026-09-10T07:00,,0,,,3.0,38.4,41.2,1,12.4,12.6,99,0.015
2026-09-10T08:00,,0,,,8.6,43.0,49.8,1,11.4,12.0,96,0.056
2026-09-10T09:00,,0,,,1.2,44.2,51.0,1,11.1,11.7,96,0.055
2026-09-10T10:00,,0,,,0.0,43.6,51.0,0,11.4,12.3,94,0.086
2026-09-10T11:00,,0,,,0.8,41.4,51.8,1,11.6,12.1,97,0.042
2026-09-10T12:00,,0,,,0.6,36.8,52.4,1,9.8,11.7,88,0.165
2026-09-10T13:00,0.0,0,2.2,6.0,3.4,37.0,55.8,1,10.4,10.9,97,0.039
2026-09-10T14:00,,0,,,5.2,41.2,61.0,1,10.3,11.2,94,0.08
2026-09-10T15:00,,0,,,0.8,42.0,61.8,1,11.0,12.1,93,0.099
2026-09-10T16:00,,0,,,0.0,42.0,61.8,0,11.9,12.1,99,0.014
2026-09-10T17:00,,0,,,1.6,43.4,63.4,1,11.4,11.9,97,0.042
2026-09-10T18:00,,0,,,6.0,41.4,69.4,1,11.1,11.4,98,0.027
2026-09-10T19:00,,0,,,9.2,50.0,78.6,1,10.8,11.3,97,0.04
2026-09-10T20:00,,0,,,2.0,52.0,80.6,1,10.5,11.3,95,0.067
2026-09-10T22:00,,0,,,0.2,52.2,80.8,1,10.4,11.0,96,0.053
2026-09-10T23:00,,0,,,0.2,51.2,81.0,1,10.1,10.9,95,0.065
2026-09-11T01:00,,0,,,3.0,52.4,84.0,1,10.0,10.3,98,0.025
2026-09-11T03:00,,0,,,0.4,52.8,84.4,1,10.0,10.6,96,0.051
2026-09-11T04:00,,0,,,0.0,52.8,84.4,0,9.7,10.5,95,0.063
2026-09-11T05:00,,0,,,0.0,52.8,84.4,0,9.0,10.4,91,0.114
2026-09-11T06:00,,0,,,0.0,50.8,84.4,0,9.0,9.8,95,0.061
2026-09-11T07:00,,0,,,0.0,46.2,81.6,0,9.0,9.9,94,0.073
2026-09-11T08:00,,0,,,0.0,43.2,77.6,0,9.4,10.8,91,0.117
2026-09-11T09:00,,0,,,0.0,34.6,77.6,0,10.3,12.4,87,0.187
2026-09-11T10:00,,0,,,0.0,33.4,77.0,0,10.2,12.0,89,0.154
2026-09-11T11:00,,0,,,0.0,33.4,74.0,0,11.1,12.2,93,0.099
2026-09-11T12:00,,0,,,0.0,32.6,68.8,0,10.9,13.2,86,0.212
2026-09-11T13:00,0.0,0,1.9,6.2,0.0,32.0,65.6,0,11.2,14.0,83,0.272
2026-09-11T14:00,,0,,,0.0,28.6,64.6,0,11.3,14.1,83,0.274
2026-09-11T15:00,,0,,,2.8,26.2,67.4,1,11.6,13.9,86,0.222
2026-09-11T16:00,,0,,,0.4,25.8,67.8,1,12.2,13.1,94,0.09
2026-09-11T17:00,,0,,,0.2,26.0,67.8,1,12.2,12.7,97,0.044
2026-09-11T18:00,,0,,,0.4,24.8,60.2,1,12.4,13.0,96,0.06
2026-09-11T19:00,,0,,,0.0,18.8,59.6,0,12.3,12.5,99,0.014
2026-09-11T20:00,,0,,,0.0,9.6,59.6,0,11.3,11.8,97,0.042
2026-09-11T21:00,,0,,,0.0,7.6,59.6,0,11.0,11.6,96,0.055
2026-09-11T22:00,,0,,,0.0,7.6,59.6,0,10.3,10.8,97,0.039
2026-09-11T23:00,,0,,,0.0,7.4,58.4,0,10.2,10.5,98,0.025
2026-09-12T01:00,,0,,,0.0,7.2,56.6,0,9.6,9.9,98,0.024
2026-09-12T03:00,,0,,,0.0,4.2,56.6,0,9.5,10.0,97,0.037
2026-09-12T04:00,,0,,,0.0,3.8,56.6,0,9.0,9.5,97,0.036
2026-09-12T05:00,,0,,,0.2,4.0,56.8,1,10.0,10.3,98,0.025
2026-09-12T06:00,,0,,,0.0,4.0,54.8,0,9.4,10.0,96,0.049
2026-09-12T07:00,,0,,,0.0,4.0,50.2,0,8.6,9.1,97,0.035
2026-09-12T08:00,,0,,,0.0,4.0,47.2,0,9.2,9.7,97,0.036
2026-09-12T09:00,,0,,,0.0,4.0,38.6,0,9.7,10.2,97,0.037
2026-09-12T10:00,,0,,,0.0,4.0,37.4,0,9.2,10.3,93,0.088
2026-09-12T11:00,,0,,,0.0,4.0,37.4,0,8.8,12.5,78,0.319
2026-09-12T12:00,,0,,,0.0,4.0,36.6,0,9.6,12.2,84,0.227
2026-09-12T13:00,0.0,0,1.2,6.8,0.0,4.0,36.0,0,10.7,13.0,86,0.21
2026-09-12T14:00,,0,,,0.0,4.0,32.6,0,10.6,13.4,83,0.261
