datetime,BAGNATURA,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,PRESS,QSPEC,RADSOL,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-08-31T04:00,0,,0,320,320,,,0.0,0.0,0.0,0,990.1,10.16,0,17.1,14.1,20.7,66,4.5,0.83,7,8,-5.36
2026-08-31T05:00,0,,0,335,333,,,0.0,0.0,0.0,0,990.1,10.19,0,16.9,14.2,20.5,67,2.96,0.796,7,8,-6.34
2026-08-31T06:00,0,,0,341,339,,,0.0,0.0,0.0,0,989.9,10.28,0,17.6,14.3,20.4,68,1.95,0.767,6,6,-5.67
2026-08-31T07:00,0,,0,62,353,,,0.0,0.0,0.0,0,989.9,10.34,36,21.2,14.4,20.5,68,-0.88,0.772,1,4,-0.47
2026-08-31T08:00,0,,2,301,6,,,0.0,0.0,0.0,0,990.4,10.97,380,21.8,15.3,22.2,65,2.57,0.937,3,5,-1.55
2026-08-31T09:00,0,,1,306,351,,,0.0,0.0,0.0,0,990.4,11.71,1044,25.3,16.3,24.6,60,1.62,1.237,2,3,-1.18
2026-08-31T10:00,0,,1,98,39,,,0.0,0.0,0.0,0,990.8,11.92,1668,26.4,16.6,27.0,53,-3.96,1.676,4,4,0.56
2026-08-31T11:00,0,,1,164,127,,,0.0,0.0,0.0,0,991.0,11.92,2195,28.1,16.6,28.0,50,-0.83,1.89,3,3,2.88
2026-08-31T12:00,0,,1,198,149,,,0.0,0.0,0.0,0,990.9,12.28,2574,28.8,17.1,28.5,50,0.93,1.946,3,4,2.85
2026-08-31T13:00,0,5.0,1,215,217,15.4,0.0,0.0,0.0,0.0,0,990.6,12.13,2788,26.4,16.9,29.0,48,4.02,2.083,7,7,5.73
2026-08-31T14:00,0,,1,184,187,,,0.0,0.0,0.0,0,990.2,11.72,2790,28.2,16.3,30.3,43,0.42,2.46,6,8,5.99
2026-08-31T15:00,0,,1,203,192,,,0.0,0.0,0.0,0,989.9,11.31,2609,25.7,15.8,30.1,42,3.52,2.475,9,5,8.28
2026-08-31T16:00,0,,1,230,203,,,0.0,0.0,0.0,0,989.7,11.51,2236,27.5,16.0,30.4,42,5.36,2.518,7,7,4.5
2026-08-31T17:00,0,,1,220,201,,,0.0,0.0,0.0,0,989.5,11.05,1677,28.4,15.4,30.1,41,3.21,2.518,5,5,3.83
