datetime,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-09-09T03:00,,0,150,83,,,0.0,0.0,0.0,0,11.2,12.1,12.6,97,-1.5,0.044,3,2,2.6
2026-09-09T04:00,,0,263,342,,,0.0,0.0,0.0,0,12.6,12.1,12.6,97,0.99,0.044,1,1,0.12
2026-09-09T05:00,,0,5,59,,,0.0,0.0,0.0,0,13.0,12.4,12.9,97,-0.09,0.045,1,1,-1.0
2026-09-09T06:00,,0,241,243,,,11.6,11.6,11.6,1,3.8,7.6,9.2,90,6.12,0.116,7,6,3.39
2026-09-09T07:00,,0,322,258,,,8.8,20.4,20.4,1,8.7,8.3,10.5,86,1.23,0.178,2,4,-1.58
2026-09-09T08:00,,0,333,239,,,0.2,20.6,20.6,1,9.4,8.1,10.5,85,0.45,0.19,1,3,-0.89
2026-09-09T09:00,,0,77,69,,,3.2,23.8,23.8,1,6.6,9.7,10.8,93,-5.85,0.091,6,4,-1.35
2026-09-09T10:00,,0,5,258,,,5.0,28.8,28.8,1,5.0,7.5,8.4,94,-0.35,0.066,4,5,-3.98
2026-09-09T11:00,,0,83,242,,,5.8,34.6,34.6,1,6.4,7.2,7.8,96,-0.99,0.042,1,3,-0.12
2026-09-09T12:00,,0,300,316,,,4.4,39.0,39.0,1,5.9,8.1,8.4,98,2.6,0.022,3,2,-1.5
2026-09-09T13:00,0.0,0,254,58,0.8,7.5,2.0,41.0,41.0,1,9.2,9.2,10.8,90,1.92,0.13,2,2,0.55
2026-09-09T14:00,,0,240,247,,,0.0,41.0,41.0,0,12.1,9.4,13.6,76,1.73,0.374,2,4,1.0
2026-09-09T15:00,,0,103,73,,,0.0,41.0,41.0,0,11.1,10.0,13.8,78,-3.9,0.347,4,4,0.9
2026-09-09T16:00,,0,54,357,,,0.0,41.0,41.0,0,8.1,8.4,10.6,86,-2.43,0.179,3,2,-1.76
2026-09-09T17:00,,0,50,124,,,4.2,45.2,45.2,1,8.6,8.8,9.6,95,-0.77,0.06,1,3,-0.64
2026-09-09T18:00,,0,73,8,,,1.6,46.8,46.8,1,8.0,9.6,10.2,96,-2.87,0.05,3,4,-0.88
2026-09-09T19:00,,0,71,102,,,0.2,47.0,47.0,1,9.4,9.6,10.1,97,-0.95,0.037,1,1,-0.33
2026-09-09T20:00,,0,101,65,,,0.0,47.0,47.0,0,8.2,8.7,9.2,97,-0.98,0.035,1,1,0.19
2026-09-09T21:00,,0,113,123,,,0.0,47.0,47.0,0,6.9,8.9,9.2,98,-2.76,0.023,3,3,1.17
2026-09-09T22:00,,0,176,91,,,1.0,48.0,48.0,1,8.1,9.3,9.6,98,-0.14,0.024,2,1,2.0
2026-09-09T23:00,,0,115,79,,,0.8,48.8,48.8,1,6.5,9.0,9.5,97,-3.63,0.036,4,3,1.69
2026-09-10T01:00,,0,75,50,,,0.4,49.2,49.2,1,7.1,9.1,9.4,98,-2.9,0.024,3,4,-0.78
2026-09-10T03:00,,0,297,106,,,3.2,52.4,52.4,1,7.9,9.2,9.5,98,1.78,0.024,2,5,-0.91
2026-09-10T04:00,,0,133,97,,,8.4,60.8,60.8,1,6.4,9.7,9.9,99,-3.66,0.012,5,4,3.41
2026-09-10T05:00,,0,26,207,,,0.6,61.4,61.4,1,8.4,9.7,9.8,99,-0.88,0.012,2,5,-1.8
2026-09-10T06:00,,0,229,146,,,4.2,65.6,65.6,1,8.8,9.6,9.6,100,0.75,0.0,1,2,0.66
2026-09-10T07:00,,0,192,89,,,8.6,62.6,74.2,1,7.8,9.9,9.9,100,0.62,0.0,3,2,2.93
2026-09-10T08:00,,0,78,245,,,5.2,59.0,79.4,1,4.4,7.4,7.8,97,-3.91,0.032,4,4,-0.83
2026-09-10T09:00,,0,143,102,,,0.6,59.4,80.0,1,6.5,8.0,9.1,93,-1.81,0.081,3,3,2.4
2026-09-10T10:00,,0,54,139,,,0.0,56.2,80.0,0,7.1,8.4,9.6,92,-2.43,0.096,3,2,-1.76
2026-09-10T11:00,,0,151,52,,,0.0,51.2,80.0,0,7.8,8.8,10.2,91,-1.45,0.112,3,2,2.62
2026-09-10T12:00,,0,83,110,,,0.2,45.6,80.2,1,5.4,7.9,8.7,95,-3.97,0.056,4,2,-0.49
2026-09-10T13:00,0.0,0,275,114,0.0,9.0,0.2,41.4,80.4,1,7.1,8.0,8.3,98,1.0,0.022,1,4,-0.09
2026-09-10T14:00,,0,55,103,,,0.6,40.0,81.0,1,7.5,8.5,8.6,99,-0.82,0.011,1,1,-0.57
