datetime,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,RADSOL,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-09-06T12:00,,2,67,51,,,,,,,2355,26.3,17.9,26.3,60,-3.68,1.369,4,4,-1.56
2026-09-06T13:00,3.3,2,48,22,12.6,0.0,,,,,2841,25.1,18.2,27.8,56,-5.95,1.644,8,8,-5.35
2026-09-06T14:00,,2,43,48,,,,,,,2674,24.3,17.3,27.4,54,-5.46,1.679,8,7,-5.85
2026-09-06T15:00,,2,41,55,,,,,,,2811,23.9,16.6,28.0,50,-5.9,1.89,9,9,-6.79
2026-09-06T16:00,,2,47,50,,,,,,,2431,22.7,15.8,27.8,48,-7.31,1.943,10,8,-6.82
2026-09-06T17:00,,2,42,58,,,,,,,1996,24.0,15.9,27.6,49,-5.35,1.883,8,9,-5.95
2026-09-06T18:00,,1,24,7,,,,,,,1343,26.1,15.7,27.0,50,-1.63,1.783,4,8,-3.65
2026-09-06T19:00,,1,284,266,,,,,,,494,25.3,16.7,23.7,65,0.97,1.026,1,3,-0.24
2026-09-06T20:00,,1,349,243,,,,,,,26,22.8,16.4,21.4,73,0.19,0.688,1,2,-0.98
2026-09-06T21:00,,1,44,238,,,,,,,0,21.4,16.1,19.4,81,-0.0,0.428,0,1,-0.0
2026-09-06T22:00,,1,232,6,,,,,,,0,20.1,16.1,18.1,88,0.0,0.249,0,1,0.0
2026-09-06T23:00,,1,244,1,,,,,,,0,18.2,15.6,17.1,91,0.9,0.176,1,1,0.44
2026-09-07T01:00,,1,244,331,,,,,,,0,16.7,14.8,15.8,94,0.9,0.108,1,1,0.44
2026-09-07T03:00,,1,41,19,,,,,,,0,15.8,14.5,15.1,96,-0.66,0.069,1,1,-0.75
2026-09-07T04:00,,2,14,291,,,,,,,0,16.0,14.1,14.7,96,-0.0,0.067,0,1,-0.0
2026-09-07T05:00,,4,277,17,,,,,,,0,15.5,13.7,14.3,96,0.0,0.065,0,1,-0.0
