datetime,CDD,CLOUDINESS,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,TEMP
2026-08-31T04:00,,0,,,0.0,0.0,0.0,0,13.3
2026-08-31T05:00,,0,,,0.0,0.0,0.0,0,13.5
2026-08-31T06:00,,0,,,0.0,0.0,0.0,0,13.2
2026-08-31T07:00,,0,,,0.0,0.0,0.0,0,13.3
2026-08-31T08:00,,0,,,0.0,0.0,0.0,0,13.8
2026-08-31T09:00,,0,,,0.0,0.0,0.0,0,15.4
2026-08-31T10:00,,0,,,0.0,0.0,0.0,0,17.8
2026-08-31T11:00,,0,,,0.0,0.0,0.0,0,21.0
2026-08-31T12:00,,0,,,0.0,0.0,0.0,0,22.4
2026-08-31T13:00,0.0,0,8.5,0.0,0.0,0.0,0.0,0,21.9
2026-08-31T14:00,,0,,,0.0,0.0,0.0,0,23.3
2026-08-31T15:00,,0,,,0.0,0.0,0.0,0,20.7
2026-08-31T16:00,,0,,,0.0,0.0,0.0,0,21.7
2026-08-31T17:00,,0,,,0.0,0.0,0.0,0,23.9
2026-08-31T18:00,,0,,,0.0,0.0,0.0,0,23.7
2026-08-31T19:00,,0,,,0.0,0.0,0.0,0,18.8
2026-08-31T20:00,,0,,,0.0,0.0,0.0,0,17.4
2026-08-31T21:00,,0,,,0.0,0.0,0.0,0,16.9
2026-08-31T22:00,,0,,,0.0,0.0,0.0,0,17.3
2026-08-31T23:00,,0,,,1.8,1.8,1.8,1,13.1
2026-09-01T01:00,,0,,,0.0,1.8,1.8,0,12.5
2026-09-01T03:00,,0,,,0.0,1.8,1.8,0,11.9
2026-09-01T04:00,,0,,,0.0,1.8,1.8,0,11.1
2026-09-01T05:00,,0,,,0.2,2.0,2.0,1,10.5
2026-09-01T06:00,,0,,,0.0,2.0,2.0,0,10.1
2026-09-01T07:00,,0,,,0.0,2.0,2.0,0,9.7
2026-09-01T08:00,,0,,,0.0,2.0,2.0,0,10.2
2026-09-01T09:00,,0,,,0.0,2.0,2.0,0,11.1
2026-09-01T10:00,,0,,,0.0,2.0,2.0,0,15.7
2026-09-01T11:00,,0,,,0.0,2.0,2.0,0,16.6
2026-09-01T12:00,,0,,,0.0,2.0,2.0,0,18.5
2026-09-01T13:00,0.0,0,5.3,3.0,0.0,2.0,2.0,0,18.9
