datetime,CDD,CLOUDINESS,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,PRESS,QSPEC,RADSOL,TDEW,TEMP,UMID,VPD
2026-09-19T22:00,,1,,,0.0,0.0,0.0,0,960.1,9.54,0,12.7,13.8,93,0.11
2026-09-19T23:00,,1,,,0.0,0.0,0.0,0,960.5,9.17,0,12.1,13.2,93,0.106
2026-09-20T01:00,,3,,,0.0,0.0,0.0,0,960.5,9.03,0,11.9,12.8,94,0.089
2026-09-20T03:00,,1,,,0.2,0.2,0.2,1,960.7,8.56,0,11.1,12.0,94,0.084
2026-09-20T04:00,,2,,,0.0,0.2,0.2,0,960.5,8.4,0,10.8,11.7,94,0.083
2026-09-20T05:00,,1,,,0.0,0.2,0.2,0,960.8,8.23,0,10.5,11.4,94,0.081
2026-09-20T06:00,,1,,,0.0,0.2,0.2,0,960.7,8.07,0,10.2,11.1,94,0.079
2026-09-20T07:00,,1,,,0.0,0.2,0.2,0,960.7,8.1,5,10.2,11.0,95,0.066
2026-09-20T08:00,,2,,,0.0,0.2,0.2,0,960.6,8.37,87,10.7,11.5,95,0.068
2026-09-20T09:00,,1,,,0.0,0.2,0.2,0,960.6,9.45,199,12.6,13.5,94,0.093
2026-09-20T10:00,,2,,,0.0,0.2,0.2,0,960.5,9.58,258,12.8,13.7,94,0.094
2026-09-20T11:00,,2,,,0.0,0.2,0.2,0,960.3,12.21,1578,16.5,18.7,87,0.28
2026-09-20T12:00,,1,,,0.0,0.2,0.2,0,959.8,12.79,2043,17.2,21.2,78,0.554
2026-09-20T13:00,0.0,1,8.9,1.0,0.0,0.2,0.2,0,959.3,12.95,2519,17.4,23.4,69,0.892
2026-09-20T14:00,,3,,,0.0,0.2,0.2,0,958.5,12.8,2457,17.2,23.2,69,0.882
2026-09-20T15:00,,3,,,0.0,0.2,0.2,0,958.0,12.57,2287,16.9,26.7,55,1.576
2026-09-20T16:00,,3,,,0.0,0.2,0.2,0,957.4,12.54,1678,16.9,24.9,61,1.228
2026-09-20T17:00,,5,,,0.0,0.2,0.2,0,957.1,12.18,1045,16.4,23.6,64,1.049
2026-09-20T18:00,,4,,,0.0,0.2,0.2,0,957.3,12.29,410,16.5,20.1,80,0.471
2026-09-20T19:00,,2,,,0.0,0.2,0.2,0,957.7,11.98,60,16.1,19.1,83,0.376
2026-09-20T20:00,,3,,,0.0,0.2,0.2,0,958.1,11.2,0,15.1,17.3,87,0.257
2026-09-20T21:00,,4,,,0.0,0.2,0.2,0,958.3,10.74,0,14.5,16.1,90,0.183
2026-09-20T22:00,,4,,,0.0,0.2,0.2,0,958.7,10.69,0,14.4,15.7,92,0.143
2026-09-20T23:00,,5,,,0.0,0.2,0.2,0,958.7,10.29,0,13.8,15.1,92,0.137
2026-09-21T01:00,,4,,,0.0,0.2,0.2,0,958.4,9.75,0,13.0,14.1,93,0.113
2026-09-21T03:00,,4,,,0.0,0.2,0.2,0,958.3,9.7,0,12.9,13.7,95,0.078
2026-09-21T04:00,,3,,,0.0,0.0,0.2,0,958.1,9.46,0,12.5,13.3,95,0.076
2026-09-21T05:00,,1,,,0.2,0.2,0.4,1,958.1,9.17,0,12.1,13.0,94,0.09
2026-09-21T06:00,,2,,,0.0,0.2,0.4,0,958.4,8.7,0,11.3,12.2,94,0.085
2026-09-21T07:00,,4,,,0.0,0.2,0.4,0,958.6,8.91,3,11.6,12.4,95,0.072
2026-09-21T08:00,,4,,,0.0,0.2,0.4,0,958.7,9.02,91,11.8,12.6,95,0.073
2026-09-21T09:00,,2,,,0.0,0.2,0.4,0,959.1,9.28,218,12.3,13.2,94,0.091
2026-09-21T10:00,,4,,,0.0,0.2,0.4,0,959.1,9.15,250,12.0,13.3,92,0.122
2026-09-21T11:00,,3,,,0.0,0.2,0.4,0,959.1,9.95,403,13.3,14.6,92,0.133
2026-09-21T12:00,,4,,,0.0,0.2,0.4,0,958.7,10.22,639,13.7,15.7,88,0.214
2026-09-21T13:00,0.0,2,8.4,2.0,0.0,0.2,0.4,0,957.7,11.69,1613,15.8,19.5,79,0.476
2026-09-21T14:00,,2,,,0.0,0.2,0.4,0,956.8,11.78,2016,15.9,22.3,67,0.889
2026-09-21T15:00,,2,,,0.0,0.2,0.4,0,955.8,12.62,2397,16.9,24.7,62,1.182
2026-09-21T16:00,,3,,,0.0,0.2,0.4,0,955.0,11.7,2200,15.7,23.7,61,1.143
2026-09-21T17:00,,5,,,0.0,0.2,0.4,0,955.0,10.85,1453,14.6,22.2,62,1.017
2026-09-21T21:00,,3,,,0.0,0.2,0.4,0,957.3,7.92,0,9.8,14.0,76,0.384
2026-09-21T22:00,,1,,,0.0,0.2,0.4,0,957.6,8.56,0,11.0,15.0,77,0.392
2026-09-21T23:00,,2,,,0.0,0.2,0.4,0,958.4,7.44,0,8.9,13.9,72,0.445
2026-09-22T01:00,,3,,,0.0,0.2,0.4,0,958.8,6.93,0,7.9,11.4,79,0.283
2026-09-22T03:00,,3,,,0.0,0.2,0.4,0,958.6,6.49,0,6.9,9.5,84,0.19
2026-09-22T04:00,,1,,,0.0,0.2,0.2,0,958.4,6.1,0,6.0,8.4,85,0.165
2026-09-22T05:00,,1,,,0.0,0.2,0.2,0,958.4,5.93,0,5.6,8.0,85,0.161
2026-09-22T06:00,,1,,,0.0,0.0,0.2,0,958.2,5.67,0,5.0,7.0,87,0.13
2026-09-22T07:00,,1,,,0.2,0.2,0.4,1,958.6,5.62,0,4.9,6.7,88,0.118
2026-09-22T08:00,,1,,,0.0,0.2,0.4,0,958.6,5.87,58,5.5,7.5,87,0.135
2026-09-22T09:00,,1,,,0.0,0.2,0.4,0,958.5,5.99,107,5.8,7.8,87,0.138
2026-09-22T10:00,,1,,,0.0,0.2,0.4,0,958.2,6.4,140,6.7,8.6,88,0.134
2026-09-22T11:00,,1,,,0.0,0.2,0.4,0,957.9,7.15,1634,8.3,15.1,64,0.618
2026-09-22T12:00,,1,,,0.0,0.2,0.4,0,957.5,5.44,2424,4.4,18.2,40,1.254
2026-09-22T13:00,0.0,1,3.5,5.5,0.0,0.2,0.4,0,957.0,5.33,2598,4.1,18.7,38,1.337
2026-09-22T14:00,,1,,,0.0,0.2,0.4,0,956.6,6.16,2581,6.2,19.8,41,1.363
2026-09-22T15:00,,1,,,0.0,0.2,0.4,0,956.1,4.84,2364,2.7,20.4,31,1.654
2026-09-22T16:00,,1,,,0.0,0.2,0.4,0,956.0,5.21,1967,3.7,20.1,34,1.553
2026-09-22T17:00,,1,,,0.0,0.2,0.4,0,955.9,5.64,1419,4.9,20.0,37,1.473
2026-09-22T18:00,,1,,,0.0,0.2,0.4,0,956.3,6.49,245,6.9,15.1,58,0.721
2026-09-22T19:00,,1,,,0.0,0.2,0.4,0,957.3,6.73,37,7.4,13.0,69,0.464
2026-09-22T20:00,,1,,,0.0,0.2,0.4,0,958.4,6.44,0,6.8,11.7,72,0.385
2026-09-22T21:00,,1,,,0.0,0.2,0.4,0,959.3,6.38,0,6.7,10.0,80,0.246
2026-09-22T22:00,,1,,,0.0,0.2,0.4,0,960.0,6.17,0,6.2,9.5,80,0.237
2026-09-22T23:00,,1,,,0.0,0.2,0.4,0,960.5,5.99,0,5.8,8.9,81,0.217
2026-09-23T01:00,,1,,,0.0,0.2,0.4,0,960.8,5.65,0,5.0,7.5,84,0.166
2026-09-23T03:00,,1,,,0.0,0.2,0.4,0,960.8,5.43,0,4.4,6.4,87,0.125
2026-09-23T04:00,,1,,,0.0,0.2,0.4,0,960.6,5.35,0,4.2,6.2,87,0.123
2026-09-23T05:00,,1,,,0.0,0.2,0.4,0,960.4,5.2,0,3.8,5.6,88,0.109
2026-09-23T06:00,,1,,,0.0,0.2,0.2,0,960.6,5.15,0,3.6,5.3,89,0.098
2026-09-23T07:00,,1,,,0.0,0.2,0.2,0,960.6,5.04,0,3.3,5.0,89,0.096
2026-09-23T08:00,,1,,,0.0,0.0,0.2,0,961.0,5.18,69,3.7,5.4,89,0.099
2026-09-23T09:00,,1,,,0.0,0.0,0.2,0,960.8,5.38,164,4.3,6.1,88,0.113
2026-09-23T10:00,,1,,,0.0,0.0,0.2,0,960.5,5.81,169,5.4,6.9,90,0.099
2026-09-23T11:00,,1,,,0.0,0.0,0.2,0,960.1,7.34,1714,8.8,13.5,73,0.418
2026-09-23T12:00,,2,,,0.0,0.0,0.2,0,959.5,7.42,2381,8.9,16.2,62,0.7
2026-09-23T13:00,0.0,2,2.6,6.6,0.0,0.0,0.2,0,958.8,7.96,2594,9.9,19.5,54,1.043
2026-09-23T14:00,,2,,,0.0,0.0,0.2,0,958.0,7.81,2561,9.6,20.1,51,1.153
2026-09-23T15:00,,2,,,0.0,0.0,0.2,0,957.4,7.11,2372,8.2,19.9,47,1.232
2026-09-23T16:00,,2,,,0.0,0.0,0.2,0,956.9,7.48,1919,9.0,19.4,51,1.104
2026-09-23T17:00,,1,,,0.0,0.0,0.2,0,956.9,7.49,1349,9.0,18.2,55,0.941
2026-09-23T18:00,,1,,,0.0,0.0,0.2,0,957.0,7.53,138,9.1,14.5,70,0.495
2026-09-23T19:00,,1,,,0.0,0.0,0.2,0,957.3,7.64,39,9.3,12.3,82,0.257
2026-09-23T20:00,,4,,,0.0,0.0,0.2,0,957.6,7.34,0,8.7,11.5,83,0.231
2026-09-23T21:00,,4,,,0.0,0.0,0.2,0,958.0,7.29,0,8.6,10.7,87,0.167
2026-09-23T22:00,,5,,,0.0,0.0,0.2,0,958.3,7.18,0,8.4,10.3,88,0.15
2026-09-23T23:00,,5,,,0.0,0.0,0.2,0,958.6,7.0,0,8.0,9.6,90,0.12
2026-09-24T01:00,,5,,,0.0,0.0,0.2,0,958.4,6.97,0,8.0,9.2,92,0.093
2026-09-24T03:00,,1,,,0.0,0.0,0.2,0,958.1,6.49,0,6.9,8.0,93,0.075
2026-09-24T04:00,,1,,,0.0,0.0,0.2,0,957.8,6.3,0,6.5,7.4,94,0.062
2026-09-24T05:00,,4,,,0.0,0.0,0.2,0,957.6,6.18,0,6.2,7.1,94,0.061
2026-09-24T06:00,,4,,,0.0,0.0,0.2,0,957.6,6.09,0,6.0,6.9,94,0.06
2026-09-24T07:00,,3,,,0.0,0.0,0.2,0,957.3,6.12,0,6.1,6.8,95,0.049
2026-09-24T08:00,,4,,,0.0,0.0,0.0,0,957.3,6.37,118,6.7,7.4,95,0.051
2026-09-24T09:00,,3,,,0.0,0.0,0.0,0,957.1,7.03,380,8.1,9.0,94,0.069
2026-09-24T10:00,,3,,,0.0,0.0,0.0,0,956.7,7.67,537,9.4,10.6,92,0.102
2026-09-24T11:00,,4,,,0.0,0.0,0.0,0,956.3,9.13,1463,11.9,15.0,82,0.307
2026-09-24T12:00,,5,,,0.0,0.0,0.0,0,955.3,9.13,1949,11.9,17.7,69,0.628
2026-09-24T13:00,0.0,5,2.8,6.0,0.0,0.0,0.0,0,954.5,8.65,2044,11.1,18.8,61,0.846
2026-09-24T14:00,,4,,,0.0,0.0,0.0,0,954.4,8.21,1010,10.3,17.7,62,0.77
2026-09-24T15:00,,5,,,0.0,0.0,0.0,0,954.4,8.26,554,10.4,17.3,64,0.711
2026-09-24T16:00,,5,,,0.0,0.0,0.0,0,954.4,8.61,263,11.0,16.1,72,0.512
2026-09-24T17:00,,5,,,0.0,0.0,0.0,0,954.0,9.1,307,11.9,15.7,78,0.392
2026-09-24T18:00,,1,,,0.0,0.0,0.0,0,953.9,8.75,217,11.3,14.7,80,0.335
2026-09-24T19:00,,3,,,0.0,0.0,0.0,0,954.1,8.25,26,10.4,12.5,87,0.188
