datetime,CLOUDINESS,PREC,PREC24,PREC48
2026-09-09T03:00,0,0.0,0.0,0.0
2026-09-09T04:00,0,0.0,0.0,0.0
2026-09-09T05:00,0,0.0,0.0,0.0
2026-09-09T06:00,0,0.0,0.0,0.0
2026-09-09T07:00,0,2.0,2.0,2.0
2026-09-09T08:00,0,3.0,5.0,5.0
2026-09-09T09:00,0,0.0,5.0,5.0
2026-09-09T10:00,0,0.0,5.0,5.0
2026-09-09T11:00,0,2.9,7.9,7.9
2026-09-09T12:00,0,2.0,9.9,9.9
2026-09-09T13:00,0,0.4,10.3,10.3
2026-09-09T14:00,0,0.0,10.3,10.3
2026-09-09T15:00,0,0.0,10.3,10.3
2026-09-09T16:00,0,0.0,10.3,10.3
2026-09-09T17:00,0,3.4,13.7,13.7
2026-09-09T18:00,0,0.2,13.9,13.9
2026-09-09T19:00,0,0.0,13.9,13.9
2026-09-09T20:00,0,0.0,13.9,13.9
2026-09-09T21:00,0,0.0,13.9,13.9
2026-09-09T22:00,0,0.6,14.5,14.5
2026-09-09T23:00,0,1.4,15.9,15.9
2026-09-10T01:00,0,0.0,15.9,15.9
2026-09-10T03:00,0,0.0,15.9,15.9
2026-09-10T04:00,0,0.0,15.9,15.9
2026-09-10T05:00,0,3.4,19.3,19.3
2026-09-10T06:00,0,15.0,34.3,34.3
2026-09-10T07:00,0,4.3,38.6,38.6
2026-09-10T08:00,0,1.2,37.8,39.8
2026-09-10T09:00,0,14.6,49.4,54.4
2026-09-10T10:00,0,0.8,50.2,55.2
2026-09-10T11:00,0,0.2,50.4,55.4
2026-09-10T12:00,0,0.0,47.5,55.4
2026-09-10T13:00,0,3.8,49.3,59.2
2026-09-10T14:00,0,1.0,49.9,60.2
2026-09-10T15:00,0,0.0,49.9,60.2
2026-09-10T16:00,0,0.0,49.9,60.2
2026-09-10T17:00,0,0.4,50.3,60.6
2026-09-10T18:00,0,5.6,52.5,66.2
2026-09-10T19:00,0,8.9,61.2,75.1
2026-09-10T20:00,0,12.6,73.8,87.7
2026-09-10T22:00,0,0.4,74.2,88.1
2026-09-10T23:00,0,0.0,73.6,88.1
2026-09-11T01:00,0,0.0,72.2,88.1
2026-09-11T03:00,0,0.0,72.2,88.1
2026-09-11T04:00,0,0.2,72.4,88.3
2026-09-11T05:00,0,6.7,79.1,95.0
2026-09-11T06:00,0,0.2,75.9,95.2
2026-09-11T07:00,0,0.0,60.9,95.2
2026-09-11T08:00,0,0.0,56.6,93.2
2026-09-11T09:00,0,0.0,55.4,90.2
2026-09-11T10:00,0,2.6,43.4,92.8
2026-09-11T11:00,0,0.8,43.4,93.6
2026-09-11T12:00,0,0.0,43.2,90.7
2026-09-11T13:00,0,0.0,43.2,88.7
2026-09-11T14:00,0,0.0,39.4,88.3
2026-09-11T15:00,0,0.0,38.4,88.3
2026-09-11T16:00,0,0.0,38.4,88.3
2026-09-11T17:00,0,0.0,38.4,88.3
2026-09-11T18:00,0,0.0,38.0,84.9
2026-09-11T19:00,0,0.0,32.4,84.7
2026-09-11T20:00,0,0.0,23.5,84.7
2026-09-11T21:00,0,0.0,10.9,84.7
2026-09-11T22:00,0,0.0,10.9,84.7
2026-09-11T23:00,0,0.0,10.5,84.1
2026-09-12T01:00,0,0.0,10.5,82.7
2026-09-12T03:00,0,0.0,10.5,82.7
2026-09-12T04:00,0,0.0,10.5,82.7
