datetime,BAGNATURA,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,PRESS,QSPEC,RADSOL,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-08-29T23:00,0,,1,8,65,,,0.0,0.0,0.0,0,1004.3,11.51,0,19.9,16.3,22.0,70,-0.84,0.793,6,7,-5.94
2026-08-30T01:00,0,,1,43,55,,,0.0,0.0,0.0,0,1004.6,11.11,0,18.2,15.7,21.9,68,-5.46,0.841,8,7,-5.85
2026-08-30T03:00,0,,1,51,52,,,0.0,0.0,0.0,0,1004.8,11.0,0,17.7,15.6,21.5,69,-6.22,0.795,8,7,-5.03
2026-08-30T04:00,0,,1,76,54,,,0.0,0.0,0.0,0,1004.9,10.86,0,18.2,15.4,20.6,72,-5.82,0.679,6,7,-1.45
2026-08-30T05:00,0,,1,62,41,,,0.0,0.0,0.0,0,1004.5,10.84,0,16.0,15.3,19.9,75,-7.06,0.581,8,8,-3.76
2026-08-30T06:00,0,,1,61,51,,,0.0,0.0,0.0,0,1004.4,11.03,0,15.2,15.6,20.4,74,-8.75,0.623,10,6,-4.85
2026-08-30T07:00,0,,1,77,60,,,0.0,0.0,0.0,0,1004.6,11.2,55,16.0,15.9,21.1,72,-9.74,0.701,10,9,-2.25
2026-08-30T08:00,0,,1,69,64,,,0.0,0.0,0.0,0,1004.7,11.78,562,19.7,16.6,23.1,67,-7.47,0.933,8,10,-2.87
2026-08-30T09:00,0,,1,58,45,,,0.0,0.0,0.0,0,1004.5,11.95,1254,20.2,16.9,24.9,61,-8.48,1.228,10,9,-5.3
2026-08-30T10:00,0,,1,70,63,,,0.0,0.0,0.0,0,1004.7,12.65,1897,24.4,17.8,27.3,56,-7.52,1.597,8,10,-2.74
2026-08-30T11:00,0,,1,65,55,,,0.0,0.0,0.0,0,1004.6,12.42,2431,26.3,17.5,28.6,51,-6.34,1.918,7,8,-2.96
2026-08-30T12:00,0,,1,65,39,,,0.0,0.0,0.0,0,1004.3,11.62,2796,29.0,16.4,30.4,43,-4.53,2.475,5,5,-2.11
2026-08-30T13:00,0,5.3,1,11,109,16.8,0.0,0.0,0.0,0.0,0,1003.6,9.82,3005,31.9,13.8,32.1,33,-0.38,3.204,2,4,-1.96
2026-08-30T14:00,0,,1,300,252,,,0.0,0.0,0.0,0,1003.3,10.54,3023,28.5,14.9,31.8,36,6.06,3.009,7,5,-3.5
2026-08-30T15:00,0,,1,335,143,,,0.0,0.0,0.0,0,1003.1,10.47,2831,32.8,14.8,32.7,34,0.85,3.264,2,5,-1.81
2026-08-30T16:00,0,,1,268,230,,,0.0,0.0,0.0,0,1002.7,11.35,2472,32.1,16.0,33.6,35,5.0,3.381,5,5,0.17
2026-08-30T17:00,0,,1,344,0,,,0.0,0.0,0.0,0,1002.3,10.36,1932,31.9,14.6,32.5,34,0.83,3.228,3,5,-2.88
