datetime,BAGNATURA,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,PRESS,QSPEC,RADSOL,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-08-29T23:00,1,,1,18,35,,,0.0,0.0,0.0,0,1013.6,11.31,0,20.0,16.1,20.1,78,-0.93,0.518,3,2,-2.85
2026-08-30T01:00,0,,1,359,50,,,0.0,0.0,0.0,0,1014.0,11.03,0,20.1,15.8,18.9,82,0.02,0.393,1,3,-1.0
2026-08-30T03:00,21,,1,0,16,,,0.0,0.0,0.0,0,1014.2,10.61,0,17.5,15.2,17.9,84,-0.0,0.328,3,4,-3.0
2026-08-30T04:00,55,,5,19,6,,,0.0,0.0,0.0,0,1014.1,10.68,0,18.5,15.3,18.2,83,-0.65,0.355,2,3,-1.89
2026-08-30T05:00,60,,1,33,60,,,0.0,0.0,0.0,0,1013.7,10.23,0,18.4,14.6,18.3,79,-1.09,0.442,2,4,-1.68
2026-08-30T06:00,60,,1,0,345,,,0.0,0.0,0.0,0,1013.8,10.09,0,17.1,14.4,17.1,84,-0.0,0.312,2,2,-2.0
2026-08-30T07:00,60,,1,356,21,,,0.0,0.0,0.0,0,1014.0,10.41,29,17.1,14.9,17.6,84,0.21,0.322,3,3,-2.99
2026-08-30T08:00,60,,3,24,45,,,0.0,0.0,0.0,0,1014.2,11.48,335,20.5,16.4,21.2,74,-1.63,0.655,4,3,-3.65
2026-08-30T09:00,4,,1,29,35,,,0.0,0.0,0.0,0,1014.0,11.64,1063,24.3,16.6,24.9,60,-1.94,1.26,4,4,-3.5
2026-08-30T10:00,0,,1,26,7,,,0.0,0.0,0.0,0,1014.1,12.91,1727,28.3,18.2,27.5,57,-1.32,1.579,3,4,-2.7
2026-08-30T11:00,0,,1,20,70,,,0.0,0.0,0.0,0,1014.0,12.92,2314,29.2,18.2,29.1,52,-1.37,1.934,4,4,-3.76
2026-08-30T12:00,0,,1,52,65,,,0.0,0.0,0.0,0,1013.8,13.31,2762,33.4,18.7,31.0,48,-0.79,2.336,1,3,-0.62
2026-08-30T13:00,0,4.3,1,326,329,15.1,0.0,0.0,0.0,0.0,0,1013.2,12.19,2990,30.8,17.3,31.8,42,2.8,2.727,5,4,-4.15
2026-08-30T14:00,0,,1,285,330,,,0.0,0.0,0.0,0,1012.9,11.74,2917,30.1,16.7,32.0,40,5.8,2.853,6,5,-1.55
2026-08-30T15:00,0,,1,331,4,,,0.0,0.0,0.0,0,1012.7,11.67,2775,30.8,16.6,32.8,38,2.91,3.084,6,4,-5.25
2026-08-30T16:00,0,,1,150,335,,,0.0,0.0,0.0,0,1012.3,10.93,2402,34.2,15.6,33.1,35,-0.5,3.288,1,4,0.87
2026-08-30T17:00,0,,1,296,324,,,0.0,0.0,0.0,0,1011.8,11.99,1839,31.7,17.0,32.8,39,4.49,3.034,5,5,-2.19
2026-08-30T18:00,0,,1,276,310,,,0.0,0.0,0.0,0,1011.7,12.56,1193,31.5,17.8,32.3,42,4.97,2.805,5,5,-0.52
2026-08-30T19:00,0,,2,281,282,,,0.0,0.0,0.0,0,1011.7,13.43,562,30.0,18.8,30.4,50,4.91,2.171,5,6,-0.95
