datetime,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,PRESS,QSPEC,RADSOL,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-08-29T23:00,,1,330,326,,,0.0,0.0,0.0,0,913.1,10.7,0,15.1,13.7,15.3,90,1.0,0.174,2,5,-1.73
2026-08-30T01:00,,1,307,341,,,0.0,0.0,0.0,0,913.3,10.46,0,12.1,13.3,14.6,92,3.99,0.133,5,6,-3.01
2026-08-30T03:00,,1,324,321,,,0.0,0.0,0.0,0,913.5,10.27,0,11.2,13.0,14.5,91,3.53,0.149,6,6,-4.85
2026-08-30T04:00,,1,312,330,,,0.0,0.0,0.0,0,913.4,10.03,0,10.9,12.7,14.3,90,4.46,0.163,6,8,-4.01
2026-08-30T05:00,,1,348,316,,,0.0,0.0,0.0,0,913.1,9.76,0,11.6,12.3,13.7,91,0.83,0.141,4,4,-3.91
2026-08-30T06:00,,1,329,330,,,0.0,0.0,0.0,0,913.1,9.97,0,12.4,12.6,13.7,93,1.55,0.11,3,5,-2.57
2026-08-30T07:00,,1,319,324,,,0.0,0.0,0.0,0,913.3,10.41,24,9.6,13.2,14.2,94,5.25,0.097,8,5,-6.04
2026-08-30T08:00,,1,356,307,,,0.0,0.0,0.0,0,913.6,10.59,223,14.5,13.5,14.8,92,0.14,0.135,2,4,-2.0
2026-08-30T09:00,,1,320,327,,,0.0,0.0,0.0,0,913.5,11.66,1066,19.4,15.0,18.5,80,0.64,0.426,1,3,-0.77
2026-08-30T10:00,,2,319,329,,,0.0,0.0,0.0,0,913.3,11.69,1751,20.2,15.0,20.7,70,1.97,0.732,3,1,-2.26
2026-08-30T11:00,,2,109,158,,,0.0,0.0,0.0,0,913.2,12.24,2401,21.5,15.7,22.4,66,-3.78,0.921,4,3,1.3
2026-08-30T12:00,,4,110,130,,,0.0,0.0,0.0,0,913.0,12.52,2849,21.6,16.1,23.8,62,-5.64,1.12,6,6,2.05
2026-08-30T13:00,0.0,3,103,161,9.4,0.0,0.0,0.0,0.0,0,912.5,11.86,3089,20.7,15.2,24.6,56,-7.79,1.361,8,7,1.8
2026-08-30T14:00,,3,117,71,,,0.0,0.0,0.0,0,912.2,12.23,3079,22.1,15.7,25.1,56,-6.24,1.402,7,7,3.18
