datetime,BAGNATURA,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,RADSOL,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-08-31T04:00,0,,1,10,15,,,0.0,0.0,0.0,0,0,11.2,14.6,20.2,70,-2.6,0.71,15,15,-14.77
2026-08-31T05:00,0,,1,11,9,,,0.0,0.0,0.0,0,0,10.8,14.6,19.8,72,-2.86,0.647,15,15,-14.72
2026-08-31T06:00,0,,1,11,52,,,0.0,0.0,0.0,0,0,11.0,14.4,19.4,73,-2.67,0.608,14,15,-13.74
2026-08-31T07:00,0,,1,12,15,,,0.0,0.0,0.0,0,60,11.4,14.8,19.6,74,-2.91,0.593,14,16,-13.69
2026-08-31T08:00,0,,1,7,0,,,0.0,0.0,0.0,0,495,11.1,15.0,20.0,73,-1.83,0.631,15,15,-14.89
2026-08-31T09:00,0,,1,4,12,,,0.0,0.0,0.0,0,1102,14.5,15.4,21.8,67,-0.91,0.862,13,14,-12.97
2026-08-31T10:00,0,,1,28,354,,,0.0,0.0,0.0,0,1669,20.4,16.5,24.5,61,-4.23,1.199,9,13,-7.95
2026-08-31T11:00,0,,1,9,57,,,0.0,0.0,0.0,0,2143,24.9,17.0,27.4,53,-1.1,1.715,7,8,-6.91
2026-08-31T12:00,0,,1,213,354,,,0.0,0.0,0.0,0,2488,29.2,17.3,29.5,48,2.18,2.144,4,5,3.35
2026-08-31T13:00,0,3.7,1,199,193,14.8,0.0,0.0,0.0,0.0,0,2697,30.2,19.3,30.3,52,1.63,2.072,5,6,4.73
2026-08-31T14:00,0,,1,188,230,,,0.0,0.0,0.0,0,2692,27.9,19.3,30.2,52,1.11,2.06,8,9,7.92
2026-08-31T15:00,0,,1,221,210,,,0.0,0.0,0.0,0,2499,26.3,18.2,30.4,48,6.56,2.258,10,10,7.55
2026-08-31T16:00,0,,1,218,203,,,0.0,0.0,0.0,0,2132,26.8,19.9,30.2,54,6.16,1.974,10,10,7.88
2026-08-31T17:00,0,,1,229,241,,,0.0,0.0,0.0,0,1638,25.6,18.2,29.7,50,7.55,2.085,10,10,6.56
2026-08-31T18:00,0,,2,218,225,,,0.0,0.0,0.0,0,1057,26.0,18.0,28.8,52,4.93,1.901,8,10,6.3
2026-08-31T19:00,0,,2,173,217,,,0.0,0.0,0.0,0,419,26.0,18.7,27.1,60,-0.73,1.435,6,6,5.96
2026-08-31T20:00,0,,1,186,202,,,0.0,0.0,0.0,0,26,23.1,17.8,22.5,75,0.31,0.681,3,5,2.98
2026-08-31T21:00,0,,2,26,121,,,0.0,0.0,0.0,0,0,22.4,18.6,22.2,80,-1.75,0.535,4,4,-3.6
2026-08-31T22:00,0,,5,325,355,,,0.0,0.0,0.0,0,0,24.0,18.6,21.0,86,0.0,0.348,0,4,-0.0
2026-08-31T23:00,15,,5,18,57,,,5.8,5.8,5.8,1,11,3.3,14.9,19.2,76,-7.73,0.534,25,15,-23.78
2026-09-01T01:00,48,,5,27,349,,,0.0,5.8,5.8,0,0,12.5,16.1,19.6,80,-5.9,0.456,13,14,-11.58
2026-09-01T03:00,11,,5,23,11,,,0.0,5.8,5.8,0,0,12.4,15.4,20.4,73,-5.47,0.647,14,14,-12.89
2026-09-01T04:00,0,,5,24,5,,,0.0,5.8,5.8,0,0,11.4,15.1,20.3,72,-6.1,0.667,15,15,-13.7
2026-09-01T05:00,0,,1,33,53,,,0.0,5.8,5.8,0,0,9.5,15.0,19.8,74,-9.26,0.6,17,16,-14.26
2026-09-01T06:00,0,,1,22,44,,,0.0,5.8,5.8,0,0,10.8,14.6,19.1,75,-5.24,0.553,14,15,-12.98
2026-09-01T07:00,0,,3,14,25,,,0.0,5.8,5.8,0,31,10.7,14.4,19.1,74,-3.39,0.575,14,16,-13.58
2026-09-01T08:00,0,,2,17,38,,,0.0,5.8,5.8,0,342,11.7,14.5,19.3,74,-3.8,0.582,13,14,-12.43
2026-09-01T09:00,0,,1,7,46,,,0.0,5.8,5.8,0,967,12.7,14.5,20.4,69,-1.58,0.743,13,13,-12.9
2026-09-01T10:00,0,,3,15,16,,,0.0,5.8,5.8,0,1065,15.6,14.8,21.7,65,-2.85,0.909,11,12,-10.63
2026-09-01T11:00,0,,2,0,17,,,0.0,5.8,5.8,0,1761,18.2,15.9,23.9,61,-0.0,1.157,11,10,-11.0
2026-09-01T12:00,0,,2,358,348,,,0.0,5.8,5.8,0,2076,21.5,16.0,25.1,57,0.28,1.37,8,9,-8.0
2026-09-01T13:00,0,2.4,1,172,358,14.0,0.0,0.0,5.8,5.8,0,2641,28.2,17.9,27.5,56,-0.42,1.615,3,4,2.97
2026-09-01T14:00,0,,2,312,356,,,0.0,5.8,5.8,0,1953,26.1,15.0,27.3,47,2.97,1.923,4,4,-2.68
2026-09-01T15:00,0,,2,215,229,,,0.0,5.8,5.8,0,1989,26.4,16.4,28.5,48,3.44,2.024,6,5,4.91
