datetime,BAGNATURA,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,RADSOL,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-09-13T03:00,,,1,,,,,,,,,,,,,,,,,,
2026-09-14T03:00,,,4,,,,,,,,,,,,,,,,,,
2026-09-14T11:00,,,1,122,,,,,,,,,25.1,19.2,24.6,72,-3.39,0.866,4,,2.12
2026-09-14T13:00,0,1.7,1,131,114,12.0,0.0,,,,,2521,26.0,19.3,25.4,69,-3.02,1.006,4,5,2.62
2026-09-14T14:00,0,,1,118,126,,,,,,,2662,26.9,19.7,26.1,68,-3.53,1.082,4,5,1.88
2026-09-14T15:00,0,,1,205,216,,,0.0,0.0,0.0,0,2517,23.3,18.6,25.9,64,3.38,1.203,8,6,7.25
2026-09-14T16:00,0,,1,188,214,,,0.0,0.0,0.0,0,2128,23.6,17.7,25.8,61,0.97,1.296,7,8,6.93
2026-09-14T17:00,0,,1,199,181,,,0.0,0.0,0.0,0,1562,22.6,18.1,25.4,64,2.6,1.168,8,8,7.56
2026-09-14T18:00,0,,1,183,209,,,0.0,0.0,0.0,0,933,23.3,18.3,24.6,68,0.31,0.99,6,8,5.99
2026-09-14T19:00,0,,2,149,187,,,0.0,0.0,0.0,0,277,22.6,18.5,21.7,82,-1.55,0.467,3,4,2.57
2026-09-14T20:00,0,,1,124,143,,,0.0,0.0,0.0,0,9,20.2,17.7,18.3,96,-0.83,0.084,1,2,0.56
2026-09-14T21:00,0,,1,126,121,,,0.0,0.0,0.0,0,0,20.0,17.8,18.0,99,-0.81,0.021,1,2,0.59
2026-09-14T22:00,8,,1,14,2,,,0.0,0.0,0.0,0,0,19.8,17.8,17.8,100,-0.24,0.0,1,1,-0.97
2026-09-14T23:00,60,,1,33,345,,,0.0,0.0,0.0,0,0,19.0,18.2,18.2,100,-1.63,0.0,3,3,-2.52
2026-09-15T01:00,60,,1,12,22,,,0.0,0.0,0.0,0,0,17.4,16.6,16.6,100,-0.42,0.0,2,2,-1.96
2026-09-15T03:00,60,,1,34,30,,,0.0,0.0,0.0,0,0,16.0,16.2,16.7,97,-2.24,0.057,4,4,-3.32
2026-09-15T05:00,0,,1,32,29,,,0.0,0.0,0.0,0,0,15.5,16.0,16.3,98,-2.12,0.037,4,4,-3.39
2026-09-15T06:00,0,,1,34,33,,,0.0,0.0,0.0,0,0,15.1,15.3,15.5,99,-1.68,0.018,3,3,-2.49
