datetime,BAGNATURA,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-08-31T04:00,0,,1,29,22,,,0.0,0.0,0.0,0,16.0,15.3,19.2,78,-3.39,0.489,7,6,-6.12
2026-08-31T05:00,0,,2,21,9,,,0.0,0.0,0.0,0,17.3,15.6,20.4,74,-2.51,0.623,7,8,-6.54
2026-08-31T06:00,0,,1,25,28,,,0.0,0.0,0.0,0,16.6,15.1,19.2,77,-2.54,0.512,6,6,-5.44
2026-08-31T07:00,0,,1,29,34,,,0.0,0.0,0.0,0,17.1,15.6,19.5,78,-2.91,0.499,6,6,-5.25
2026-08-31T08:00,0,,1,22,35,,,0.0,0.0,0.0,0,20.1,16.7,22.0,72,-2.25,0.74,6,6,-5.56
2026-08-31T09:00,0,,1,24,15,,,0.0,0.0,0.0,0,21.6,17.1,24.1,65,-2.85,1.051,7,6,-6.39
2026-08-31T10:00,0,,1,64,23,,,0.0,0.0,0.0,0,27.5,17.3,27.1,55,-2.7,1.614,3,5,-1.32
2026-08-31T11:00,0,,1,129,103,,,0.0,0.0,0.0,0,30.9,17.1,29.2,48,-0.78,2.107,1,3,0.63
2026-08-31T12:00,0,,1,184,341,,,0.0,0.0,0.0,0,29.3,16.9,29.8,46,0.28,2.265,4,4,3.99
2026-08-31T13:00,0,4.9,1,232,188,15.5,0.0,0.0,0.0,0.0,0,30.7,17.6,30.9,45,3.15,2.457,4,5,2.46
2026-08-31T14:00,0,,1,173,213,,,0.0,0.0,0.0,0,31.1,17.3,31.4,43,-0.49,2.62,4,6,3.97
2026-08-31T15:00,0,,1,220,186,,,0.0,0.0,0.0,0,30.7,18.7,31.8,46,3.86,2.539,6,8,4.6
2026-08-31T16:00,0,,1,226,229,,,0.0,0.0,0.0,0,28.8,17.4,31.9,42,5.75,2.742,8,8,5.56
2026-08-31T17:00,0,,1,217,212,,,0.0,0.0,0.0,0,28.2,17.5,31.2,44,4.81,2.545,8,8,6.39
2026-08-31T18:00,0,,1,206,199,,,0.0,0.0,0.0,0,25.1,19.7,30.0,54,5.26,1.952,12,10,10.79
2026-08-31T19:00,0,,1,197,202,,,0.0,0.0,0.0,0,26.9,19.2,28.5,57,2.05,1.673,7,9,6.69
2026-08-31T20:00,0,,1,189,192,,,0.0,0.0,0.0,0,26.2,18.3,25.4,65,0.47,1.135,3,5,2.96
2026-08-31T21:00,0,,1,74,81,,,0.0,0.0,0.0,0,22.6,18.6,22.4,79,-3.85,0.569,4,3,-1.1
2026-08-31T22:00,0,,3,29,21,,,0.0,0.0,0.0,0,21.6,18.7,22.7,78,-2.91,0.607,6,6,-5.25
2026-08-31T23:00,0,,3,24,39,,,0.0,0.0,0.0,0,20.3,18.4,22.2,79,-2.85,0.562,7,5,-6.39
2026-09-01T01:00,10,,5,6,17,,,0.0,0.0,0.0,0,12.3,15.2,21.1,69,-1.57,0.776,15,17,-14.92
2026-09-01T03:00,40,,5,313,338,,,0.0,0.0,0.0,0,20.9,16.5,20.1,80,1.46,0.471,2,5,-1.36
2026-09-01T04:00,0,,5,24,210,,,0.0,0.0,0.0,0,19.5,16.8,20.0,82,-1.63,0.421,4,4,-3.65
2026-09-01T05:00,0,,1,21,350,,,0.0,0.0,0.0,0,18.9,16.4,21.0,75,-2.15,0.622,6,7,-5.6
2026-09-01T06:00,0,,1,24,19,,,0.0,0.0,0.0,0,17.4,15.3,19.9,75,-2.44,0.581,6,6,-5.48
2026-09-01T07:00,0,,2,21,17,,,0.0,0.0,0.0,0,16.3,15.0,19.6,75,-2.51,0.57,7,7,-6.54
2026-09-01T08:00,0,,2,40,54,,,0.0,0.0,0.0,0,20.8,15.8,21.7,69,-2.57,0.805,4,4,-3.06
2026-09-01T09:00,0,,2,39,34,,,0.0,0.0,0.0,0,18.1,15.0,24.9,54,-7.55,1.449,12,8,-9.33
2026-09-01T10:00,0,,2,47,35,,,0.0,0.0,0.0,0,20.5,14.0,26.2,47,-7.31,1.803,10,11,-6.82
