datetime,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,PRESS,QSPEC,RADSOL,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-08-31T04:00,,1,294,294,,,0.0,0.0,0.0,0,826.6,8.87,0,12.6,9.3,14.1,73,1.83,0.434,2,2,-0.81
2026-08-31T05:00,,1,216,285,,,0.0,0.0,0.0,0,826.5,8.94,0,,9.4,13.8,75,,0.394,,2,
2026-08-31T06:00,,1,202,189,,,0.0,0.0,0.0,0,826.1,9.18,0,12.6,9.8,14.0,76,0.75,0.384,2,1,1.85
2026-08-31T07:00,,1,235,228,,,0.0,0.0,0.0,0,826.1,9.18,37,,9.8,13.8,77,,0.363,,0,
2026-08-31T08:00,,1,317,70,,,0.0,0.0,0.0,0,826.1,9.6,533,13.7,10.5,14.9,75,1.36,0.424,2,3,-1.46
2026-08-31T09:00,,1,325,294,,,0.0,0.0,0.0,0,826.8,10.24,1129,13.5,11.5,15.1,79,1.72,0.36,3,5,-2.46
2026-08-31T10:00,,1,36,318,,,0.0,0.0,0.0,0,827.0,10.44,1651,13.1,11.8,16.0,76,-2.94,0.436,5,5,-4.05
2026-08-31T11:00,,1,65,76,,,0.0,0.0,0.0,0,827.1,9.23,2161,12.8,9.9,16.3,66,-4.53,0.63,5,4,-2.11
2026-08-31T12:00,,4,73,86,,,0.0,0.0,0.0,0,827.1,9.82,924,9.2,10.9,15.9,72,-9.56,0.506,10,7,-2.92
2026-08-31T13:00,0.0,3,133,28,5.3,2.2,0.0,0.0,0.0,0,827.4,9.9,2019,17.0,11.0,17.4,66,-0.73,0.676,1,5,0.68
2026-08-31T14:00,,5,79,68,,,0.0,0.0,0.0,0,826.9,9.69,2441,14.0,10.7,17.3,65,-4.91,0.691,5,6,-0.95
2026-08-31T15:00,,2,263,102,,,0.0,0.0,0.0,0,826.5,11.29,1420,18.5,12.9,18.3,71,0.99,0.61,1,7,0.12
2026-08-31T16:00,,5,215,190,,,0.0,0.0,0.0,0,826.3,10.82,2436,14.2,12.3,19.8,62,5.16,0.878,9,9,7.37
2026-08-31T17:00,,3,212,276,,,0.0,0.0,0.0,0,826.2,10.5,1644,15.9,11.8,18.8,64,2.65,0.781,5,8,4.24
