datetime,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,PRESS,QSPEC,RADSOL,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-09-06T12:00,,1,72,51,,,0.0,0.0,0.0,0,1021.3,9.62,2526,21.5,13.8,28.7,40,-11.41,2.362,12,12,-3.71
2026-09-06T13:00,7.9,1,48,53,18.4,0.0,0.0,0.0,0.0,0,1021.2,10.2,2730,21.4,14.7,29.7,40,-10.4,2.502,14,16,-9.37
2026-09-06T14:00,,1,70,98,,,0.0,0.0,0.0,0,1021.0,9.82,2742,24.7,14.1,30.4,37,-9.4,2.735,10,11,-3.42
2026-09-06T15:00,,1,71,94,,,0.0,0.0,0.0,0,1020.9,9.07,2567,27.2,12.9,30.5,34,-5.67,2.882,6,6,-1.95
2026-09-06T16:00,,1,159,99,,,0.0,0.0,0.0,0,1020.7,9.34,2220,27.1,13.3,31.0,34,-2.51,2.965,7,7,6.54
2026-09-06T17:00,,1,150,179,,,0.0,0.0,0.0,0,1020.3,9.33,1726,28.3,13.3,31.5,33,-3.0,3.097,6,5,5.2
2026-09-06T18:00,,1,253,148,,,0.0,0.0,0.0,0,1020.2,11.35,1116,31.8,16.3,31.1,41,1.91,2.666,2,5,0.58
2026-09-06T19:00,,1,226,229,,,0.0,0.0,0.0,0,1020.4,12.56,476,27.9,17.9,29.4,50,4.32,2.05,6,5,4.17
2026-09-06T20:00,,0,232,243,,,0.0,0.0,0.0,0,1020.6,13.17,33,25.7,18.6,26.8,61,4.73,1.374,6,5,3.69
2026-09-06T21:00,,0,243,233,,,0.0,0.0,0.0,0,1021.1,12.86,0,27.9,18.3,26.4,61,1.78,1.342,2,4,0.91
2026-09-06T22:00,,0,335,319,,,0.0,0.0,0.0,0,1021.4,13.67,0,25.4,19.3,25.6,68,2.11,1.05,5,4,-4.53
2026-09-06T23:00,,0,344,319,,,0.0,0.0,0.0,0,1021.6,13.51,0,25.9,19.1,25.4,68,1.1,1.038,4,4,-3.85
2026-09-07T01:00,,0,32,43,,,0.0,0.0,0.0,0,1014.9,12.87,0,23.5,18.2,25.5,64,-3.71,1.175,7,7,-5.94
2026-09-07T03:00,,0,36,19,,,0.0,0.0,0.0,0,1021.6,11.09,0,22.3,16.0,24.5,59,-3.53,1.261,6,5,-4.85
2026-09-07T04:00,,0,37,30,,,0.0,0.0,0.0,0,1021.4,10.71,0,20.4,15.4,24.2,58,-4.81,1.268,8,8,-6.39
