datetime,CDD,CLOUDINESS,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,RADSOL,TDEW,TEMP,UMID,VPD
2026-09-19T22:00,,1,,,0.0,0.0,0.0,0,0,14.2,14.8,96,0.067
2026-09-19T23:00,,1,,,0.0,0.0,0.0,0,0,14.1,14.4,98,0.033
2026-09-20T01:00,,1,,,0.0,0.0,0.0,0,0,13.9,13.9,100,0.0
2026-09-20T03:00,,3,,,0.0,0.0,0.0,0,0,13.7,13.7,100,0.0
2026-09-20T04:00,,1,,,0.0,0.0,0.0,0,0,13.2,13.4,99,0.015
2026-09-20T05:00,,1,,,0.0,0.0,0.0,0,0,12.9,13.1,99,0.015
2026-09-20T06:00,,1,,,0.0,0.0,0.0,0,0,12.9,13.1,99,0.015
2026-09-20T07:00,,1,,,0.0,0.0,0.0,0,2,12.8,13.0,99,0.015
2026-09-20T08:00,,1,,,0.0,0.0,0.0,0,58,14.3,14.5,99,0.017
2026-09-20T09:00,,1,,,0.0,0.0,0.0,0,464,15.3,18.2,83,0.355
2026-09-20T10:00,,3,,,0.0,0.0,0.0,0,1142,14.8,20.2,71,0.687
2026-09-20T11:00,,4,,,0.0,0.0,0.0,0,1573,14.5,21.3,65,0.887
2026-09-20T12:00,,1,,,0.0,0.0,0.0,0,1815,14.2,22.3,60,1.077
2026-09-20T13:00,0.0,1,8.9,0.0,0.0,0.0,0.0,0,1995,16.3,23.8,63,1.091
2026-09-20T14:00,,2,,,0.0,0.0,0.0,0,2123,15.1,24.2,57,1.299
2026-09-20T15:00,,3,,,0.0,0.0,0.0,0,1946,16.2,24.8,59,1.283
2026-09-20T16:00,,5,,,0.0,0.0,0.0,0,1174,15.7,23.4,62,1.094
2026-09-20T17:00,,2,,,0.0,0.0,0.0,0,874,15.2,23.4,60,1.151
2026-09-20T18:00,,4,,,0.0,0.0,0.0,0,414,16.1,20.5,76,0.579
2026-09-20T19:00,,4,,,0.0,0.0,0.0,0,58,15.9,18.1,87,0.27
2026-09-20T20:00,,2,,,0.0,0.0,0.0,0,0,15.1,16.7,90,0.19
2026-09-20T21:00,,4,,,0.0,0.0,0.0,0,0,14.7,15.7,94,0.107
2026-09-20T22:00,,4,,,0.0,0.0,0.0,0,0,14.8,15.4,96,0.07
2026-09-20T23:00,,4,,,0.0,0.0,0.0,0,0,14.5,15.3,95,0.087
2026-09-21T01:00,,4,,,0.0,0.0,0.0,0,0,13.5,14.8,92,0.135
2026-09-21T03:00,,4,,,0.0,0.0,0.0,0,0,13.3,14.4,93,0.115
2026-09-21T04:00,,4,,,0.0,0.0,0.0,0,0,13.2,14.2,94,0.097
2026-09-21T05:00,,2,,,0.0,0.0,0.0,0,0,13.2,14.3,93,0.114
2026-09-21T06:00,,4,,,0.0,0.0,0.0,0,0,14.5,18.2,79,0.439
2026-09-21T07:00,,4,,,0.0,0.0,0.0,0,2,12.2,16.0,78,0.4
2026-09-21T08:00,,4,,,0.0,0.0,0.0,0,41,12.4,15.7,81,0.339
2026-09-21T09:00,,4,,,0.0,0.0,0.0,0,128,12.4,15.8,80,0.359
2026-09-21T10:00,,4,,,0.0,0.0,0.0,0,228,13.1,16.6,80,0.378
2026-09-21T11:00,,5,,,0.0,0.0,0.0,0,243,12.9,16.4,80,0.373
2026-09-21T12:00,,4,,,0.0,0.0,0.0,0,699,13.9,19.1,72,0.619
2026-09-21T13:00,0.0,3,6.9,1.3,0.0,0.0,0.0,0,718,13.2,18.8,70,0.651
2026-09-21T14:00,,2,,,0.0,0.0,0.0,0,747,14.0,19.6,70,0.684
