datetime,CDD,CLOUDINESS,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,TEMP
2026-09-06T12:00,,0,,,0.0,0.0,0.0,0,25.0
2026-09-06T13:00,0.7,0,11.8,0.0,0.0,0.0,0.0,0,25.8
2026-09-06T14:00,,0,,,0.0,0.0,0.0,0,26.3
2026-09-06T15:00,,0,,,0.0,0.0,0.0,0,24.0
2026-09-06T16:00,,0,,,0.0,0.0,0.0,0,23.4
2026-09-06T17:00,,0,,,0.0,0.0,0.0,0,22.5
2026-09-06T18:00,,0,,,0.0,0.0,0.0,0,21.0
2026-09-06T19:00,,0,,,0.0,0.0,0.0,0,20.1
2026-09-06T20:00,,0,,,0.0,0.0,0.0,0,19.3
2026-09-06T21:00,,0,,,0.0,0.0,0.0,0,18.3
2026-09-06T22:00,,0,,,0.0,0.0,0.0,0,17.9
2026-09-06T23:00,,0,,,0.0,0.0,0.0,0,17.2
2026-09-07T01:00,,0,,,0.0,0.0,0.0,0,16.5
2026-09-07T03:00,,0,,,0.0,0.0,0.0,0,15.9
2026-09-07T04:00,,0,,,0.0,0.0,0.0,0,15.7
2026-09-07T05:00,,0,,,0.0,0.0,0.0,0,15.2
2026-09-07T06:00,,0,,,0.0,0.0,0.0,0,15.4
2026-09-07T07:00,,0,,,0.0,0.0,0.0,0,15.5
2026-09-07T08:00,,0,,,0.0,0.0,0.0,0,17.0
2026-09-07T09:00,,0,,,0.0,0.0,0.0,0,21.4
2026-09-07T10:00,,0,,,0.0,0.0,0.0,0,23.5
2026-09-07T11:00,,0,,,0.0,0.0,0.0,0,24.6
2026-09-07T12:00,,0,,,0.0,0.0,0.0,0,25.8
2026-09-07T13:00,0.5,0,11.6,0.0,0.0,0.0,0.0,0,26.7
2026-09-07T14:00,,0,,,0.0,0.0,0.0,0,27.5
2026-09-07T15:00,,0,,,0.0,0.0,0.0,0,28.0
2026-09-07T16:00,,0,,,0.0,0.0,0.0,0,28.0
2026-09-07T17:00,,0,,,0.0,0.0,0.0,0,23.8
2026-09-07T18:00,,0,,,0.0,0.0,0.0,0,23.3
2026-09-07T19:00,,0,,,0.0,0.0,0.0,0,22.0
2026-09-07T20:00,,0,,,0.0,0.0,0.0,0,21.5
2026-09-07T21:00,,0,,,0.4,0.4,0.4,1,20.0
2026-09-07T22:00,,0,,,0.0,0.4,0.4,0,21.2
2026-09-07T23:00,,0,,,0.0,0.4,0.4,0,24.2
2026-09-08T01:00,,0,,,0.0,0.4,0.4,0,21.1
2026-09-08T03:00,,0,,,0.0,0.4,0.4,0,17.4
2026-09-08T04:00,,0,,,0.0,0.4,0.4,0,16.8
2026-09-08T05:00,,0,,,0.0,0.4,0.4,0,16.6
2026-09-08T06:00,,0,,,0.0,0.4,0.4,0,16.3
2026-09-08T07:00,,0,,,0.0,0.4,0.4,0,15.8
2026-09-08T08:00,,0,,,0.0,0.4,0.4,0,17.5
2026-09-08T09:00,,0,,,0.0,0.4,0.4,0,21.5
2026-09-08T10:00,,0,,,0.0,0.4,0.4,0,23.6
2026-09-08T11:00,,0,,,0.0,0.4,0.4,0,25.6
2026-09-08T12:00,,0,,,0.0,0.4,0.4,0,27.0
2026-09-08T13:00,0.6,0,12.2,0.0,0.0,0.4,0.4,0,27.9
2026-09-08T14:00,,0,,,0.0,0.4,0.4,0,28.7
2026-09-08T15:00,,0,,,0.0,0.4,0.4,0,28.6
2026-09-08T16:00,,0,,,0.0,0.4,0.4,0,28.4
2026-09-08T17:00,,0,,,0.0,0.4,0.4,0,23.7
2026-09-08T18:00,,0,,,0.0,0.4,0.4,0,22.3
