datetime,CDD,CLOUDINESS,DVENTO,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-09-09T03:00,,0,177,,,0.0,0.0,0.0,0,12.8,9.9,16.3,66,-0.26,0.63,5,5,4.99
2026-09-09T04:00,,0,196,,,0.0,0.0,0.0,0,13.8,11.0,17.0,68,1.38,0.62,5,5,4.81
2026-09-09T05:00,,0,127,,,0.0,0.0,0.0,0,10.7,9.9,16.3,66,-6.39,0.63,8,6,4.81
2026-09-09T06:00,,0,97,,,0.0,0.0,0.0,0,12.8,11.1,16.6,70,-5.96,0.567,6,5,0.73
2026-09-09T07:00,,0,88,,,0.8,0.8,0.8,1,7.4,9.6,13.8,76,-8.99,0.379,9,10,-0.31
2026-09-09T08:00,,0,135,,,2.2,3.0,3.0,1,11.1,10.7,13.0,86,-2.12,0.21,3,6,2.12
2026-09-09T09:00,,0,120,,,0.8,3.8,3.8,1,10.6,9.7,14.1,75,-4.33,0.402,5,9,2.5
2026-09-09T10:00,,0,119,,,0.0,3.8,3.8,0,11.7,7.3,17.2,52,-6.12,0.942,7,8,3.39
2026-09-09T11:00,,0,71,,,2.8,6.6,6.6,1,5.9,10.9,11.2,98,-7.56,0.027,8,13,-2.6
2026-09-09T12:00,,0,69,,,2.8,9.4,9.4,1,8.5,10.3,11.9,90,-4.67,0.139,5,8,-1.79
2026-09-09T13:00,0.0,0,65,4.2,4.1,0.4,9.8,9.8,1,11.8,10.7,12.3,90,-0.91,0.143,1,1,-0.42
2026-09-09T14:00,,0,21,,,0.0,9.8,9.8,0,12.1,12.5,13.4,94,-1.08,0.092,3,7,-2.8
2026-09-09T15:00,,0,324,,,0.0,9.8,9.8,0,12.3,11.7,14.6,83,2.35,0.283,4,3,-3.24
2026-09-09T16:00,,0,315,,,0.0,9.8,9.8,0,13.1,12.2,13.8,90,1.41,0.158,2,3,-1.41
2026-09-09T17:00,,0,325,,,2.6,12.4,12.4,1,11.7,11.0,12.8,89,1.15,0.163,2,8,-1.64
2026-09-09T18:00,,0,236,,,2.5,14.9,14.9,1,11.7,11.3,12.7,91,1.66,0.132,2,6,1.12
2026-09-09T19:00,,0,313,,,0.2,15.1,15.1,1,10.0,12.5,13.4,94,4.39,0.092,6,4,-4.09
2026-09-09T20:00,,0,274,,,0.0,15.1,15.1,0,12.6,12.2,13.3,93,2.0,0.107,2,4,-0.14
2026-09-09T21:00,,0,117,,,0.0,15.1,15.1,0,11.8,11.5,13.4,88,-2.67,0.184,3,3,1.36
2026-09-09T22:00,,0,26,,,1.0,16.1,16.1,1,12.0,11.9,12.8,94,-0.88,0.089,2,2,-1.8
2026-09-09T23:00,,0,111,,,1.8,17.9,17.9,1,10.9,12.1,12.3,99,-2.8,0.014,3,4,1.08
2026-09-10T01:00,,0,84,,,0.0,17.9,17.9,0,9.3,11.8,12.9,93,-5.97,0.104,6,5,-0.63
2026-09-10T03:00,,0,136,,,0.0,17.9,17.9,0,8.0,11.7,13.1,91,-5.56,0.136,8,7,5.75
2026-09-10T04:00,,0,144,,,0.2,18.1,18.1,1,10.2,12.2,13.0,95,-2.94,0.075,5,9,4.05
2026-09-10T05:00,,0,197,,,1.8,19.9,19.9,1,3.3,12.5,13.0,97,4.39,0.045,15,14,14.34
2026-09-10T06:00,,0,267,,,9.2,29.1,29.1,1,10.8,11.5,11.7,99,2.0,0.014,2,6,0.1
2026-09-10T07:00,,0,166,,,11.3,40.4,40.4,1,8.0,10.4,10.6,99,-0.97,0.013,4,6,3.88
2026-09-10T08:00,,0,196,,,3.0,42.6,43.4,1,4.5,11.5,11.7,99,3.03,0.014,11,8,10.57
2026-09-10T09:00,,0,39,,,17.0,57.4,60.4,1,-1.2,8.8,8.9,99,-8.81,0.011,14,14,-10.88
2026-09-10T10:00,,0,307,,,7.4,64.0,67.8,1,-5.7,9.1,9.2,99,16.77,0.012,21,11,-12.64
2026-09-10T11:00,,0,269,,,2.2,66.2,70.0,1,4.0,10.0,10.3,98,9.0,0.025,9,14,0.16
