datetime,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,PRESS,QSPEC,RADSOL,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-09-06T12:00,,2,185,208,,,0.0,0.0,0.0,0,880.8,12.27,2389,14.9,15.2,20.2,73,0.87,0.639,10,10,9.96
2026-09-06T13:00,0.0,2,185,179,7.1,0.0,0.0,0.0,0.0,0,880.8,11.9,2180,16.3,14.7,20.4,70,0.7,0.719,8,11,7.97
2026-09-06T14:00,,1,165,188,,,0.0,0.0,0.0,0,880.9,11.63,2299,16.3,14.4,20.5,68,-2.07,0.772,8,10,7.73
2026-09-06T15:00,,1,182,158,,,0.0,0.0,0.0,0,880.8,10.84,2221,13.2,13.3,20.6,63,0.42,0.898,12,9,11.99
2026-09-06T16:00,,1,197,195,,,0.0,0.0,0.0,0,880.7,11.79,1198,15.7,14.6,21.2,66,2.92,0.856,10,10,9.56
2026-09-06T17:00,,1,183,164,,,0.0,0.0,0.0,0,880.4,11.05,1794,15.0,13.6,20.9,63,0.52,0.915,10,9,9.99
2026-09-06T18:00,,1,173,173,,,0.0,0.0,0.0,0,880.4,11.02,1182,15.6,13.5,20.1,66,-0.97,0.8,8,10,7.94
2026-09-06T19:00,,1,101,181,,,0.0,0.0,0.0,0,880.8,11.07,166,17.5,13.6,17.1,80,-0.98,0.39,1,7,0.19
2026-09-06T20:00,,1,99,195,,,0.0,0.0,0.0,0,881.4,10.72,18,14.9,13.1,15.3,87,-1.98,0.226,2,3,0.31
2026-09-06T21:00,,1,88,93,,,0.0,0.0,0.0,0,882.1,10.48,0,14.3,12.8,14.1,92,-1.0,0.129,1,2,-0.03
2026-09-06T22:00,,1,109,142,,,0.0,0.0,0.0,0,882.4,10.27,0,12.7,12.5,13.3,95,-1.89,0.076,2,3,0.65
2026-09-06T23:00,,1,116,115,,,0.0,0.0,0.0,0,882.7,10.11,0,12.9,12.3,12.9,96,-0.9,0.06,1,2,0.44
2026-09-07T01:00,,1,92,79,,,0.0,0.0,0.0,0,882.7,9.82,0,11.5,11.8,12.3,97,-2.0,0.043,2,3,0.07
2026-09-07T03:00,,1,131,144,,,0.0,0.0,0.0,0,882.6,9.6,0,11.6,11.5,11.8,98,-0.75,0.028,1,2,0.66
