datetime,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-08-29T23:00,,0,96,86,,,0.0,0.0,0.0,0,13.1,15.2,19.8,75,-11.93,0.577,12,12,1.25
2026-08-30T01:00,,0,96,83,,,0.0,0.0,0.0,0,11.8,14.8,18.7,78,-11.93,0.474,12,14,1.25
2026-08-30T03:00,,0,101,103,,,0.0,0.0,0.0,0,11.3,14.1,18.4,76,-11.78,0.508,12,12,2.29
2026-08-30T04:00,,0,100,91,,,0.0,0.0,0.0,0,10.3,14.0,18.1,77,-12.8,0.478,13,13,2.26
2026-08-30T05:00,,0,93,85,,,0.0,0.0,0.0,0,9.7,13.9,17.6,79,-12.98,0.423,13,13,0.68
2026-08-30T06:00,,0,94,101,,,0.0,0.0,0.0,0,10.8,13.7,18.0,76,-11.97,0.495,12,13,0.84
2026-08-30T07:00,,0,103,106,,,0.0,0.0,0.0,0,11.6,14.0,18.7,74,-11.69,0.561,12,13,2.7
2026-08-30T08:00,,0,98,97,,,0.0,0.0,0.0,0,15.0,14.2,22.1,61,-11.88,1.037,12,12,1.67
2026-08-30T09:00,,0,91,87,,,0.0,0.0,0.0,0,14.1,14.4,24.6,53,-17.0,1.454,17,14,0.3
2026-08-30T10:00,,0,84,85,,,0.0,0.0,0.0,0,18.9,14.3,27.3,45,-13.92,1.996,14,16,-1.46
2026-08-30T11:00,,0,69,102,,,0.0,0.0,0.0,0,27.1,15.5,30.2,41,-6.54,2.532,7,10,-2.51
2026-08-30T12:00,,0,32,33,,,0.0,0.0,0.0,0,27.9,12.6,31.3,32,-3.18,3.108,6,7,-5.09
2026-08-30T13:00,3.5,0,260,88,14.5,0.0,0.0,0.0,0.0,0,26.5,13.6,30.3,36,6.89,2.763,7,7,1.22
2026-08-30T14:00,,0,280,288,,,0.0,0.0,0.0,0,25.9,13.4,31.1,34,8.86,2.982,9,9,-1.56
2026-08-30T15:00,,0,254,286,,,0.0,0.0,0.0,0,25.8,14.0,30.8,36,8.65,2.843,9,10,2.48
2026-08-30T16:00,,0,280,274,,,0.0,0.0,0.0,0,24.3,14.6,30.5,38,10.83,2.707,11,10,-1.91
2026-08-30T17:00,,0,277,285,,,0.0,0.0,0.0,0,26.1,14.8,30.8,38,8.93,2.754,9,10,-1.1
2026-08-30T18:00,,0,217,240,,,0.0,0.0,0.0,0,26.8,18.3,28.8,53,4.21,1.861,7,8,5.59
2026-08-30T19:00,,0,253,255,,,0.0,0.0,0.0,0,28.3,18.0,27.6,56,2.87,1.625,3,5,0.88
2026-08-30T20:00,,0,139,205,,,0.0,0.0,0.0,0,24.6,18.5,23.0,76,-1.31,0.674,2,2,1.51
2026-08-30T21:00,,0,105,124,,,0.0,0.0,0.0,0,19.7,17.5,21.3,79,-5.8,0.532,6,5,1.55
2026-08-30T22:00,,0,111,107,,,0.0,0.0,0.0,0,18.1,17.3,20.5,82,-6.54,0.434,7,6,2.51
2026-08-30T23:00,,0,99,97,,,0.0,0.0,0.0,0,14.2,16.6,19.0,86,-9.88,0.308,10,9,1.56
2026-08-31T01:00,,0,105,117,,,0.0,0.0,0.0,0,13.4,15.7,18.5,84,-9.66,0.341,10,10,2.59
2026-08-31T03:00,,0,104,116,,,0.0,0.0,0.0,0,12.5,15.2,17.8,85,-9.7,0.306,10,10,2.42
2026-08-31T04:00,,0,101,92,,,0.0,0.0,0.0,0,12.4,15.3,17.0,90,-8.83,0.194,9,10,1.72
2026-08-31T05:00,,0,94,100,,,0.0,0.0,0.0,0,11.0,14.9,16.4,91,-9.98,0.168,10,10,0.7
2026-08-31T06:00,,0,108,105,,,0.0,0.0,0.0,0,11.7,14.9,17.1,87,-9.51,0.254,10,10,3.09
2026-08-31T07:00,,0,102,106,,,0.0,0.0,0.0,0,11.8,15.0,17.2,87,-9.78,0.255,10,10,2.08
2026-08-31T08:00,,0,99,106,,,0.0,0.0,0.0,0,17.6,16.3,21.1,74,-7.9,0.651,8,9,1.25
2026-08-31T09:00,,0,82,96,,,0.0,0.0,0.0,0,24.0,17.2,25.8,59,-5.94,1.362,6,7,-0.84
2026-08-31T10:00,,0,229,252,,,0.0,0.0,0.0,0,24.9,16.3,27.0,52,4.53,1.711,6,4,3.94
2026-08-31T11:00,,0,210,163,,,0.0,0.0,0.0,0,26.6,16.9,27.7,52,2.5,1.783,5,5,4.33
2026-08-31T12:00,,0,244,253,,,0.0,0.0,0.0,0,24.8,16.0,27.7,49,6.29,1.894,7,6,3.07
2026-08-31T13:00,2.3,0,221,202,12.4,0.0,0.0,0.0,0.0,0,25.0,16.9,28.3,50,5.25,1.923,8,8,6.04
2026-08-31T14:00,,0,225,211,,,0.0,0.0,0.0,0,24.3,17.1,28.2,51,6.36,1.874,9,9,6.36
2026-08-31T15:00,,0,233,263,,,0.0,0.0,0.0,0,24.4,18.0,27.9,55,7.19,1.691,9,9,5.42
2026-08-31T16:00,,0,228,232,,,0.0,0.0,0.0,0,25.0,16.4,28.5,48,5.95,2.024,8,8,5.35
2026-08-31T17:00,,0,250,258,,,0.0,0.0,0.0,0,27.0,17.7,28.5,52,5.64,1.868,6,7,2.05
2026-08-31T18:00,,0,254,239,,,0.0,0.0,0.0,0,25.3,17.0,27.8,52,6.73,1.793,7,7,1.93
2026-08-31T19:00,,0,252,228,,,0.0,0.0,0.0,0,26.5,16.9,27.0,54,3.8,1.64,4,5,1.24
2026-08-31T20:00,,0,119,232,,,0.0,0.0,0.0,0,22.6,17.0,23.0,69,-3.5,0.871,4,3,1.94
2026-08-31T21:00,,0,106,100,,,0.0,0.0,0.0,0,17.3,16.9,21.3,76,-8.65,0.608,9,7,2.48
2026-08-31T22:00,,0,113,114,,,0.0,0.0,0.0,0,16.9,16.5,20.3,79,-7.36,0.5,8,8,3.13
2026-08-31T23:00,,0,102,91,,,0.0,0.0,0.0,0,14.1,16.1,19.1,83,-9.78,0.376,10,10,2.08
2026-09-01T01:00,,0,98,110,,,0.0,0.0,0.0,0,14.6,15.5,18.4,83,-7.92,0.36,8,9,1.11
2026-09-01T03:00,,0,74,97,,,0.0,0.0,0.0,0,12.6,14.9,18.0,82,-9.61,0.372,10,10,-2.76
2026-09-01T04:00,,0,75,88,,,0.0,0.0,0.0,0,12.4,14.4,20.8,67,-13.52,0.811,14,13,-3.62
2026-09-01T05:00,,0,72,69,,,0.0,0.0,0.0,0,7.4,13.5,22.4,57,-21.87,1.165,23,20,-7.11
2026-09-01T06:00,,0,65,70,,,0.0,0.0,0.0,0,9.5,13.0,21.9,57,-17.22,1.13,19,18,-8.03
2026-09-01T07:00,,0,65,63,,,0.0,0.0,0.0,0,7.0,11.4,22.0,51,-19.94,1.296,22,21,-9.3
2026-09-01T08:00,,0,66,61,,,0.0,0.0,0.0,0,8.3,11.6,23.9,46,-21.01,1.602,23,23,-9.35
2026-09-01T09:00,,0,67,74,,,0.0,0.0,0.0,0,6.3,11.6,24.7,44,-24.85,1.743,27,27,-10.55
2026-09-01T10:00,,0,73,75,,,0.0,0.0,0.0,0,7.4,11.6,25.1,43,-24.86,1.816,26,26,-7.6
2026-09-01T11:00,,0,71,69,,,0.0,0.0,0.0,0,11.4,12.3,27.5,39,-22.69,2.239,24,26,-7.81
2026-09-01T12:00,,0,63,38,,,0.0,0.0,0.0,0,14.3,12.1,29.1,35,-19.6,2.619,22,24,-9.99
2026-09-01T13:00,3.9,0,99,74,14.4,0.0,0.0,0.0,0.0,0,19.1,11.1,28.5,34,-13.83,2.568,14,17,2.19
2026-09-01T14:00,,0,70,109,,,0.0,0.0,0.0,0,25.6,11.6,30.7,31,-7.52,3.047,8,8,-2.74
2026-09-01T15:00,,0,245,160,,,0.0,0.0,0.0,0,24.3,12.7,29.8,35,8.16,2.727,9,8,3.8
2026-09-01T16:00,,0,290,246,,,0.0,0.0,0.0,0,24.4,11.7,30.2,32,8.46,2.919,9,8,-3.08
2026-09-01T17:00,,0,279,286,,,0.0,0.0,0.0,0,25.0,13.5,30.2,36,8.89,2.747,9,7,-1.41
2026-09-01T18:00,,0,257,273,,,0.0,0.0,0.0,0,24.5,14.2,28.8,41,7.79,2.336,8,9,1.8
2026-09-01T19:00,,0,351,255,,,0.0,0.0,0.0,0,29.5,16.8,27.9,51,0.16,1.841,1,5,-0.99
2026-09-01T20:00,,0,87,67,,,0.0,0.0,0.0,0,19.9,14.5,24.1,55,-7.99,1.351,8,6,-0.42
2026-09-01T21:00,,0,94,109,,,0.0,0.0,0.0,0,16.8,13.8,21.9,60,-8.98,1.051,9,8,0.63
2026-09-01T22:00,,0,98,107,,,0.0,0.0,0.0,0,15.4,13.0,20.8,61,-8.91,0.958,9,9,1.25
2026-09-01T23:00,,0,111,113,,,0.0,0.0,0.0,0,14.5,12.2,22.2,53,-11.2,1.258,12,11,4.3
2026-09-02T01:00,,0,98,93,,,0.0,0.0,0.0,0,13.3,11.9,20.4,58,-10.89,1.007,11,11,1.53
2026-09-02T03:00,,0,88,58,,,0.0,0.0,0.0,0,11.3,11.5,20.6,56,-13.99,1.068,14,14,-0.49
2026-09-02T04:00,,0,85,89,,,0.0,0.0,0.0,0,9.1,10.8,21.4,51,-17.93,1.249,18,17,-1.57
2026-09-02T05:00,,0,77,66,,,0.0,0.0,0.0,0,10.8,11.1,20.2,56,-13.64,1.042,14,15,-3.15
2026-09-02T06:00,,0,82,72,,,0.0,0.0,0.0,0,10.7,10.9,20.2,55,-13.86,1.065,14,14,-1.95
2026-09-02T07:00,,0,81,67,,,0.0,0.0,0.0,0,10.2,11.2,20.3,56,-14.82,1.048,15,15,-2.35
2026-09-02T08:00,,0,72,76,,,0.0,0.0,0.0,0,8.7,11.8,22.8,50,-19.97,1.388,21,17,-6.49
2026-09-02T09:00,,0,74,73,,,0.0,0.0,0.0,0,10.3,12.3,24.3,47,-20.19,1.61,21,20,-5.79
2026-09-02T10:00,,0,70,68,,,0.0,0.0,0.0,0,10.9,12.9,26.1,44,-21.61,1.894,23,23,-7.87
2026-09-02T11:00,,0,66,55,,,0.0,0.0,0.0,0,15.8,13.8,27.9,42,-17.36,2.18,19,21,-7.73
2026-09-02T12:00,,0,63,65,,,0.0,0.0,0.0,0,19.6,14.8,29.9,40,-15.15,2.531,17,19,-7.72
2026-09-02T13:00,3.5,0,62,66,14.5,0.0,0.0,0.0,0.0,0,24.3,13.1,30.3,35,-8.83,2.806,10,11,-4.69
2026-09-02T14:00,,0,325,83,,,0.0,0.0,0.0,0,30.5,15.0,29.6,41,0.57,2.447,1,10,-0.82
2026-09-02T15:00,,0,246,227,,,0.0,0.0,0.0,0,24.2,14.8,29.0,42,8.22,2.323,9,9,3.66
2026-09-02T16:00,,0,242,245,,,0.0,0.0,0.0,0,24.7,14.4,28.2,43,6.18,2.18,7,8,3.29
2026-09-02T17:00,,0,238,255,,,0.0,0.0,0.0,0,27.5,14.9,28.7,43,3.39,2.244,4,5,2.12
2026-09-02T18:00,,0,245,235,,,0.0,0.0,0.0,0,26.5,14.0,27.3,44,2.72,2.032,3,4,1.27
2026-09-02T19:00,,0,252,252,,,0.0,0.0,0.0,0,27.4,15.1,27.1,48,1.9,1.865,2,3,0.62
2026-09-02T20:00,,0,99,100,,,0.0,0.0,0.0,0,20.9,16.3,23.0,66,-5.93,0.955,6,4,0.94
2026-09-02T21:00,,0,119,98,,,0.0,0.0,0.0,0,19.2,15.4,21.6,68,-5.25,0.826,6,6,2.91
2026-09-02T22:00,,0,106,111,,,0.0,0.0,0.0,0,16.5,15.1,21.2,68,-8.65,0.806,9,8,2.48
2026-09-02T23:00,,0,79,104,,,0.0,0.0,0.0,0,13.8,14.4,18.7,76,-8.83,0.518,9,10,-1.72
2026-09-03T01:00,,0,76,74,,,0.0,0.0,0.0,0,13.3,13.3,21.4,60,-12.61,1.02,13,12,-3.14
2026-09-03T03:00,,0,73,86,,,0.0,0.0,0.0,0,12.9,12.9,20.4,62,-11.48,0.911,12,12,-3.51
2026-09-03T04:00,,0,69,77,,,0.0,0.0,0.0,0,10.9,13.3,21.1,61,-14.94,0.976,16,15,-5.73
2026-09-03T05:00,,0,77,85,,,0.0,0.0,0.0,0,10.5,13.3,21.4,60,-16.56,1.02,17,17,-3.82
2026-09-03T06:00,,0,73,72,,,0.0,0.0,0.0,0,11.6,12.7,21.3,58,-14.34,1.064,15,16,-4.39
2026-09-03T07:00,,0,72,79,,,0.0,0.0,0.0,0,11.0,13.0,21.3,59,-15.22,1.039,16,14,-4.94
2026-09-03T08:00,,0,78,72,,,0.0,0.0,0.0,0,11.4,13.3,23.7,52,-18.58,1.407,19,18,-3.95
2026-09-03T09:00,,0,78,59,,,0.0,0.0,0.0,0,13.5,13.8,25.6,48,-18.58,1.707,19,19,-3.95
2026-09-03T10:00,,0,85,79,,,0.0,0.0,0.0,0,13.9,14.0,27.3,44,-20.92,2.032,21,19,-1.83
2026-09-03T11:00,,0,85,81,,,0.0,0.0,0.0,0,18.0,12.8,29.0,37,-16.94,2.524,17,18,-1.48
2026-09-03T12:00,,0,63,98,,,0.0,0.0,0.0,0,21.3,11.1,30.7,30,-12.47,3.092,14,17,-6.36
2026-09-03T13:00,4.3,0,83,55,15.8,0.0,0.0,0.0,0.0,0,26.4,10.4,31.1,28,-6.95,3.253,7,10,-0.85
2026-09-03T14:00,,0,41,46,,,0.0,0.0,0.0,0,27.9,10.1,32.0,26,-3.94,3.519,6,6,-4.53
2026-09-03T15:00,,0,281,290,,,0.0,0.0,0.0,0,22.7,10.4,31.0,28,11.78,3.235,12,10,-2.29
2026-09-03T16:00,,0,303,301,,,0.0,0.0,0.0,0,24.8,11.2,31.4,29,8.39,3.263,10,12,-5.45
2026-09-03T17:00,,0,262,276,,,0.0,0.0,0.0,0,24.0,13.0,30.1,35,9.9,2.774,10,10,1.39
2026-09-03T18:00,,0,270,253,,,0.0,0.0,0.0,0,25.8,15.5,28.2,46,6.0,2.065,6,10,0.0
2026-09-03T19:00,,0,299,275,,,0.0,0.0,0.0,0,26.4,14.7,27.7,45,3.5,2.043,4,6,-1.94
2026-09-03T20:00,,0,121,82,,,0.0,0.0,0.0,0,22.4,16.1,22.5,67,-2.57,0.899,3,2,1.55
2026-09-03T21:00,,0,112,95,,,0.0,0.0,0.0,0,18.7,15.3,20.5,72,-4.64,0.675,5,4,1.87
2026-09-03T22:00,,0,99,127,,,0.0,0.0,0.0,0,15.8,15.1,19.7,75,-7.9,0.574,8,8,1.25
2026-09-03T23:00,,0,111,108,,,0.0,0.0,0.0,0,15.3,14.5,19.5,73,-7.47,0.612,8,8,2.87
2026-09-04T01:00,,0,107,94,,,0.0,0.0,0.0,0,14.9,14.4,19.8,71,-8.61,0.67,9,10,2.63
2026-09-04T03:00,,0,112,105,,,0.0,0.0,0.0,0,12.8,13.9,18.6,74,-9.27,0.557,10,9,3.75
2026-09-04T04:00,,0,113,99,,,0.0,0.0,0.0,0,13.1,13.4,18.3,73,-8.28,0.568,9,10,3.52
2026-09-04T05:00,,0,121,121,,,0.0,0.0,0.0,0,12.7,13.0,18.8,69,-8.57,0.673,10,10,5.15
2026-09-04T06:00,,0,109,113,,,0.0,0.0,0.0,0,11.2,12.8,17.3,75,-9.46,0.494,10,10,3.26
2026-09-04T07:00,,0,118,114,,,0.0,0.0,0.0,0,11.6,12.5,18.5,68,-9.71,0.682,11,10,5.16
2026-09-04T08:00,,0,100,114,,,0.0,0.0,0.0,0,16.1,13.9,21.2,63,-8.86,0.932,9,10,1.56
2026-09-04T09:00,,0,85,93,,,0.0,0.0,0.0,0,23.4,14.1,26.3,47,-5.98,1.813,6,7,-0.52
2026-09-04T10:00,,0,58,68,,,0.0,0.0,0.0,0,28.3,14.4,29.0,41,-2.54,2.363,3,5,-1.59
2026-09-04T11:00,,0,248,291,,,0.0,0.0,0.0,0,26.5,13.6,28.9,39,4.64,2.429,5,4,1.87
2026-09-04T12:00,,0,290,296,,,0.0,0.0,0.0,0,25.9,14.1,29.5,39,6.58,2.515,7,6,-2.39
2026-09-04T13:00,3.4,0,250,258,13.9,0.0,0.0,0.0,0.0,0,26.0,13.9,29.7,38,6.58,2.586,7,8,2.39
2026-09-04T14:00,,0,269,281,,,0.0,0.0,0.0,0,25.8,12.9,30.5,34,8.0,2.882,8,8,0.14
2026-09-04T15:00,,0,234,282,,,0.0,0.0,0.0,0,26.1,11.9,30.4,32,5.66,2.952,7,8,4.11
2026-09-04T16:00,,0,256,241,,,0.0,0.0,0.0,0,25.3,14.9,30.0,40,8.73,2.546,9,8,2.18
2026-09-04T17:00,,0,276,297,,,0.0,0.0,0.0,0,25.0,14.7,29.8,40,8.95,2.517,9,8,-0.94
2026-09-04T18:00,,0,285,309,,,0.0,0.0,0.0,0,26.6,14.7,29.3,41,5.8,2.405,6,7,-1.55
2026-09-04T19:00,,0,233,279,,,0.0,0.0,0.0,0,27.2,15.7,27.4,49,2.4,1.861,3,5,1.81
2026-09-04T20:00,,0,130,220,,,0.0,0.0,0.0,0,23.1,17.0,22.8,70,-2.3,0.833,3,3,1.93
2026-09-04T21:00,,0,110,98,,,0.0,0.0,0.0,0,19.2,16.7,21.1,76,-5.64,0.601,6,5,2.05
2026-09-04T22:00,,0,117,112,,,0.0,0.0,0.0,0,17.3,16.0,19.5,80,-5.35,0.453,6,6,2.72
2026-09-04T23:00,,0,112,125,,,0.0,0.0,0.0,0,15.4,15.5,19.2,79,-7.42,0.467,8,8,3.0
2026-09-05T01:00,,0,100,119,,,0.0,0.0,0.0,0,12.5,14.6,17.3,84,-8.86,0.316,9,8,1.56
2026-09-05T03:00,,0,91,94,,,0.0,0.0,0.0,0,9.7,13.0,16.5,80,-11.0,0.375,11,11,0.19
2026-09-05T04:00,,0,104,116,,,0.0,0.0,0.0,0,9.2,12.8,16.7,78,-11.64,0.418,12,12,2.9
2026-09-05T05:00,,0,110,124,,,0.0,0.0,0.0,0,9.2,12.5,16.8,76,-11.28,0.459,12,12,4.1
2026-09-05T06:00,,0,95,108,,,0.0,0.0,0.0,0,8.1,12.2,15.8,79,-11.95,0.377,12,11,1.05
2026-09-05T07:00,,0,93,93,,,0.0,0.0,0.0,0,8.0,12.0,15.8,78,-11.98,0.395,12,12,0.63
2026-09-05T08:00,,0,95,103,,,0.0,0.0,0.0,0,13.0,12.2,20.0,61,-10.96,0.912,11,11,0.96
2026-09-05T09:00,,0,78,97,,,0.0,0.0,0.0,0,22.1,12.9,26.1,44,-6.85,1.894,7,9,-1.46
2026-09-05T10:00,,0,135,102,,,0.0,0.0,0.0,0,24.6,11.5,29.0,34,-4.95,2.644,7,6,4.95
2026-09-05T11:00,,0,228,219,,,0.0,0.0,0.0,0,24.7,13.6,28.5,40,5.2,2.335,7,6,4.68
2026-09-05T12:00,,0,188,204,,,0.0,0.0,0.0,0,27.0,14.2,29.2,40,0.7,2.431,5,6,4.95
2026-09-05T13:00,3.1,0,259,189,12.8,0.0,0.0,0.0,0.0,0,29.1,16.2,29.8,44,3.93,2.349,4,6,0.76
2026-09-05T14:00,,0,273,282,,,0.0,0.0,0.0,0,25.3,16.8,29.3,47,8.99,2.16,9,8,-0.47
2026-09-05T15:00,,0,280,289,,,0.0,0.0,0.0,0,26.4,20.9,28.6,63,8.86,1.448,9,9,-1.56
2026-09-05T16:00,,0,239,203,,,0.0,0.0,0.0,0,27.5,19.7,28.8,58,6.0,1.663,7,6,3.61
2026-09-05T17:00,,0,234,191,,,0.0,0.0,0.0,0,28.8,20.7,29.0,61,4.85,1.562,6,6,3.53
2026-09-05T18:00,,0,264,240,,,0.0,0.0,0.0,0,29.9,20.7,28.7,62,3.98,1.496,4,5,0.42
2026-09-05T19:00,,0,150,39,,,0.0,0.0,0.0,0,29.8,20.9,27.8,66,-1.5,1.27,3,3,2.6
2026-09-05T20:00,,0,91,92,,,0.0,0.0,0.0,0,18.2,16.6,24.4,62,-12.0,1.161,12,12,0.21
