datetime,CDD,CLOUDINESS,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,PRESS,QSPEC,RADSOL,TDEW,TEMP,UMID,VPD
2026-09-06T12:00,,1,,,0.0,0.0,0.0,0,943.9,10.77,2516,14.3,22.7,59,1.131
2026-09-06T13:00,1.3,1,10.9,0.0,0.0,0.0,0.0,0,943.4,10.72,2692,14.2,24.4,53,1.436
2026-09-06T14:00,,1,,,0.0,0.0,0.0,0,943.3,8.8,2676,11.2,25.4,41,1.914
2026-09-06T15:00,,1,,,0.0,0.0,0.0,0,942.9,9.12,2447,11.7,26.0,41,1.983
2026-09-06T16:00,,1,,,0.0,0.0,0.0,0,942.4,9.57,2082,12.5,26.4,42,1.996
2026-09-06T17:00,,2,,,0.0,0.0,0.0,0,942.3,9.13,1341,11.7,26.0,41,1.983
2026-09-06T18:00,,4,,,0.0,0.0,0.0,0,942.4,9.89,460,12.9,24.7,48,1.618
2026-09-06T19:00,,4,,,0.0,0.0,0.0,0,942.9,9.78,213,12.8,23.5,51,1.419
2026-09-06T20:00,,0,,,0.0,0.0,0.0,0,943.5,10.85,10,14.4,18.7,76,0.518
2026-09-06T21:00,,0,,,0.0,0.0,0.0,0,944.2,10.65,0,14.1,17.8,79,0.428
2026-09-06T22:00,,0,,,0.0,0.0,0.0,0,944.5,10.6,0,14.0,16.2,87,0.239
2026-09-06T23:00,,0,,,0.0,0.0,0.0,0,944.8,10.48,0,13.9,15.5,90,0.176
2026-09-07T01:00,,0,,,0.0,0.0,0.0,0,945.1,9.8,0,12.9,13.8,94,0.095
2026-09-07T03:00,,0,,,0.0,0.0,0.0,0,945.0,9.38,0,12.2,12.8,96,0.059
2026-09-07T04:00,,0,,,0.0,0.0,0.0,0,944.9,9.01,0,11.6,12.2,96,0.057
2026-09-07T05:00,,0,,,0.0,0.0,0.0,0,944.8,8.84,0,11.3,11.9,96,0.056
2026-09-07T06:00,,0,,,0.0,0.0,0.0,0,944.6,8.64,0,10.9,11.4,97,0.04
2026-09-07T07:00,,0,,,0.0,0.0,0.0,0,944.8,8.58,24,10.8,11.3,97,0.04
2026-09-07T08:00,,1,,,0.0,0.0,0.0,0,944.8,9.31,440,12.1,14.2,87,0.211
