datetime,CDD,CLOUDINESS,DVENTO,DVENTOMAX,GDD,HDD,PREC,PREC24,PREC48,PREC_TYPE,TAPP,TDEW,TEMP,UMID,UWND,VPD,VVENTO,VVENTOSCAL,VWND
2026-09-06T12:00,,0,47,43,,,0.0,0.0,0.0,0,16.7,13.5,19.8,67,-4.39,0.762,6,8,-4.09
2026-09-06T13:00,0.0,0,32,30,9.5,0.0,0.0,0.0,0.0,0,16.8,12.6,20.9,59,-3.71,1.013,7,7,-5.94
2026-09-06T14:00,,0,349,31,,,0.0,0.0,0.0,0,22.3,12.1,22.4,52,0.19,1.3,1,5,-0.98
2026-09-06T15:00,,0,24,34,,,0.0,0.0,0.0,0,17.3,10.2,22.8,45,-3.25,1.527,8,9,-7.31
2026-09-06T16:00,,0,260,357,,,0.0,0.0,0.0,0,21.8,11.2,23.5,46,2.95,1.564,3,4,0.52
2026-09-06T17:00,,0,245,244,,,0.0,0.0,0.0,0,18.8,10.6,22.1,48,4.53,1.383,5,4,2.11
2026-09-06T18:00,,0,216,233,,,0.0,0.0,0.0,0,17.0,12.0,18.5,66,1.76,0.724,3,4,2.43
2026-09-06T19:00,,0,224,230,,,0.0,0.0,0.0,0,17.0,12.2,18.4,67,2.08,0.698,3,3,2.16
2026-09-06T20:00,,0,226,222,,,0.0,0.0,0.0,0,15.1,12.4,17.1,74,2.88,0.507,4,4,2.78
2026-09-06T21:00,,0,221,245,,,0.0,0.0,0.0,0,13.9,12.4,16.0,79,2.62,0.382,4,4,3.02
2026-09-06T22:00,,0,228,224,,,0.0,0.0,0.0,0,15.2,12.3,16.6,76,2.23,0.453,3,3,2.01
2026-09-06T23:00,,0,237,217,,,0.0,0.0,0.0,0,13.3,12.1,15.5,80,3.35,0.352,4,4,2.18
2026-09-07T01:00,,0,228,242,,,0.0,0.0,0.0,0,13.4,12.1,14.8,84,2.23,0.269,3,3,2.01
2026-09-07T03:00,,0,223,224,,,0.0,0.0,0.0,0,11.8,12.0,14.0,88,2.73,0.192,4,4,2.93
2026-09-07T04:00,,0,206,214,,,0.0,0.0,0.0,0,11.4,11.8,13.6,89,1.75,0.171,4,4,3.6
2026-09-07T05:00,,0,238,240,,,0.0,0.0,0.0,0,12.1,11.8,13.6,89,2.54,0.171,3,3,1.59
2026-09-07T06:00,,0,208,234,,,0.0,0.0,0.0,0,11.8,11.9,13.3,91,1.41,0.137,3,3,2.65
2026-09-07T07:00,,0,203,213,,,0.0,0.0,0.0,0,11.8,11.9,13.3,91,1.17,0.137,3,3,2.76
2026-09-07T08:00,,0,215,200,,,0.0,0.0,0.0,0,11.8,12.0,13.3,92,1.72,0.122,3,3,2.46
2026-09-07T09:00,,0,140,95,,,0.0,0.0,0.0,0,14.2,12.5,14.8,86,-1.29,0.236,2,3,1.53
2026-09-07T10:00,,0,64,14,,,0.0,0.0,0.0,0,16.9,12.3,17.6,71,-1.8,0.584,2,4,-0.88
2026-09-07T11:00,,0,213,57,,,0.0,0.0,0.0,0,20.0,13.2,19.7,66,0.54,0.78,1,3,0.84
2026-09-07T12:00,,0,66,20,,,0.0,0.0,0.0,0,17.7,12.9,21.0,60,-5.48,0.995,6,5,-2.44
2026-09-07T13:00,0.0,0,44,39,9.4,0.0,0.0,0.0,0.0,0,20.8,13.7,22.4,58,-2.78,1.138,4,4,-2.88
2026-09-07T14:00,,0,44,34,,,0.0,0.0,0.0,0,22.2,13.4,23.9,52,-2.78,1.424,4,5,-2.88
2026-09-07T15:00,,0,42,27,,,0.0,0.0,0.0,0,23.8,13.7,24.8,50,-2.01,1.565,3,5,-2.23
2026-09-07T16:00,,0,348,11,,,0.0,0.0,0.0,0,24.7,14.5,25.4,51,0.62,1.59,3,2,-2.93
2026-09-07T17:00,,0,272,272,,,0.0,0.0,0.0,0,20.7,13.1,23.2,53,5.0,1.336,5,3,-0.17
2026-09-07T18:00,,0,238,245,,,0.0,0.0,0.0,0,21.5,13.7,22.4,58,2.54,1.138,3,3,1.59
2026-09-07T19:00,,0,222,244,,,0.0,0.0,0.0,0,20.2,14.3,20.9,66,2.01,0.84,3,3,2.23
2026-09-07T20:00,,0,239,250,,,0.0,0.0,0.0,0,20.0,14.2,19.4,72,0.86,0.631,1,2,0.52
2026-09-07T21:00,,0,254,244,,,0.2,0.2,0.2,1,18.2,16.1,17.6,91,1.92,0.181,2,3,0.55
2026-09-07T22:00,,0,336,16,,,3.2,3.4,3.4,1,16.1,16.3,16.8,97,1.63,0.057,4,4,-3.65
