datetime,BAGNATURA,CLOUDINESS,DVENTO,PREC,PREC_TYPE,RADSOL,TEMP,UMID,VVENTO
2026-08-14T11:00,0,1,108,0.0,0,2399,30.2,30,11
2026-08-14T12:00,0,1,105,0.0,0,2799,30.7,40,10
2026-08-14T13:00,0,1,145,0.0,0,3011,31.1,27,9
2026-08-14T14:00,0,1,135,0.0,0,3044,33.8,34,8
2026-08-14T15:00,0,1,127,0.0,0,2889,32.6,28,9
2026-08-14T16:00,0,1,127,0.0,0,2590,34.8,31,7
2026-08-14T17:00,0,1,103,0.0,0,2115,32.4,29,9
2026-08-14T18:00,0,1,116,0.0,0,1516,34.2,32,8
2026-08-14T19:00,0,1,68,0.0,0,824,33.2,35,8
2026-08-14T20:00,0,0,68,0.0,0,214,29.3,36,6
2026-08-14T21:00,0,0,101,0.0,0,0,30.3,28,8
2026-08-14T22:00,0,0,108,0.0,0,0,27.4,53,6
2026-08-14T23:00,0,0,66,0.0,0,0,26.2,60,7
2026-08-15T05:00,0,0,83,0.0,0,0,20.5,74,5
2026-08-15T06:00,60,0,67,0.0,0,0,25.2,75,1
2026-08-15T07:00,45,4,40,0.0,0,61,25.9,37,4
2026-08-15T08:00,0,1,37,0.0,0,634,24.3,58,6
2026-08-15T09:00,0,1,54,0.0,0,1301,30.1,26,8
2026-08-15T10:00,0,1,75,0.0,0,1928,30.1,28,8
2026-08-15T11:00,0,1,62,0.0,0,2464,31.3,26,4
2026-08-15T12:00,0,1,228,0.0,0,2844,32.2,34,8
2026-08-15T13:00,0,1,174,0.0,0,3064,33.4,29,7
2026-08-15T14:00,0,1,220,0.0,0,3110,34.5,25,7
2026-08-15T15:00,0,1,196,0.0,0,2954,33.8,24,7
2026-08-15T16:00,0,1,113,0.0,0,2619,33.9,24,6
2026-08-15T17:00,0,1,150,0.0,0,2138,33.7,25,7
2026-08-15T18:00,0,1,187,0.0,0,1555,35.4,26,6
2026-08-15T19:00,0,1,130,0.0,0,864,34.0,29,9
2026-08-15T20:00,0,0,79,0.0,0,144,29.4,36,2
2026-08-15T21:00,0,0,107,0.0,0,0,27.4,54,7
2026-08-15T22:00,0,0,96,0.0,0,0,25.8,56,4
2026-08-15T23:00,0,0,71,0.0,0,0,25.2,40,8
2026-08-16T05:00,0,0,94,0.0,0,0,20.0,74,4
2026-08-16T06:00,0,0,71,0.0,0,0,19.4,77,3
2026-08-16T07:00,0,4,343,0.0,0,65,25.7,48,6
2026-08-16T08:00,0,2,40,0.0,0,590,23.8,64,3
2026-08-16T09:00,0,1,30,0.0,0,1228,27.2,57,6
